"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","understand_correct","stimulus","arousal","valence","img_id","tested_trial_idx"
"46456","0","html-button-response","0","46478","0.0-0.0","5a69f41df10cdb0001b10329","5a69f41df10cdb0001b10329_20240207","","","","","","",""
"6538","[object Object]","survey-html-form","1","53531","0.0-1.0","5a69f41df10cdb0001b10329","5a69f41df10cdb0001b10329_20240207","prolific_id_page","","","","","",""
"125523","0","html-button-response","2","179067","0.0-2.0","5a69f41df10cdb0001b10329","5a69f41df10cdb0001b10329_20240207","","","","","","",""
"58608","0","html-button-response","3","238190","0.0-3.0-0.0","5a69f41df10cdb0001b10329","5a69f41df10cdb0001b10329_20240207","","true","","","","",""
"2056","0","html-button-response","4","240760","0.0-4.0","5a69f41df10cdb0001b10329","5a69f41df10cdb0001b10329_20240207","","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","","","",""
"11682","0","html-button-response","5","252955","0.0-5.0","5a69f41df10cdb0001b10329","5a69f41df10cdb0001b10329_20240207","","","","7","1","1545",""
"9880","0","html-button-response","6","263347","0.0-6.0","5a69f41df10cdb0001b10329","5a69f41df10cdb0001b10329_20240207","","","","6","9","1862",""
"8059","0","html-button-response","7","271916","0.0-7.0","5a69f41df10cdb0001b10329","5a69f41df10cdb0001b10329_20240207","","","","5","6","1808",""
"3296","0","html-button-response","8","275724","0.0-8.0","5a69f41df10cdb0001b10329","5a69f41df10cdb0001b10329_20240207","","","","5","5","952",""
"7318","0","html-button-response","9","283555","0.0-9.0","5a69f41df10cdb0001b10329","5a69f41df10cdb0001b10329_20240207","","","","4","3","402",""
"3085","0","html-button-response","10","287155","0.0-10.0","5a69f41df10cdb0001b10329","5a69f41df10cdb0001b10329_20240207","","","","5","4","1934",""
"4009","0","html-button-response","11","291679","0.0-11.0","5a69f41df10cdb0001b10329","5a69f41df10cdb0001b10329_20240207","","","","6","2","1569",""
"6823","0","html-button-response","12","299011","0.0-12.0","5a69f41df10cdb0001b10329","5a69f41df10cdb0001b10329_20240207","","","","4","1","2037",""
"3905","0","html-button-response","13","303424","0.0-13.0","5a69f41df10cdb0001b10329","5a69f41df10cdb0001b10329_20240207","","","","5","1","2054",""
"2929","0","html-button-response","14","306862","0.0-14.0","5a69f41df10cdb0001b10329","5a69f41df10cdb0001b10329_20240207","","","","5","5","1626",""
"4894","0","html-button-response","15","312266","0.0-15.0","5a69f41df10cdb0001b10329","5a69f41df10cdb0001b10329_20240207","","","","7","8","1238",""
"4942","0","html-button-response","16","317719","0.0-16.0","5a69f41df10cdb0001b10329","5a69f41df10cdb0001b10329_20240207","","","","4","5","977",""
"4240","0","html-button-response","17","322472","0.0-17.0","5a69f41df10cdb0001b10329","5a69f41df10cdb0001b10329_20240207","","","","4","3","935",""
"6587","0","html-button-response","18","329569","0.0-18.0","5a69f41df10cdb0001b10329","5a69f41df10cdb0001b10329_20240207","","","","7","3","231",""
