"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","understand_correct","stimulus","arousal","valence","img_id","tested_trial_idx"
"56973","0","html-button-response","0","56976","0.0-0.0","5ef9e7a8e1d3567a48fa1154","5ef9e7a8e1d3567a48fa1154_20240207","","","","","","",""
"7452","[object Object]","survey-html-form","1","64938","0.0-1.0","5ef9e7a8e1d3567a48fa1154","5ef9e7a8e1d3567a48fa1154_20240207","prolific_id_page","","","","","",""
"13167","0","html-button-response","2","78107","0.0-2.0","5ef9e7a8e1d3567a48fa1154","5ef9e7a8e1d3567a48fa1154_20240207","","","","","","",""
"11265","0","html-button-response","3","89890","0.0-3.0-0.0","5ef9e7a8e1d3567a48fa1154","5ef9e7a8e1d3567a48fa1154_20240207","","false","","","","",""
"5447","0","html-button-response","4","97563","0.0-3.1-0.1","5ef9e7a8e1d3567a48fa1154","5ef9e7a8e1d3567a48fa1154_20240207","","false","","","","",""
"25132","0","html-button-response","5","124546","0.0-3.2-0.2","5ef9e7a8e1d3567a48fa1154","5ef9e7a8e1d3567a48fa1154_20240207","","false","","","","",""
"27592","0","html-button-response","6","154008","0.0-3.3-0.3","5ef9e7a8e1d3567a48fa1154","5ef9e7a8e1d3567a48fa1154_20240207","","false","","","","",""
"29398","0","html-button-response","7","185965","0.0-3.4-0.4","5ef9e7a8e1d3567a48fa1154","5ef9e7a8e1d3567a48fa1154_20240207","","true","","","","",""
"1043","0","html-button-response","8","187517","0.0-4.0","5ef9e7a8e1d3567a48fa1154","5ef9e7a8e1d3567a48fa1154_20240207","","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","","","",""
"4421","0","html-button-response","9","192445","0.0-5.0","5ef9e7a8e1d3567a48fa1154","5ef9e7a8e1d3567a48fa1154_20240207","","","","5","1","87",""
"5151","0","html-button-response","10","198100","0.0-6.0","5ef9e7a8e1d3567a48fa1154","5ef9e7a8e1d3567a48fa1154_20240207","","","","9","6","1864",""
"3398","0","html-button-response","11","202001","0.0-7.0","5ef9e7a8e1d3567a48fa1154","5ef9e7a8e1d3567a48fa1154_20240207","","","","5","5","304",""
"5093","0","html-button-response","12","207602","0.0-8.0","5ef9e7a8e1d3567a48fa1154","5ef9e7a8e1d3567a48fa1154_20240207","","","","5","2","200",""
"7598","0","html-button-response","13","215703","0.0-9.0","5ef9e7a8e1d3567a48fa1154","5ef9e7a8e1d3567a48fa1154_20240207","","","","8","8","1421",""
"2633","0","html-button-response","14","218839","0.0-10.0","5ef9e7a8e1d3567a48fa1154","5ef9e7a8e1d3567a48fa1154_20240207","","","","9","9","1876",""
"2408","0","html-button-response","15","221749","0.0-11.0","5ef9e7a8e1d3567a48fa1154","5ef9e7a8e1d3567a48fa1154_20240207","","","","9","9","2056",""
"2512","0","html-button-response","16","224763","0.0-12.0","5ef9e7a8e1d3567a48fa1154","5ef9e7a8e1d3567a48fa1154_20240207","","","","9","9","1201",""
