"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","understand_correct","stimulus","arousal","valence","img_id","tested_trial_idx"
"1486415","0","html-button-response","0","1486417","0.0-0.0","5f6067975552dc000aa21f2a","5f6067975552dc000aa21f2a_20240207","","","","","","",""
"7099","[object Object]","survey-html-form","1","1494023","0.0-1.0","5f6067975552dc000aa21f2a","5f6067975552dc000aa21f2a_20240207","prolific_id_page","","","","","",""
"8847","0","html-button-response","2","1502873","0.0-2.0","5f6067975552dc000aa21f2a","5f6067975552dc000aa21f2a_20240207","","","","","","",""
"29553","0","html-button-response","3","1532932","0.0-3.0-0.0","5f6067975552dc000aa21f2a","5f6067975552dc000aa21f2a_20240207","","false","","","","",""
"8613","0","html-button-response","4","1546944","0.0-3.1-0.1","5f6067975552dc000aa21f2a","5f6067975552dc000aa21f2a_20240207","","false","","","","",""
"79971","0","html-button-response","5","1634444","0.0-3.2-0.2","5f6067975552dc000aa21f2a","5f6067975552dc000aa21f2a_20240207","","false","","","","",""
"232197","0","html-button-response","6","1869032","0.0-3.3-0.3","5f6067975552dc000aa21f2a","5f6067975552dc000aa21f2a_20240207","","true","","","","",""
"1214","0","html-button-response","7","1870748","0.0-4.0","5f6067975552dc000aa21f2a","5f6067975552dc000aa21f2a_20240207","","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","","","",""
"9263","0","html-button-response","8","1880516","0.0-5.0","5f6067975552dc000aa21f2a","5f6067975552dc000aa21f2a_20240207","","","","5","8","617",""
"20260","0","html-button-response","9","1901280","0.0-6.0","5f6067975552dc000aa21f2a","5f6067975552dc000aa21f2a_20240207","","","","1","3","1916",""
"3840","0","html-button-response","10","1905628","0.0-7.0","5f6067975552dc000aa21f2a","5f6067975552dc000aa21f2a_20240207","","","","1","7","2002",""
"3710","0","html-button-response","11","1909844","0.0-8.0","5f6067975552dc000aa21f2a","5f6067975552dc000aa21f2a_20240207","","","","2","7","632",""
"102143","0","html-button-response","12","2012496","0.0-9.0","5f6067975552dc000aa21f2a","5f6067975552dc000aa21f2a_20240207","","","","5","1","1240",""
"5281","0","html-button-response","13","2018285","0.0-10.0","5f6067975552dc000aa21f2a","5f6067975552dc000aa21f2a_20240207","","","","6","7","895",""
"4189","0","html-button-response","14","2022980","0.0-11.0","5f6067975552dc000aa21f2a","5f6067975552dc000aa21f2a_20240207","","","","4","2","1778",""
"5405","0","html-button-response","15","2028890","0.0-12.0","5f6067975552dc000aa21f2a","5f6067975552dc000aa21f2a_20240207","","","","2","7","930",""
"12812","0","html-button-response","16","2042210","0.0-13.0","5f6067975552dc000aa21f2a","5f6067975552dc000aa21f2a_20240207","","","","7","9","1212",""
