"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","understand_correct","stimulus","arousal","valence","img_id","tested_trial_idx"
"6834","0","html-button-response","0","6836","0.0-0.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","","","",""
"3116","[object Object]","survey-html-form","1","10463","0.0-1.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","prolific_id_page","","","","","",""
"148831","0","html-button-response","2","159294","0.0-2.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","","","",""
"27610","0","html-button-response","3","187406","0.0-3.0-0.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","true","","","","",""
"1090","0","html-button-response","4","188999","0.0-4.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","","","",""
"8291","0","html-button-response","5","197791","0.0-5.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","4","4","580",""
"11724","0","html-button-response","6","210015","0.0-6.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","4","3","2167",""
"6079","0","html-button-response","7","216595","0.0-7.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","1","1911",""
"6940","0","html-button-response","8","224050","0.0-8.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","6","9","2045",""
"5996","0","html-button-response","9","230554","0.0-9.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","8","4","275",""
"6362","0","html-button-response","10","237420","0.0-10.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","6","4","100",""
"5457","0","html-button-response","11","243379","0.0-11.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","3","2036",""
"5895","0","html-button-response","12","249783","0.0-12.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","4","4","1859",""
"6893","0","html-button-response","13","257184","0.0-13.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","8","5","225",""
"2784","0","html-button-response","14","260478","0.0-14.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","7","5","267",""
"3530","0","html-button-response","15","264512","0.0-15.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","4","1157",""
"5705","0","html-button-response","16","270723","0.0-16.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","4","4","312",""
"7319","0","html-button-response","17","278543","0.0-17.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","3","884",""
"2826","0","html-button-response","18","281878","0.0-18.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","6","5","99",""
"5528","0","html-button-response","19","287910","0.0-19.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","4","5","750",""
"4812","0","html-button-response","20","293229","0.0-20.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","4","4","141",""
"5709","0","html-button-response","21","299447","0.0-21.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","6","9","1523",""
"2889","0","html-button-response","22","302842","0.0-22.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","5","1127",""
"3114","0","html-button-response","23","306461","0.0-23.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","5","1303",""
"6722","0","html-button-response","24","313694","0.0-24.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","7","3","181",""
"8267","0","html-button-response","25","322464","0.0-25.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","8","1370",""
"6220","0","html-button-response","26","329197","0.0-26.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","4","5","307",""
"5962","0","html-button-response","27","335667","0.0-27.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","3","4","2000",""
"2802","0","html-button-response","28","338981","0.0-28.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","3","5","839",""
"4450","0","html-button-response","29","343938","0.0-29.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","6","1591",""
"2295","0","html-button-response","30","346738","0.0-30.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","5","1505",""
"8224","0","html-button-response","31","355464","0.0-31.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","8","5","396",""
"4034","0","html-button-response","32","360003","0.0-32.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","9","5","201",""
"5752","0","html-button-response","33","366264","0.0-33.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","7","7","872",""
"5054","0","html-button-response","34","371833","0.0-34.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","4","5","1005",""
"3885","0","html-button-response","35","376233","0.0-35.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","6","3","1417",""
"5843","0","html-button-response","36","382582","0.0-36.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","6","1918",""
"5649","0","html-button-response","37","388737","0.0-37.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","6","3","1063",""
"6560","0","html-button-response","38","395813","0.0-38.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","8","5","536",""
"2983","0","html-button-response","39","399297","0.0-39.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","8","2","347",""
"5632","0","html-button-response","40","405430","0.0-40.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","7","5","386",""
"4701","0","html-button-response","41","410632","0.0-41.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","4","4","260",""
"3279","0","html-button-response","42","414413","0.0-42.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","6","1252",""
"1886","0","html-button-response","43","416799","0.0-43.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","5","1307",""
"3632","0","html-button-response","44","420933","0.0-44.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","4","5","1646",""
"2664","0","html-button-response","45","424102","0.0-45.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","5","1490",""
"5092","0","html-button-response","46","429699","0.0-46.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","6","4","713",""
"3309","0","html-button-response","47","433520","0.0-47.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","7","3","1245",""
"5898","0","html-button-response","48","439927","0.0-48.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","8","6","510",""
"4353","0","html-button-response","49","444784","0.0-49.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","2","754",""
"4766","0","html-button-response","50","450053","0.0-50.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","3","5","964",""
"5513","0","html-button-response","51","456067","0.0-51.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","7","5","34",""
"5158","0","html-button-response","52","461732","0.0-52.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","4","1339",""
"2070","0","html-button-response","53","464309","0.0-53.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","6","5","398",""
"3357","0","html-button-response","54","468170","0.0-54.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","5","1457",""
"2177","0","html-button-response","55","470848","0.0-55.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","9","2055",""
"5351","0","html-button-response","56","476704","0.0-56.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","4","454",""
"3831","0","html-button-response","57","481037","0.0-57.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","7","5","215",""
"2989","0","html-button-response","58","484529","0.0-58.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","8","5","30",""
"2858","0","html-button-response","59","487894","0.0-59.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","6","4","568",""
"2604","0","html-button-response","60","491005","0.0-60.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","4","5","1113",""
"2361","0","html-button-response","61","493871","0.0-61.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","5","1175",""
"1818","0","html-button-response","62","496190","0.0-62.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","5","981",""
"4182","0","html-button-response","63","500875","0.0-63.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","6","4","542",""
"3551","0","html-button-response","64","504937","0.0-64.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","8","5","262",""
"4918","0","html-button-response","65","510364","0.0-65.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","3","3","142",""
"6545","0","html-button-response","66","517414","0.0-66.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","6","5","112",""
"7079","0","html-button-response","67","525004","0.0-67.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","8","2","1363",""
"2170","0","html-button-response","68","527689","0.0-68.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","7","3","1391",""
"2357","0","html-button-response","69","530550","0.0-69.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","4","624",""
"2621","0","html-button-response","70","533675","0.0-70.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","5","1290",""
"4073","0","html-button-response","71","538251","0.0-71.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","9","2042",""
"1918","0","html-button-response","72","540682","0.0-72.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","5","1971",""
"2728","0","html-button-response","73","543911","0.0-73.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","5","1267",""
"2143","0","html-button-response","74","546562","0.0-74.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","5","1310",""
"2110","0","html-button-response","75","549178","0.0-75.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","5","1979",""
"1800","0","html-button-response","76","551494","0.0-76.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","5","1471",""
"2332","0","html-button-response","77","554330","0.0-77.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","7","1579",""
"28443","0","html-button-response","78","583276","0.0-78.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","6","5","911",""
"3410","0","html-button-response","79","587187","0.0-79.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","4","4","1844",""
"2540","0","html-button-response","80","590238","0.0-80.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","6","1774",""
"6465","0","html-button-response","81","597209","0.0-81.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","8","6","705",""
"1824","0","html-button-response","82","599538","0.0-82.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","5","1828",""
"3968","0","html-button-response","83","604008","0.0-83.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","8","1706",""
"2655","0","html-button-response","84","607166","0.0-84.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","5","1816",""
"2535","0","html-button-response","85","610204","0.0-85.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","8","5","196",""
"2926","0","html-button-response","86","613636","0.0-86.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","7","3","1216",""
"2186","0","html-button-response","87","616335","0.0-87.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","9","1717",""
"4920","0","html-button-response","88","621762","0.0-88.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","7","5","578",""
"3141","0","html-button-response","89","625405","0.0-89.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","8","2","1050",""
"4481","0","html-button-response","90","630389","0.0-90.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","4","4","960",""
"5114","0","html-button-response","91","636007","0.0-91.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","6","7","862",""
"3355","0","html-button-response","92","639871","0.0-92.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","8","1732",""
"3445","0","html-button-response","93","643818","0.0-93.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","6","6","244",""
"3124","0","html-button-response","94","647450","0.0-94.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","5","984",""
"2299","0","html-button-response","95","650252","0.0-95.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","5","1483",""
"2292","0","html-button-response","96","653054","0.0-96.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","7","1214",""
"2184","0","html-button-response","97","655740","0.0-97.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","7","5","604",""
"2137","0","html-button-response","98","658390","0.0-98.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","6","5","425",""
"2823","0","html-button-response","99","661723","0.0-99.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","8","2","1556",""
"5498","0","html-button-response","100","667725","0.0-100.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","7","6","902",""
"2676","0","html-button-response","101","670905","0.0-101.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","4","4","507",""
"6697","0","html-button-response","102","678107","0.0-102.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","8","8","1030",""
"6947","0","html-button-response","103","685562","0.0-103.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","7","5","758",""
"7471","0","html-button-response","104","693536","0.0-104.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","3","923",""
"3648","0","html-button-response","105","697684","0.0-105.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","8","2","1232",""
"2259","0","html-button-response","106","700444","0.0-106.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","7","3","738",""
"2127","0","html-button-response","107","703079","0.0-107.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","4","1286",""
"2661","0","html-button-response","108","706242","0.0-108.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","4","4","662",""
"2973","0","html-button-response","109","709716","0.0-109.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","8","5","20",""
"5216","0","html-button-response","110","715434","0.0-110.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","5","1314",""
"2801","0","html-button-response","111","718736","0.0-111.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","7","7","1054",""
"4214","0","html-button-response","112","723457","0.0-112.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","6","6","482",""
"3947","0","html-button-response","113","727906","0.0-113.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","6","6","798",""
"2481","0","html-button-response","114","730902","0.0-114.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","9","1","1373",""
"2471","0","html-button-response","115","733874","0.0-115.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","5","5","1449",""
"2511","0","html-button-response","116","736886","0.0-116.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","6","6","1236",""
"4356","0","html-button-response","117","741744","0.0-117.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","7","3","1020",""
"5157","0","html-button-response","118","747402","0.0-118.0","5f8cbc5c355ea745e6cef2ca","5f8cbc5c355ea745e6cef2ca_20240207","","","","3","3","1480",""
