"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","understand_correct","stimulus","arousal","valence","img_id","tested_trial_idx"
"27731","0","html-button-response","0","27734","0.0-0.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","","","",""
"9266","[object Object]","survey-html-form","1","37509","0.0-1.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","prolific_id_page","","","","","",""
"40303","0","html-button-response","2","77818","0.0-2.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","","","",""
"8252","0","html-button-response","3","86575","0.0-3.0-0.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","false","","","","",""
"45889","0","html-button-response","4","135456","0.0-3.1-0.1","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","true","","","","",""
"1517","0","html-button-response","5","137490","0.0-4.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","","","",""
"15070","0","html-button-response","6","153074","0.0-5.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","8","8","1927",""
"11546","0","html-button-response","7","165132","0.0-6.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","6","3","1052",""
"14124","0","html-button-response","8","179764","0.0-7.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","8","4","228",""
"12030","0","html-button-response","9","192302","0.0-8.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","8","8","1873",""
"15890","0","html-button-response","10","208699","0.0-9.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","5","2","1391",""
"15404","0","html-button-response","11","224608","0.0-10.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","6","6","1724",""
"10201","0","html-button-response","12","235312","0.0-11.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","6","1","283",""
"5418","0","html-button-response","13","241244","0.0-12.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","5","5","2164",""
"8426","0","html-button-response","14","250178","0.0-13.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","5","3","1688",""
"7874","0","html-button-response","15","258554","0.0-14.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","6","6","1444",""
"12406","0","html-button-response","16","271472","0.0-15.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","6","2","727",""
"7726","0","html-button-response","17","279701","0.0-16.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","7","8","862",""
"11715","0","html-button-response","18","291923","0.0-17.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","4","3","726",""
"7740","0","html-button-response","19","300168","0.0-18.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","4","6","1932",""
"6960","0","html-button-response","20","307640","0.0-19.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","7","8","1407",""
"12028","0","html-button-response","21","320169","0.0-20.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","6","5","789",""
"10120","0","html-button-response","22","330803","0.0-21.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","9","9","1717",""
"19027","0","html-button-response","23","350333","0.0-22.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","7","2","428",""
"5683","0","html-button-response","24","356528","0.0-23.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","9","9","1016",""
"5290","0","html-button-response","25","362328","0.0-24.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","5","5","1319",""
"5941","0","html-button-response","26","368772","0.0-25.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","8","9","1188",""
"14454","0","html-button-response","27","383744","0.0-26.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","7","5","358",""
"4367","0","html-button-response","28","388623","0.0-27.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","5","5","2024",""
"16296","0","html-button-response","29","405430","0.0-28.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","4","4","1597",""
"41860","0","html-button-response","30","447792","0.0-29.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","6","6","1787",""
"11289","0","html-button-response","31","459588","0.0-30.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","5","4","632",""
"8631","0","html-button-response","32","468722","0.0-31.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","7","1","1882",""
"9443","0","html-button-response","33","478668","0.0-32.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","9","4","123",""
"26043","0","html-button-response","34","505224","0.0-33.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","8","7","1757",""
"11091","0","html-button-response","35","516826","0.0-34.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","4","3","1806",""
"6651","0","html-button-response","36","523988","0.0-35.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","3","4","1816",""
"10236","0","html-button-response","37","534732","0.0-36.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","5","1","1989",""
"35944","0","html-button-response","38","571178","0.0-37.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","5","1","1388",""
"7871","0","html-button-response","39","579562","0.0-38.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","6","3","194",""
"7944","0","html-button-response","40","588010","0.0-39.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","7","7","2098",""
"8299","0","html-button-response","41","596812","0.0-40.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","9","5","381",""
"8939","0","html-button-response","42","606253","0.0-41.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","7","8","1563",""
"54315","0","html-button-response","43","661076","0.0-42.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","5","7","1145",""
"9838","0","html-button-response","44","671427","0.0-43.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","6","3","1910",""
"7477","0","html-button-response","45","679406","0.0-44.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","7","9","1223",""
"5338","0","html-button-response","46","685254","0.0-45.0","5fb3d71c3144730009fe4a7b","5fb3d71c3144730009fe4a7b_20240207","","","","6","7","1435",""
