"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","understand_correct","stimulus","arousal","valence","img_id","tested_trial_idx"
"27067","0","html-button-response","0","27070","0.0-0.0","607cbf385d3202721e3f719f","607cbf385d3202721e3f719f_20240207","","","","","","",""
"7308","[object Object]","survey-html-form","1","34885","0.0-1.0","607cbf385d3202721e3f719f","607cbf385d3202721e3f719f_20240207","prolific_id_page","","","","","",""
"92485","0","html-button-response","2","127372","0.0-2.0","607cbf385d3202721e3f719f","607cbf385d3202721e3f719f_20240207","","","","","","",""
"109431","0","html-button-response","3","237318","0.0-3.0-0.0","607cbf385d3202721e3f719f","607cbf385d3202721e3f719f_20240207","","true","","","","",""
"1847","0","html-button-response","4","239670","0.0-4.0","607cbf385d3202721e3f719f","607cbf385d3202721e3f719f_20240207","","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","","","",""
"28068","0","html-button-response","5","268243","0.0-5.0","607cbf385d3202721e3f719f","607cbf385d3202721e3f719f_20240207","","","","4","5","1947",""
"14938","0","html-button-response","6","283687","0.0-6.0","607cbf385d3202721e3f719f","607cbf385d3202721e3f719f_20240207","","","","6","6","833",""
"19780","0","html-button-response","7","303975","0.0-7.0","607cbf385d3202721e3f719f","607cbf385d3202721e3f719f_20240207","","","","5","5","1679",""
"19946","0","html-button-response","8","324429","0.0-8.0","607cbf385d3202721e3f719f","607cbf385d3202721e3f719f_20240207","","","","4","4","1153",""
"15874","0","html-button-response","9","340809","0.0-9.0","607cbf385d3202721e3f719f","607cbf385d3202721e3f719f_20240207","","","","5","2","2067",""
"18870","0","html-button-response","10","360185","0.0-10.0","607cbf385d3202721e3f719f","607cbf385d3202721e3f719f_20240207","","","","7","8","1900",""
"16850","0","html-button-response","11","377540","0.0-11.0","607cbf385d3202721e3f719f","607cbf385d3202721e3f719f_20240207","","","","7","5","810",""
"16787","0","html-button-response","12","394832","0.0-12.0","607cbf385d3202721e3f719f","607cbf385d3202721e3f719f_20240207","","","","3","3","1677",""
"13066","0","html-button-response","13","408400","0.0-13.0","607cbf385d3202721e3f719f","607cbf385d3202721e3f719f_20240207","","","","6","3","1073",""
"12456","0","html-button-response","14","421359","0.0-14.0","607cbf385d3202721e3f719f","607cbf385d3202721e3f719f_20240207","","","","3","5","1349",""
"15269","0","html-button-response","15","437130","0.0-15.0","607cbf385d3202721e3f719f","607cbf385d3202721e3f719f_20240207","","","","6","6","1135",""
"15396","0","html-button-response","16","453034","0.0-16.0","607cbf385d3202721e3f719f","607cbf385d3202721e3f719f_20240207","","","","9","7","341",""
"9068","0","html-button-response","17","462610","0.0-17.0","607cbf385d3202721e3f719f","607cbf385d3202721e3f719f_20240207","","","","5","2","65",""
"6196","0","html-button-response","18","469312","0.0-18.0","607cbf385d3202721e3f719f","607cbf385d3202721e3f719f_20240207","","","","5","5","1163",""
"13469","0","html-button-response","19","483286","0.0-19.0","607cbf385d3202721e3f719f","607cbf385d3202721e3f719f_20240207","","","","4","2","1729",""
"8673","0","html-button-response","20","492466","0.0-20.0","607cbf385d3202721e3f719f","607cbf385d3202721e3f719f_20240207","","","","6","6","980",""
"10845","0","html-button-response","21","503816","0.0-21.0","607cbf385d3202721e3f719f","607cbf385d3202721e3f719f_20240207","","","","4","2","2118",""
"12857","0","html-button-response","22","517178","0.0-22.0","607cbf385d3202721e3f719f","607cbf385d3202721e3f719f_20240207","","","","6","6","967",""
"7433","0","html-button-response","23","525115","0.0-23.0","607cbf385d3202721e3f719f","607cbf385d3202721e3f719f_20240207","","","","7","7","951",""
"7223","0","html-button-response","24","532844","0.0-24.0","607cbf385d3202721e3f719f","607cbf385d3202721e3f719f_20240207","","","","9","7","743",""
"15054","0","html-button-response","25","548405","0.0-25.0","607cbf385d3202721e3f719f","607cbf385d3202721e3f719f_20240207","","","","5","2","285",""
"12167","0","html-button-response","26","561076","0.0-26.0","607cbf385d3202721e3f719f","607cbf385d3202721e3f719f_20240207","","","","6","7","1951",""
"10072","0","html-button-response","27","571653","0.0-27.0","607cbf385d3202721e3f719f","607cbf385d3202721e3f719f_20240207","","","","5","7","1253",""
"12416","0","html-button-response","28","584574","0.0-28.0","607cbf385d3202721e3f719f","607cbf385d3202721e3f719f_20240207","","","","5","8","2110",""
"11051","0","html-button-response","29","596130","0.0-29.0","607cbf385d3202721e3f719f","607cbf385d3202721e3f719f_20240207","","","","4","2","1443",""
