"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","understand_correct","stimulus","arousal","valence","img_id","tested_trial_idx"
"6112","0","html-button-response","0","6116","0.0-0.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","","","",""
"6329","[object Object]","survey-html-form","1","12959","0.0-1.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","prolific_id_page","","","","","",""
"88997","0","html-button-response","2","101959","0.0-2.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","","","",""
"32556","0","html-button-response","3","135041","0.0-3.0-0.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","false","","","","",""
"43648","0","html-button-response","4","181242","0.0-3.1-0.1","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","true","","","","",""
"1753","0","html-button-response","5","183507","0.0-4.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","","","",""
"12162","0","html-button-response","6","196182","0.0-5.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","5","5","139",""
"14062","0","html-button-response","7","210747","0.0-6.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","4","3","499",""
"14106","0","html-button-response","8","225357","0.0-7.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","3","2","1755",""
"9582","0","html-button-response","9","235452","0.0-8.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","5","5","2175",""
"10705","0","html-button-response","10","246672","0.0-9.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","8","8","863",""
"10701","0","html-button-response","11","257875","0.0-10.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","4","4","582",""
"17456","0","html-button-response","12","275848","0.0-11.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","2","2","975",""
"8766","0","html-button-response","13","285124","0.0-12.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","9","3","107",""
"10496","0","html-button-response","14","296127","0.0-13.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","7","4","567",""
"6382","0","html-button-response","15","303027","0.0-14.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","5","6","1085",""
"7745","0","html-button-response","16","311284","0.0-15.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","7","9","2071",""
"9031","0","html-button-response","17","320831","0.0-16.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","5","4","1675",""
"30390","0","html-button-response","18","351739","0.0-17.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","3","1","1556",""
"11973","0","html-button-response","19","364219","0.0-18.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","9","7","873",""
"8191","0","html-button-response","20","372918","0.0-19.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","1","2","1001",""
"10717","0","html-button-response","21","384139","0.0-20.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","7","1","1699",""
"6621","0","html-button-response","22","391264","0.0-21.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","4","1","1063",""
"11322","0","html-button-response","23","403091","0.0-22.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","5","3","321",""
"6395","0","html-button-response","24","409997","0.0-23.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","9","2","316",""
"8848","0","html-button-response","25","419351","0.0-24.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","3","2","127",""
"13627","0","html-button-response","26","433482","0.0-25.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","7","7","1918",""
"7009","0","html-button-response","27","440996","0.0-26.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","1","2","1092",""
"5636","0","html-button-response","28","447146","0.0-27.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","5","4","1141",""
"8690","0","html-button-response","29","456350","0.0-28.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","7","5","425",""
"9012","0","html-button-response","30","465865","0.0-29.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","6","8","1227",""
"6591","0","html-button-response","31","472961","0.0-30.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","9","4","290",""
"9995","0","html-button-response","32","483506","0.0-31.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","1","1","403",""
"6225","0","html-button-response","33","490241","0.0-32.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","9","6","889",""
"5856","0","html-button-response","34","496601","0.0-33.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","5","5","1331",""
"13323","0","html-button-response","35","510431","0.0-34.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","9","5","513",""
"6860","0","html-button-response","36","517804","0.0-35.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","1","4","1088",""
"4899","0","html-button-response","37","523212","0.0-36.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","9","9","2033",""
"6000","0","html-button-response","38","529744","0.0-37.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","9","7","1080",""
"5562","0","html-button-response","39","535810","0.0-38.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","2","2","1792",""
"5128","0","html-button-response","40","541450","0.0-39.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","1","5","956",""
"5665","0","html-button-response","41","547631","0.0-40.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","9","3","118",""
"10338","0","html-button-response","42","558483","0.0-41.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","9","9","1366",""
"6763","0","html-button-response","43","565750","0.0-42.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","9","2","76",""
"8305","0","html-button-response","44","574571","0.0-43.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","8","9","1537",""
"5986","0","html-button-response","45","581073","0.0-44.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","9","4","378",""
"4068","0","html-button-response","46","585656","0.0-45.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","1","1","1375",""
"5008","0","html-button-response","47","591177","0.0-46.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","5","5","1477",""
"7063","0","html-button-response","48","598758","0.0-47.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","2","2","533",""
"5578","0","html-button-response","49","604841","0.0-48.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","5","5","2012",""
"6368","0","html-button-response","50","611711","0.0-49.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","1","1","855",""
"8880","0","html-button-response","51","621108","0.0-50.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","5","5","1812",""
"5132","0","html-button-response","52","626746","0.0-51.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","5","5","2127",""
"6625","0","html-button-response","53","633874","0.0-52.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","2","4","2015",""
"6345","0","html-button-response","54","640736","0.0-53.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","1","2","949",""
"7744","0","html-button-response","55","648993","0.0-54.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","9","4","183",""
"5901","0","html-button-response","56","655396","0.0-55.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","5","4","1101",""
"8266","0","html-button-response","57","664166","0.0-56.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","7","6","1433",""
"8280","0","html-button-response","58","672964","0.0-57.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","7","2","117",""
"5019","0","html-button-response","59","678499","0.0-58.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","5","5","1501",""
"9976","0","html-button-response","60","688990","0.0-59.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","1","3","1729",""
"5293","0","html-button-response","61","694788","0.0-60.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","1","4","1456",""
"8323","0","html-button-response","62","703616","0.0-61.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","7","7","2134",""
"7845","0","html-button-response","63","711970","0.0-62.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","2","3","724",""
"7353","0","html-button-response","64","719837","0.0-63.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","7","9","1760",""
"14309","0","html-button-response","65","734650","0.0-64.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","2","2","1597",""
"5852","0","html-button-response","66","741018","0.0-65.0","60833ce5197d68cff9df1b83","60833ce5197d68cff9df1b83_20240207","","","","9","5","614",""
