"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","understand_correct","stimulus","arousal","valence","img_id","tested_trial_idx"
"3450","0","html-button-response","0","3451","0.0-0.0","60ff1981688229d1e3eb43e9","60ff1981688229d1e3eb43e9_20240207","","","","","","",""
"7980","[object Object]","survey-html-form","1","11933","0.0-1.0","60ff1981688229d1e3eb43e9","60ff1981688229d1e3eb43e9_20240207","prolific_id_page","","","","","",""
"28633","0","html-button-response","2","40567","0.0-2.0","60ff1981688229d1e3eb43e9","60ff1981688229d1e3eb43e9_20240207","","","","","","",""
"149689","0","html-button-response","3","190761","0.0-3.0-0.0","60ff1981688229d1e3eb43e9","60ff1981688229d1e3eb43e9_20240207","","true","","","","",""
"1637","0","html-button-response","4","192901","0.0-4.0","60ff1981688229d1e3eb43e9","60ff1981688229d1e3eb43e9_20240207","","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","","","",""
"5529","0","html-button-response","5","198933","0.0-5.0","60ff1981688229d1e3eb43e9","60ff1981688229d1e3eb43e9_20240207","","","","5","5","1836",""
"7880","0","html-button-response","6","207315","0.0-6.0","60ff1981688229d1e3eb43e9","60ff1981688229d1e3eb43e9_20240207","","","","5","2","712",""
"3232","0","html-button-response","7","211049","0.0-7.0","60ff1981688229d1e3eb43e9","60ff1981688229d1e3eb43e9_20240207","","","","5","5","954",""
"4908","0","html-button-response","8","216459","0.0-8.0","60ff1981688229d1e3eb43e9","60ff1981688229d1e3eb43e9_20240207","","","","6","2","1075",""
"4082","0","html-button-response","9","221043","0.0-9.0","60ff1981688229d1e3eb43e9","60ff1981688229d1e3eb43e9_20240207","","","","5","3","150",""
"6266","0","html-button-response","10","227811","0.0-10.0","60ff1981688229d1e3eb43e9","60ff1981688229d1e3eb43e9_20240207","","","","5","6","1951",""
"3396","0","html-button-response","11","231709","0.0-11.0","60ff1981688229d1e3eb43e9","60ff1981688229d1e3eb43e9_20240207","","","","5","5","1647",""
"8318","0","html-button-response","12","240529","0.0-12.0","60ff1981688229d1e3eb43e9","60ff1981688229d1e3eb43e9_20240207","","","","7","5","98",""
