"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","understand_correct","stimulus","arousal","valence","img_id","tested_trial_idx"
"47754","0","html-button-response","0","47766","0.0-0.0","6307f3c967020d1202332b77","6307f3c967020d1202332b77_20240207","","","","","","",""
"9423","[object Object]","survey-html-form","1","57708","0.0-1.0","6307f3c967020d1202332b77","6307f3c967020d1202332b77_20240207","prolific_id_page","","","","","",""
"145514","0","html-button-response","2","203224","0.0-2.0","6307f3c967020d1202332b77","6307f3c967020d1202332b77_20240207","","","","","","",""
"15849","0","html-button-response","3","219588","0.0-3.0-0.0","6307f3c967020d1202332b77","6307f3c967020d1202332b77_20240207","","false","","","","",""
"16690","0","html-button-response","4","240456","0.0-3.1-0.1","6307f3c967020d1202332b77","6307f3c967020d1202332b77_20240207","","false","","","","",""
"32774","0","html-button-response","5","276785","0.0-3.2-0.2","6307f3c967020d1202332b77","6307f3c967020d1202332b77_20240207","","false","","","","",""
"16702","0","html-button-response","6","296440","0.0-3.3-0.3","6307f3c967020d1202332b77","6307f3c967020d1202332b77_20240207","","false","","","","",""
"47719","0","html-button-response","7","347580","0.0-3.4-0.4","6307f3c967020d1202332b77","6307f3c967020d1202332b77_20240207","","false","","","","",""
"11155","0","html-button-response","8","361464","0.0-3.5-0.5","6307f3c967020d1202332b77","6307f3c967020d1202332b77_20240207","","false","","","","",""
"10174","0","html-button-response","9","374400","0.0-3.6-0.6","6307f3c967020d1202332b77","6307f3c967020d1202332b77_20240207","","false","","","","",""
"22811","0","html-button-response","10","399905","0.0-3.7-0.7","6307f3c967020d1202332b77","6307f3c967020d1202332b77_20240207","","false","","","","",""
"9442","0","html-button-response","11","411854","0.0-3.8-0.8","6307f3c967020d1202332b77","6307f3c967020d1202332b77_20240207","","false","","","","",""
"20803","0","html-button-response","12","435322","0.0-3.9-0.9","6307f3c967020d1202332b77","6307f3c967020d1202332b77_20240207","","false","","","","",""
"9139","0","html-button-response","13","447517","0.0-3.10-0.10","6307f3c967020d1202332b77","6307f3c967020d1202332b77_20240207","","false","","","","",""
"9803","0","html-button-response","14","460222","0.0-3.11-0.11","6307f3c967020d1202332b77","6307f3c967020d1202332b77_20240207","","false","","","","",""
"8110","0","html-button-response","15","471233","0.0-3.12-0.12","6307f3c967020d1202332b77","6307f3c967020d1202332b77_20240207","","false","","","","",""
"8035","0","html-button-response","16","482377","0.0-3.13-0.13","6307f3c967020d1202332b77","6307f3c967020d1202332b77_20240207","","false","","","","",""
"12087","0","html-button-response","17","497369","0.0-3.14-0.14","6307f3c967020d1202332b77","6307f3c967020d1202332b77_20240207","","false","","","","",""
"128046","0","html-button-response","18","628753","0.0-3.15-0.15","6307f3c967020d1202332b77","6307f3c967020d1202332b77_20240207","","true","","","","",""
"3512","0","html-button-response","19","632769","0.0-4.0","6307f3c967020d1202332b77","6307f3c967020d1202332b77_20240207","","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","","","",""
"17313","0","html-button-response","20","650592","0.0-5.0","6307f3c967020d1202332b77","6307f3c967020d1202332b77_20240207","","","","4","3","415",""
