"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","understand_correct","stimulus","arousal","valence","img_id","tested_trial_idx"
"4858","0","html-button-response","0","4858","0.0-0.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","","","",""
"4172","[object Object]","survey-html-form","1","9537","0.0-1.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","prolific_id_page","","","","","",""
"27395","0","html-button-response","2","36934","0.0-2.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","","","",""
"9669","0","html-button-response","3","47117","0.0-3.0-0.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","false","","","","",""
"26684","0","html-button-response","4","76921","0.0-3.1-0.1","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","true","","","","",""
"1111","0","html-button-response","5","78544","0.0-4.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","","","",""
"18895","0","html-button-response","6","97946","0.0-5.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","5","2","1624",""
"6523","0","html-button-response","7","104980","0.0-6.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","7","5","158",""
"5218","0","html-button-response","8","110701","0.0-7.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","5","5","1297",""
"9268","0","html-button-response","9","120482","0.0-8.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","5","7","1587",""
"13816","0","html-button-response","10","134807","0.0-9.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","7","4","914",""
"10411","0","html-button-response","11","145720","0.0-10.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","7","1","1047",""
"4379","0","html-button-response","12","150609","0.0-11.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","5","5","642",""
"4156","0","html-button-response","13","155272","0.0-12.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","5","3","610",""
"3459","0","html-button-response","14","159245","0.0-13.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","7","3","68",""
"51531","0","html-button-response","15","211286","0.0-14.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","8","4","199",""
"3714","0","html-button-response","16","215509","0.0-15.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","5","6","1436",""
"3207","0","html-button-response","17","219225","0.0-16.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","5","3","597",""
"4034","0","html-button-response","18","223767","0.0-17.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","7","4","123",""
"3197","0","html-button-response","19","227466","0.0-18.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","5","5","2025",""
"2717","0","html-button-response","20","230695","0.0-19.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","5","5","1799",""
"3827","0","html-button-response","21","235028","0.0-20.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","5","4","1945",""
"4976","0","html-button-response","22","240515","0.0-21.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","6","5","139",""
"3490","0","html-button-response","23","244516","0.0-22.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","6","5","502",""
"3551","0","html-button-response","24","248570","0.0-23.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","7","7","1891",""
"4674","0","html-button-response","25","253746","0.0-24.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","4","4","2199",""
"3772","0","html-button-response","26","258030","0.0-25.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","5","5","1337",""
"6851","0","html-button-response","27","265395","0.0-26.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","8","5","781",""
"3312","0","html-button-response","28","269212","0.0-27.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","5","6","1446",""
"2908","0","html-button-response","29","272626","0.0-28.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","3","3","1610",""
"3038","0","html-button-response","30","276170","0.0-29.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","8","5","770",""
"4396","0","html-button-response","31","281078","0.0-30.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","7","8","1705",""
"4678","0","html-button-response","32","286259","0.0-31.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","8","3","157",""
"5392","0","html-button-response","33","292161","0.0-32.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","7","4","318",""
"3283","0","html-button-response","34","295957","0.0-33.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","7","4","484",""
"2827","0","html-button-response","35","299292","0.0-34.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","7","4","604",""
"5731","0","html-button-response","36","305534","0.0-35.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","4","3","2184",""
"8658","0","html-button-response","37","314706","0.0-36.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","9","1","1192",""
"3382","0","html-button-response","38","318596","0.0-37.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","7","5","113",""
"4280","0","html-button-response","39","323378","0.0-38.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","8","4","419",""
"5069","0","html-button-response","40","328960","0.0-39.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","6","7","1081",""
"3360","0","html-button-response","41","332833","0.0-40.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","9","1","857",""
"3357","0","html-button-response","42","336698","0.0-41.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","8","2","208",""
"5225","0","html-button-response","43","342439","0.0-42.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","8","3","36",""
"2429","0","html-button-response","44","345370","0.0-43.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","5","5","1670",""
"2998","0","html-button-response","45","348880","0.0-44.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","8","4","734",""
"2431","0","html-button-response","46","351818","0.0-45.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","5","5","1126",""
"5287","0","html-button-response","47","357620","0.0-46.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","5","4","1326",""
"4682","0","html-button-response","48","362806","0.0-47.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","9","6","511",""
"3329","0","html-button-response","49","366647","0.0-48.0","631c790a9061cd8137fd215b","631c790a9061cd8137fd215b_20240207","","","","5","4","960",""
