"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","understand_correct","stimulus","arousal","valence","img_id","tested_trial_idx"
"5658","0","html-button-response","0","5662","0.0-0.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","","","",""
"5049","[object Object]","survey-html-form","1","11222","0.0-1.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","prolific_id_page","","","","","",""
"63264","0","html-button-response","2","74487","0.0-2.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","","","",""
"89478","0","html-button-response","3","164479","0.0-3.0-0.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","true","","","","",""
"9477","0","html-button-response","4","174458","0.0-4.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","","","",""
"13420","0","html-button-response","5","188392","0.0-5.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","3","6","2096",""
"13310","0","html-button-response","6","202206","0.0-6.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","6","3","226",""
"4177","0","html-button-response","7","206897","0.0-7.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","2","2","1116",""
"5150","0","html-button-response","8","212548","0.0-8.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","5","1","1025",""
"7730","0","html-button-response","9","220783","0.0-9.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","1","4","1166",""
"6763","0","html-button-response","10","228053","0.0-10.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","3","7","1357",""
"4843","0","html-button-response","11","233403","0.0-11.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","5","5","1626",""
"10302","0","html-button-response","12","244214","0.0-12.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","1","3","1959",""
"6353","0","html-button-response","13","251083","0.0-13.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","4","4","661",""
"5365","0","html-button-response","14","256958","0.0-14.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","5","2","143",""
"5949","0","html-button-response","15","263408","0.0-15.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","5","7","1953",""
"4680","0","html-button-response","16","268594","0.0-16.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","6","3","279",""
"3659","0","html-button-response","17","272756","0.0-17.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","6","6","1200",""
"3280","0","html-button-response","18","276541","0.0-18.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","3","3","1300",""
"5010","0","html-button-response","19","282057","0.0-19.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","5","2","1274",""
"3739","0","html-button-response","20","286302","0.0-20.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","5","5","1821",""
"4808","0","html-button-response","21","291613","0.0-21.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","3","3","973",""
"8165","0","html-button-response","22","300280","0.0-22.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","6","4","2102",""
"7304","0","html-button-response","23","308095","0.0-23.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","9","3","33",""
"14172","0","html-button-response","24","322770","0.0-24.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","3","6","1448",""
"5713","0","html-button-response","25","328984","0.0-25.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","7","3","649",""
"3094","0","html-button-response","26","332589","0.0-26.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","7","2","336",""
"5544","0","html-button-response","27","338643","0.0-27.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","6","5","1990",""
"6874","0","html-button-response","28","346033","0.0-28.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","7","7","2035",""
"3804","0","html-button-response","29","350353","0.0-29.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","9","7","693",""
"2186","0","html-button-response","30","353044","0.0-30.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","9","8","5",""
"7408","0","html-button-response","31","360964","0.0-31.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","8","3","737",""
"5604","0","html-button-response","32","367071","0.0-32.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","8","3","739",""
"8253","0","html-button-response","33","375826","0.0-33.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","4","4","311",""
"5610","0","html-button-response","34","381939","0.0-34.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","6","3","2131",""
"3867","0","html-button-response","35","386312","0.0-35.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","5","5","1666",""
"7714","0","html-button-response","36","394541","0.0-36.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","3","4","103",""
"14398","0","html-button-response","37","409445","0.0-37.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","5","4","1602",""
"2431","0","html-button-response","38","412391","0.0-38.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","6","5","993",""
"2475","0","html-button-response","39","415368","0.0-39.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","7","7","690",""
"1958","0","html-button-response","40","417830","0.0-40.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","4","3","1320",""
"1951","0","html-button-response","41","420286","0.0-41.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","2","1","1230",""
"2227","0","html-button-response","42","423028","0.0-42.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","1","1","182",""
"1878","0","html-button-response","43","425411","0.0-43.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","5","6","446",""
"2111","0","html-button-response","44","428024","0.0-44.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","7","7","1929",""
"3152","0","html-button-response","45","431692","0.0-45.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","8","7","1418",""
"2425","0","html-button-response","46","434629","0.0-46.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","5","7","1483",""
"2504","0","html-button-response","47","437647","0.0-47.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","5","4","1310",""
"2004","0","html-button-response","48","440156","0.0-48.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","3","3","1040",""
"2623","0","html-button-response","49","443284","0.0-49.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","4","4","944",""
"3654","0","html-button-response","50","447452","0.0-50.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","6","3","527",""
"4155","0","html-button-response","51","452108","0.0-51.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","7","2","738",""
"3392","0","html-button-response","52","456007","0.0-52.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","5","5","1291",""
"9481","0","html-button-response","53","465989","0.0-53.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","5","5","1639",""
"2332","0","html-button-response","54","468793","0.0-54.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","4","2","1312",""
"2685","0","html-button-response","55","471991","0.0-55.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","7","2","1039",""
"5603","0","html-button-response","56","478103","0.0-56.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","5","4","619",""
"5368","0","html-button-response","57","483975","0.0-57.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","8","3","2038",""
"3213","0","html-button-response","58","487700","0.0-58.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","8","8","1732",""
"5205","0","html-button-response","59","493408","0.0-59.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","7","4","1568",""
"2717","0","html-button-response","60","496627","0.0-60.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","7","3","1541",""
"3738","0","html-button-response","61","500873","0.0-61.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","6","6","1408",""
"2344","0","html-button-response","62","503723","0.0-62.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","7","6","1709",""
"3343","0","html-button-response","63","507568","0.0-63.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","8","6","1394",""
"3667","0","html-button-response","64","511749","0.0-64.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","7","3","1530",""
"3834","0","html-button-response","65","516095","0.0-65.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","6","6","1914",""
"4099","0","html-button-response","66","520703","0.0-66.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","7","3","603",""
"3033","0","html-button-response","67","524238","0.0-67.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","9","1","1037",""
"2534","0","html-button-response","68","527211","0.0-68.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","5","5","1979",""
"4480","0","html-button-response","69","532202","0.0-69.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","5","6","1795",""
"2462","0","html-button-response","70","535176","0.0-70.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","5","4","2169",""
"3977","0","html-button-response","71","539656","0.0-71.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","5","4","972",""
"2324","0","html-button-response","72","542485","0.0-72.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","7","3","42",""
"2041","0","html-button-response","73","545037","0.0-73.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","6","4","320",""
"2134","0","html-button-response","74","547673","0.0-74.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","7","7","1735",""
"3280","0","html-button-response","75","551470","0.0-75.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","6","6","763",""
"4958","0","html-button-response","76","556939","0.0-76.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","5","4","2113",""
"2478","0","html-button-response","77","559921","0.0-77.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","5","2","2027",""
"3234","0","html-button-response","78","563661","0.0-78.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","7","1","1233",""
"2368","0","html-button-response","79","566541","0.0-79.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","8","1","1581",""
"4807","0","html-button-response","80","571853","0.0-80.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","3","4","1149",""
"2851","0","html-button-response","81","575220","0.0-81.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","7","7","1746",""
"2651","0","html-button-response","82","578383","0.0-82.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","9","1","348",""
"3697","0","html-button-response","83","582583","0.0-83.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","4","3","1663",""
"6132","0","html-button-response","84","589162","0.0-84.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","8","5","733",""
"3975","0","html-button-response","85","593639","0.0-85.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","9","4","80",""
"2487","0","html-button-response","86","596633","0.0-86.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","7","4","549",""
"5930","0","html-button-response","87","603076","0.0-87.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","5","7","1930",""
"4411","0","html-button-response","88","607990","0.0-88.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","7","5","308",""
"3029","0","html-button-response","89","611524","0.0-89.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","7","7","1710",""
"16990","0","html-button-response","90","629016","0.0-90.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","6","5","757",""
"2478","0","html-button-response","91","631997","0.0-91.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","6","6","1743",""
"2237","0","html-button-response","92","634738","0.0-92.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","7","4","2086",""
"3483","0","html-button-response","93","638726","0.0-93.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","3","3","899",""
"2538","0","html-button-response","94","641771","0.0-94.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","9","1","1872",""
"2048","0","html-button-response","95","644333","0.0-95.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","7","3","753",""
"2936","0","html-button-response","96","647710","0.0-96.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","7","5","53",""
"2272","0","html-button-response","97","650489","0.0-97.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","4","6","2123",""
"4246","0","html-button-response","98","655238","0.0-98.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","7","4","132",""
"3161","0","html-button-response","99","658910","0.0-99.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","3","3","611",""
"2062","0","html-button-response","100","661475","0.0-100.0","6550db1f1f5362bee121a572","6550db1f1f5362bee121a572_20240207","","","","4","5","1670",""
