"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","understand_correct","stimulus","arousal","valence","img_id","tested_trial_idx"
"28780","0","html-button-response","0","28783","0.0-0.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","","","",""
"5767","[object Object]","survey-html-form","1","35055","0.0-1.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","prolific_id_page","","","","","",""
"11190","0","html-button-response","2","46248","0.0-2.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","","","",""
"21660","0","html-button-response","3","68411","0.0-3.0-0.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","true","","","","",""
"1365","0","html-button-response","4","70278","0.0-4.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","","","",""
"2514","0","html-button-response","5","73294","0.0-5.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","1","1232",""
"2479","0","html-button-response","6","76275","0.0-6.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","1","1859",""
"3282","0","html-button-response","7","80060","0.0-7.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","9","56",""
"2115","0","html-button-response","8","82679","0.0-8.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","1","1702",""
"2614","0","html-button-response","9","85809","0.0-9.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","1","90",""
"3402","0","html-button-response","10","89713","0.0-10.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","1","1573",""
"3299","0","html-button-response","11","93515","0.0-11.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","1","5","1284",""
"3041","0","html-button-response","12","97058","0.0-12.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","1","913",""
"3012","0","html-button-response","13","100574","0.0-13.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","9","1396",""
"3173","0","html-button-response","14","104249","0.0-14.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","5","1322",""
"1834","0","html-button-response","15","106587","0.0-15.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","5","1657",""
"4123","0","html-button-response","16","111212","0.0-16.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","9","1575",""
"3012","0","html-button-response","17","114727","0.0-17.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","1","884",""
"3016","0","html-button-response","18","118246","0.0-18.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","5","1856",""
"2570","0","html-button-response","19","121319","0.0-19.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","1","283",""
"2998","0","html-button-response","20","124819","0.0-20.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","1","887",""
"3110","0","html-button-response","21","128431","0.0-21.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","5","2117",""
"2518","0","html-button-response","22","131451","0.0-22.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","1","1024",""
"2404","0","html-button-response","23","134356","0.0-23.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","9","1875",""
"2559","0","html-button-response","24","137422","0.0-24.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","1","673",""
"2857","0","html-button-response","25","140781","0.0-25.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","5","953",""
"2659","0","html-button-response","26","143941","0.0-26.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","1","1794",""
"2847","0","html-button-response","27","147290","0.0-27.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","1","1","178",""
"4822","0","html-button-response","28","152615","0.0-28.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","9","5","561",""
"2921","0","html-button-response","29","156038","0.0-29.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","1","727",""
"2852","0","html-button-response","30","159393","0.0-30.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","5","1121",""
"2180","0","html-button-response","31","162075","0.0-31.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","5","1515",""
"2749","0","html-button-response","32","165327","0.0-32.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","1","1220",""
"2220","0","html-button-response","33","168050","0.0-33.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","1","1079",""
"2477","0","html-button-response","34","171030","0.0-34.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","1","516",""
"3978","0","html-button-response","35","175510","0.0-35.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","5","2014",""
"2497","0","html-button-response","36","178512","0.0-36.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","9","1964",""
"2533","0","html-button-response","37","181547","0.0-37.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","5","1458",""
"2347","0","html-button-response","38","184396","0.0-38.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","1","104",""
"2729","0","html-button-response","39","187626","0.0-39.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","9","1939",""
"2360","0","html-button-response","40","190487","0.0-40.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","1","883",""
"2266","0","html-button-response","41","193254","0.0-41.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","5","835",""
"12533","0","html-button-response","42","206288","0.0-42.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","1","403",""
"5429","0","html-button-response","43","212221","0.0-43.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","5","1665",""
"2133","0","html-button-response","44","214857","0.0-44.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","9","1563",""
"5631","0","html-button-response","45","220990","0.0-45.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","5","144",""
"2069","0","html-button-response","46","223563","0.0-46.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","5","1838",""
"4982","0","html-button-response","47","229048","0.0-47.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","9","768",""
"1955","0","html-button-response","48","231505","0.0-48.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","5","2196",""
"2446","0","html-button-response","49","234452","0.0-49.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","1","987",""
"3815","0","html-button-response","50","238772","0.0-50.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","9","1213",""
"2012","0","html-button-response","51","241287","0.0-51.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","1","880",""
"2174","0","html-button-response","52","243962","0.0-52.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","9","369",""
"4023","0","html-button-response","53","248487","0.0-53.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","5","1995",""
"2376","0","html-button-response","54","251365","0.0-54.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","1","480",""
"2164","0","html-button-response","55","254030","0.0-55.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","9","1029",""
"5214","0","html-button-response","56","259746","0.0-56.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","9","1746",""
"2093","0","html-button-response","57","262341","0.0-57.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","1","723",""
"3569","0","html-button-response","58","266413","0.0-58.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","9","1772",""
"3027","0","html-button-response","59","269953","0.0-59.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","1","1038",""
"2299","0","html-button-response","60","272755","0.0-60.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","1","1195",""
"3776","0","html-button-response","61","277034","0.0-61.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","1","481",""
"5488","0","html-button-response","62","283024","0.0-62.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","1","1582",""
"1896","0","html-button-response","63","285422","0.0-63.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","9","732",""
"1526","0","html-button-response","64","287452","0.0-64.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","9","580",""
"1674","0","html-button-response","65","289630","0.0-65.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","5","2186",""
"1833","0","html-button-response","66","291965","0.0-66.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","1","581",""
"1809","0","html-button-response","67","294277","0.0-67.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","5","928",""
"2315","0","html-button-response","68","297095","0.0-68.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","1","543",""
"1760","0","html-button-response","69","299357","0.0-69.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","1","1559",""
"1825","0","html-button-response","70","301684","0.0-70.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","1","25",""
"1839","0","html-button-response","71","304024","0.0-71.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","5","1473",""
"3984","0","html-button-response","72","308510","0.0-72.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","9","677",""
"2127","0","html-button-response","73","311139","0.0-73.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","9","5","54",""
"1862","0","html-button-response","74","313503","0.0-74.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","5","1675",""
"1763","0","html-button-response","75","315767","0.0-75.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","1","1234",""
"3055","0","html-button-response","76","319324","0.0-76.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","1","511",""
"1827","0","html-button-response","77","321654","0.0-77.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","5","963",""
"2118","0","html-button-response","78","324274","0.0-78.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","9","2046",""
"6053","0","html-button-response","79","330829","0.0-79.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","5","878",""
"2456","0","html-button-response","80","333789","0.0-80.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","5","326",""
"3754","0","html-button-response","81","338047","0.0-81.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","9","1734",""
"1981","0","html-button-response","82","340531","0.0-82.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","9","1055",""
"1845","0","html-button-response","83","342879","0.0-83.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","1","205",""
"2939","0","html-button-response","84","346322","0.0-84.0","655a308e3cc84dd3699ea93e","655a308e3cc84dd3699ea93e_20240207","","","","5","5","669",""
