"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","understand_correct","stimulus","arousal","valence","img_id","tested_trial_idx"
"7099","0","html-button-response","0","7102","0.0-0.0","655ce19d4972e57a547558c2","655ce19d4972e57a547558c2_20240207","","","","","","",""
"17195","[object Object]","survey-html-form","1","24817","0.0-1.0","655ce19d4972e57a547558c2","655ce19d4972e57a547558c2_20240207","prolific_id_page","","","","","",""
"10605","0","html-button-response","2","35424","0.0-2.0","655ce19d4972e57a547558c2","655ce19d4972e57a547558c2_20240207","","","","","","",""
"39965","0","html-button-response","3","75899","0.0-3.0-0.0","655ce19d4972e57a547558c2","655ce19d4972e57a547558c2_20240207","","true","","","","",""
"3366","0","html-button-response","4","79785","0.0-4.0","655ce19d4972e57a547558c2","655ce19d4972e57a547558c2_20240207","","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","","","",""
"11136","0","html-button-response","5","91446","0.0-5.0","655ce19d4972e57a547558c2","655ce19d4972e57a547558c2_20240207","","","","7","8","1746",""
"1741","0","html-button-response","6","93691","0.0-6.0","655ce19d4972e57a547558c2","655ce19d4972e57a547558c2_20240207","","","","3","9","1939",""
"1403","0","html-button-response","7","95601","0.0-7.0","655ce19d4972e57a547558c2","655ce19d4972e57a547558c2_20240207","","","","1","7","671",""
"2388","0","html-button-response","8","98501","0.0-8.0","655ce19d4972e57a547558c2","655ce19d4972e57a547558c2_20240207","","","","2","2","1274",""
"2404","0","html-button-response","9","101415","0.0-9.0","655ce19d4972e57a547558c2","655ce19d4972e57a547558c2_20240207","","","","6","8","1398",""
"2429","0","html-button-response","10","104360","0.0-10.0","655ce19d4972e57a547558c2","655ce19d4972e57a547558c2_20240207","","","","5","5","1797",""
"4433","0","html-button-response","11","109301","0.0-11.0","655ce19d4972e57a547558c2","655ce19d4972e57a547558c2_20240207","","","","3","3","2144",""
"4466","0","html-button-response","12","114270","0.0-12.0","655ce19d4972e57a547558c2","655ce19d4972e57a547558c2_20240207","","","","5","5","669",""
"2414","0","html-button-response","13","117191","0.0-13.0","655ce19d4972e57a547558c2","655ce19d4972e57a547558c2_20240207","","","","9","6","28",""
"2277","0","html-button-response","14","119971","0.0-14.0","655ce19d4972e57a547558c2","655ce19d4972e57a547558c2_20240207","","","","5","5","992",""
"2719","0","html-button-response","15","123196","0.0-15.0","655ce19d4972e57a547558c2","655ce19d4972e57a547558c2_20240207","","","","8","9","859",""
"3675","0","html-button-response","16","127382","0.0-16.0","655ce19d4972e57a547558c2","655ce19d4972e57a547558c2_20240207","","","","3","3","118",""
"1734","0","html-button-response","17","129631","0.0-17.0","655ce19d4972e57a547558c2","655ce19d4972e57a547558c2_20240207","","","","1","4","425",""
"1793","0","html-button-response","18","131931","0.0-18.0","655ce19d4972e57a547558c2","655ce19d4972e57a547558c2_20240207","","","","7","2","811",""
"1902","0","html-button-response","19","134349","0.0-19.0","655ce19d4972e57a547558c2","655ce19d4972e57a547558c2_20240207","","","","5","1","244",""
"1667","0","html-button-response","20","136519","0.0-20.0","655ce19d4972e57a547558c2","655ce19d4972e57a547558c2_20240207","","","","5","3","825",""
"1530","0","html-button-response","21","138553","0.0-21.0","655ce19d4972e57a547558c2","655ce19d4972e57a547558c2_20240207","","","","2","5","920",""
