"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","understand_correct","stimulus","arousal","valence","img_id","tested_trial_idx"
"6456","0","html-button-response","0","6464","0.0-0.0","65ab5b0559ed95e63d138a48","65ab5b0559ed95e63d138a48_20240207","","","","","","",""
"11604","[object Object]","survey-html-form","1","18577","0.0-1.0","65ab5b0559ed95e63d138a48","65ab5b0559ed95e63d138a48_20240207","prolific_id_page","","","","","",""
"13652","0","html-button-response","2","32232","0.0-2.0","65ab5b0559ed95e63d138a48","65ab5b0559ed95e63d138a48_20240207","","","","","","",""
"120696","0","html-button-response","3","153445","0.0-3.0-0.0","65ab5b0559ed95e63d138a48","65ab5b0559ed95e63d138a48_20240207","","true","","","","",""
"1585","0","html-button-response","4","155539","0.0-4.0","65ab5b0559ed95e63d138a48","65ab5b0559ed95e63d138a48_20240207","","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","","","",""
"8505","0","html-button-response","5","164562","0.0-5.0","65ab5b0559ed95e63d138a48","65ab5b0559ed95e63d138a48_20240207","","","","5","9","2172",""
"5063","0","html-button-response","6","170139","0.0-6.0","65ab5b0559ed95e63d138a48","65ab5b0559ed95e63d138a48_20240207","","","","5","1","983",""
"3104","0","html-button-response","7","173751","0.0-7.0","65ab5b0559ed95e63d138a48","65ab5b0559ed95e63d138a48_20240207","","","","5","1","556",""
"5226","0","html-button-response","8","179487","0.0-8.0","65ab5b0559ed95e63d138a48","65ab5b0559ed95e63d138a48_20240207","","","","7","9","548",""
"71064","0","html-button-response","9","251059","0.0-9.0","65ab5b0559ed95e63d138a48","65ab5b0559ed95e63d138a48_20240207","","","","5","9","1589",""
"10913","0","html-button-response","10","262479","0.0-10.0","65ab5b0559ed95e63d138a48","65ab5b0559ed95e63d138a48_20240207","","","","2","9","926",""
"6303","0","html-button-response","11","269294","0.0-11.0","65ab5b0559ed95e63d138a48","65ab5b0559ed95e63d138a48_20240207","","","","9","5","1164",""
"3750","0","html-button-response","12","273559","0.0-12.0","65ab5b0559ed95e63d138a48","65ab5b0559ed95e63d138a48_20240207","","","","5","1","114",""
