"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","stimulus","rating","img_id"
"471396","0","html-button-response","0","471398","0.0-0.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","",""
"6176","[object Object]","survey-html-form","1","478082","0.0-1.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","prolific_id_page","","",""
"6301","0","html-button-response","2","484383","0.0-2.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","",""
"958","0","html-button-response","3","485851","0.0-3.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","",""
"2498","0","html-button-response","4","488862","0.0-4.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","8","132"
"1559","0","html-button-response","5","490935","0.0-5.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","5","84"
"1500","0","html-button-response","6","492941","0.0-6.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","6","139"
"1741","0","html-button-response","7","495198","0.0-7.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","8","79"
"1777","0","html-button-response","8","497482","0.0-8.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","3","23"
"1457","0","html-button-response","9","499448","0.0-9.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","5","134"
"1667","0","html-button-response","10","501620","0.0-10.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","4","141"
"232217","0","html-button-response","11","734343","0.0-11.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","4","26"
"1573","0","html-button-response","12","736421","0.0-12.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","7","87"
"1194","0","html-button-response","13","738132","0.0-13.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","5","82"
"972","0","html-button-response","14","739613","0.0-14.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","8","73"
"1989","0","html-button-response","15","742104","0.0-15.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","2","34"
"1832","0","html-button-response","16","744444","0.0-16.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","3","28"
"1615","0","html-button-response","17","746572","0.0-17.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","7","76"
"1722","0","html-button-response","18","748801","0.0-18.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","9","88"
"1339","0","html-button-response","19","750654","0.0-19.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","7","178"
"1688","0","html-button-response","20","752850","0.0-20.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","3","33"
"1968","0","html-button-response","21","755329","0.0-21.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","1","20"
"1605","0","html-button-response","22","757451","0.0-22.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","6","30"
"1490","0","html-button-response","23","759447","0.0-23.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","8","89"
"1965","0","html-button-response","24","761919","0.0-24.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","9","77"
"1733","0","html-button-response","25","764156","0.0-25.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","6","136"
"1588","0","html-button-response","26","766246","0.0-26.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","7","147"
"1604","0","html-button-response","27","768353","0.0-27.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","6","179"
"2303","0","html-button-response","28","771164","0.0-28.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","3","22"
"6273","0","html-button-response","29","777938","0.0-29.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","6","146"
"2105","0","html-button-response","30","780545","0.0-30.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","7","154"
"1795","0","html-button-response","31","782846","0.0-31.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","8","90"
"2004","0","html-button-response","32","785365","0.0-32.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","2","36"
"3988","0","html-button-response","33","789863","0.0-33.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","8","142"
"28578","0","html-button-response","34","818954","0.0-34.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","5","25"
"1490","0","html-button-response","35","820949","0.0-35.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","8","24"
"1946","0","html-button-response","36","823404","0.0-36.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","7","29"
"1397","0","html-button-response","37","825306","0.0-37.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","8","80"
"1426","0","html-button-response","38","827242","0.0-38.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","6","27"
"1746","0","html-button-response","39","829499","0.0-39.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","7","32"
"36244","0","html-button-response","40","866245","0.0-40.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","4","153"
"1488","0","html-button-response","41","868239","0.0-41.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","7","74"
"2601","0","html-button-response","42","871345","0.0-42.0","56ddac2e6893b5000de993bf","56ddac2e6893b5000de993bf_20240212","","","6","151"
