"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","stimulus","rating","img_id"
"100408","0","html-button-response","0","100409","0.0-0.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","","","",""
"5909","[object Object]","survey-html-form","1","106822","0.0-1.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","prolific_id_page","","",""
"31562","0","html-button-response","2","138385","0.0-2.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","","","",""
"893","0","html-button-response","3","139780","0.0-3.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","",""
"2290","0","html-button-response","4","142583","0.0-4.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","","","8","180"
"1733","0","html-button-response","5","144818","0.0-5.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","","","6","25"
"6484","0","html-button-response","6","151806","0.0-6.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","","","5","86"
"2150","0","html-button-response","7","154458","0.0-7.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","","","5","29"
"1763","0","html-button-response","8","156726","0.0-8.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","","","8","132"
"1641","0","html-button-response","9","158868","0.0-9.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","","","7","179"
"1492","0","html-button-response","10","160863","0.0-10.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","","","8","134"
"2019","0","html-button-response","11","163386","0.0-11.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","","","9","140"
"2290","0","html-button-response","12","166178","0.0-12.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","","","6","83"
"3998","0","html-button-response","13","170678","0.0-13.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","","","7","151"
"1805","0","html-button-response","14","172983","0.0-14.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","","","9","73"
"2700","0","html-button-response","15","176185","0.0-15.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","","","6","32"
"2872","0","html-button-response","16","179564","0.0-16.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","","","5","27"
"3072","0","html-button-response","17","183139","0.0-17.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","","","7","150"
"2781","0","html-button-response","18","186424","0.0-18.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","","","7","84"
"1802","0","html-button-response","19","188730","0.0-19.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","","","4","22"
"2413","0","html-button-response","20","191645","0.0-20.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","","","5","154"
"2314","0","html-button-response","21","194459","0.0-21.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","","","6","136"
"1874","0","html-button-response","22","196848","0.0-22.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","","","8","135"
"5498","0","html-button-response","23","202849","0.0-23.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","","","8","137"
"1849","0","html-button-response","24","205200","0.0-24.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","","","9","90"
"2113","0","html-button-response","25","207823","0.0-25.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","","","3","33"
"2560","0","html-button-response","26","210885","0.0-26.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","","","8","133"
"1748","0","html-button-response","27","213134","0.0-27.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","","","2","20"
"3796","0","html-button-response","28","217431","0.0-28.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","","","7","149"
"1770","0","html-button-response","29","219704","0.0-29.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","","","8","148"
"1796","0","html-button-response","30","222003","0.0-30.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","","","2","34"
"6690","0","html-button-response","31","229196","0.0-31.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","","","7","80"
"1760","0","html-button-response","32","231458","0.0-32.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","","","9","85"
"1764","0","html-button-response","33","233726","0.0-33.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","","","8","153"
"2402","0","html-button-response","34","236634","0.0-34.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","","","8","144"
"3312","0","html-button-response","35","240447","0.0-35.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","","","8","142"
"2688","0","html-button-response","36","243636","0.0-36.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","","","4","23"
"2454","0","html-button-response","37","246596","0.0-37.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","","","2","35"
"4566","0","html-button-response","38","251666","0.0-38.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","","","2","36"
"2869","0","html-button-response","39","255039","0.0-39.0","57dab7f721d77800018e42fe","57dab7f721d77800018e42fe_20240212","","","5","24"
