"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","stimulus","rating","img_id"
"6805","0","html-button-response","0","6822","0.0-0.0","5e98bc8a81343c0c36dc33ff","5e98bc8a81343c0c36dc33ff_20240212","","","",""
"3220","[object Object]","survey-html-form","1","10558","0.0-1.0","5e98bc8a81343c0c36dc33ff","5e98bc8a81343c0c36dc33ff_20240212","prolific_id_page","","",""
"10790","0","html-button-response","2","21350","0.0-2.0","5e98bc8a81343c0c36dc33ff","5e98bc8a81343c0c36dc33ff_20240212","","","",""
"1994","0","html-button-response","3","23852","0.0-3.0","5e98bc8a81343c0c36dc33ff","5e98bc8a81343c0c36dc33ff_20240212","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","",""
"7014","0","html-button-response","4","31383","0.0-4.0","5e98bc8a81343c0c36dc33ff","5e98bc8a81343c0c36dc33ff_20240212","","","7","3"
"5315","0","html-button-response","5","37204","0.0-5.0","5e98bc8a81343c0c36dc33ff","5e98bc8a81343c0c36dc33ff_20240212","","","4","55"
"20038","0","html-button-response","6","57744","0.0-6.0","5e98bc8a81343c0c36dc33ff","5e98bc8a81343c0c36dc33ff_20240212","","","3","70"
"7788","0","html-button-response","7","66035","0.0-7.0","5e98bc8a81343c0c36dc33ff","5e98bc8a81343c0c36dc33ff_20240212","","","4","2"
"3284","0","html-button-response","8","69837","0.0-8.0","5e98bc8a81343c0c36dc33ff","5e98bc8a81343c0c36dc33ff_20240212","","","3","111"
"4629","0","html-button-response","9","74979","0.0-9.0","5e98bc8a81343c0c36dc33ff","5e98bc8a81343c0c36dc33ff_20240212","","","4","130"
"3719","0","html-button-response","10","79209","0.0-10.0","5e98bc8a81343c0c36dc33ff","5e98bc8a81343c0c36dc33ff_20240212","","","6","4"
"4489","0","html-button-response","11","84212","0.0-11.0","5e98bc8a81343c0c36dc33ff","5e98bc8a81343c0c36dc33ff_20240212","","","4","56"
"13890","0","html-button-response","12","98611","0.0-12.0","5e98bc8a81343c0c36dc33ff","5e98bc8a81343c0c36dc33ff_20240212","","","3","62"
"7498","0","html-button-response","13","106620","0.0-13.0","5e98bc8a81343c0c36dc33ff","5e98bc8a81343c0c36dc33ff_20240212","","","6","113"
"5459","0","html-button-response","14","112599","0.0-14.0","5e98bc8a81343c0c36dc33ff","5e98bc8a81343c0c36dc33ff_20240212","","","8","5"
"5692","0","html-button-response","15","118794","0.0-15.0","5e98bc8a81343c0c36dc33ff","5e98bc8a81343c0c36dc33ff_20240212","","","8","131"
"5385","0","html-button-response","16","124706","0.0-16.0","5e98bc8a81343c0c36dc33ff","5e98bc8a81343c0c36dc33ff_20240212","","","5","1"
"9531","0","html-button-response","17","134739","0.0-17.0","5e98bc8a81343c0c36dc33ff","5e98bc8a81343c0c36dc33ff_20240212","","","7","119"
"25486","0","html-button-response","18","160729","0.0-18.0","5e98bc8a81343c0c36dc33ff","5e98bc8a81343c0c36dc33ff_20240212","","","5","110"
"6512","0","html-button-response","19","167753","0.0-19.0","5e98bc8a81343c0c36dc33ff","5e98bc8a81343c0c36dc33ff_20240212","","","6","121"
"10062","0","html-button-response","20","178326","0.0-20.0","5e98bc8a81343c0c36dc33ff","5e98bc8a81343c0c36dc33ff_20240212","","","5","14"
