"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","stimulus","rating","img_id"
"12149","0","html-button-response","0","12158","0.0-0.0","6116aa8875bdab57cab52804","6116aa8875bdab57cab52804_20240212","","","",""
"6179","[object Object]","survey-html-form","1","18839","0.0-1.0","6116aa8875bdab57cab52804","6116aa8875bdab57cab52804_20240212","prolific_id_page","","",""
"23361","0","html-button-response","2","42200","0.0-2.0","6116aa8875bdab57cab52804","6116aa8875bdab57cab52804_20240212","","","",""
"2459","0","html-button-response","3","45163","0.0-3.0","6116aa8875bdab57cab52804","6116aa8875bdab57cab52804_20240212","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","",""
"8993","0","html-button-response","4","54659","0.0-4.0","6116aa8875bdab57cab52804","6116aa8875bdab57cab52804_20240212","","","7","107"
"7163","0","html-button-response","5","62325","0.0-5.0","6116aa8875bdab57cab52804","6116aa8875bdab57cab52804_20240212","","","5","166"
"9580","0","html-button-response","6","72408","0.0-6.0","6116aa8875bdab57cab52804","6116aa8875bdab57cab52804_20240212","","","4","162"
"5831","0","html-button-response","7","78741","0.0-7.0","6116aa8875bdab57cab52804","6116aa8875bdab57cab52804_20240212","","","8","94"
"4649","0","html-button-response","8","83893","0.0-8.0","6116aa8875bdab57cab52804","6116aa8875bdab57cab52804_20240212","","","7","92"
"14209","0","html-button-response","9","98604","0.0-9.0","6116aa8875bdab57cab52804","6116aa8875bdab57cab52804_20240212","","","5","54"
"23648","0","html-button-response","10","122756","0.0-10.0","6116aa8875bdab57cab52804","6116aa8875bdab57cab52804_20240212","","","3","156"
"11518","0","html-button-response","11","134776","0.0-11.0","6116aa8875bdab57cab52804","6116aa8875bdab57cab52804_20240212","","","4","174"
"5657","0","html-button-response","12","140937","0.0-12.0","6116aa8875bdab57cab52804","6116aa8875bdab57cab52804_20240212","","","7","172"
