"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","stimulus","rating","img_id"
"76813","0","html-button-response","0","76816","0.0-0.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","",""
"4613","[object Object]","survey-html-form","1","81933","0.0-1.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","prolific_id_page","","",""
"21860","0","html-button-response","2","103795","0.0-2.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","",""
"1061","0","html-button-response","3","105369","0.0-3.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","",""
"4499","0","html-button-response","4","110379","0.0-4.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","8","149"
"3903","0","html-button-response","5","114797","0.0-5.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","8","150"
"3249","0","html-button-response","6","118551","0.0-6.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","8","144"
"6827","0","html-button-response","7","125891","0.0-7.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","9","83"
"5263","0","html-button-response","8","131657","0.0-8.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","8","84"
"2450","0","html-button-response","9","134618","0.0-9.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","8","143"
"3607","0","html-button-response","10","138740","0.0-10.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","9","88"
"4331","0","html-button-response","11","143578","0.0-11.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","8","73"
"2541","0","html-button-response","12","146624","0.0-12.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","8","74"
"5195","0","html-button-response","13","152328","0.0-13.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","4","35"
"2463","0","html-button-response","14","155302","0.0-14.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","8","81"
"3775","0","html-button-response","15","159582","0.0-15.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","8","89"
"4481","0","html-button-response","16","164576","0.0-16.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","3","28"
"5221","0","html-button-response","17","170312","0.0-17.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","3","36"
"3390","0","html-button-response","18","174208","0.0-18.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","7","180"
"2441","0","html-button-response","19","177152","0.0-19.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","7","137"
"2853","0","html-button-response","20","180510","0.0-20.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","8","139"
"3007","0","html-button-response","21","184024","0.0-21.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","3","19"
"2694","0","html-button-response","22","187235","0.0-22.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","9","78"
"2413","0","html-button-response","23","190156","0.0-23.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","8","135"
"5241","0","html-button-response","24","195914","0.0-24.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","2","21"
"3357","0","html-button-response","25","199786","0.0-25.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","5","30"
"2278","0","html-button-response","26","202568","0.0-26.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","8","132"
"2421","0","html-button-response","27","205490","0.0-27.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","8","146"
"2660","0","html-button-response","28","208660","0.0-28.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","9","76"
"2951","0","html-button-response","29","212112","0.0-29.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","8","154"
"2277","0","html-button-response","30","214894","0.0-30.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","9","85"
"2999","0","html-button-response","31","218408","0.0-31.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","9","86"
"3309","0","html-button-response","32","222226","0.0-32.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","2","33"
"3693","0","html-button-response","33","226426","0.0-33.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","6","23"
"3143","0","html-button-response","34","230072","0.0-34.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","4","29"
"2376","0","html-button-response","35","232962","0.0-35.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","9","87"
"2146","0","html-button-response","36","235620","0.0-36.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","9","79"
"3291","0","html-button-response","37","239414","0.0-37.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","1","20"
"3805","0","html-button-response","38","243730","0.0-38.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","3","26"
"2194","0","html-button-response","39","246434","0.0-39.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","8","141"
"3495","0","html-button-response","40","250438","0.0-40.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","6","24"
"2261","0","html-button-response","41","253213","0.0-41.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","8","153"
"2464","0","html-button-response","42","256182","0.0-42.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","3","27"
"2443","0","html-button-response","43","259135","0.0-43.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","9","77"
"2489","0","html-button-response","44","262127","0.0-44.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","8","145"
"2526","0","html-button-response","45","265156","0.0-45.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","9","82"
"2136","0","html-button-response","46","267806","0.0-46.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","8","136"
"2046","0","html-button-response","47","270362","0.0-47.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","8","134"
"4127","0","html-button-response","48","274997","0.0-48.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","1","34"
"2161","0","html-button-response","49","277671","0.0-49.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","8","140"
"2557","0","html-button-response","50","280733","0.0-50.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","3","25"
"2083","0","html-button-response","51","283327","0.0-51.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","8","152"
"2001","0","html-button-response","52","285834","0.0-52.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","8","138"
"2234","0","html-button-response","53","288571","0.0-53.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","9","75"
"1978","0","html-button-response","54","291062","0.0-54.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","8","151"
"3626","0","html-button-response","55","295200","0.0-55.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","1","22"
"2058","0","html-button-response","56","297764","0.0-56.0","6175e05636b79082f8d345c5","6175e05636b79082f8d345c5_20240212","","","8","148"
