rt,response,trial_type,trial_index,time_elapsed,internal_node_id,part_ID,ID_DATE,screen_id,stimulus,rating,img_id
1800,0,html-button-response,0,1809,0.0-0.0,62e811bddf540837ec38367c,62e811bddf540837ec38367c_20240212,,,,
2140,[object Object],survey-html-form,1,4465,0.0-1.0,62e811bddf540837ec38367c,62e811bddf540837ec38367c_20240212,prolific_id_page,,,
6443,0,html-button-response,2,10909,0.0-2.0,62e811bddf540837ec38367c,62e811bddf540837ec38367c_20240212,,,,
885,0,html-button-response,3,12303,0.0-3.0,62e811bddf540837ec38367c,62e811bddf540837ec38367c_20240212,,"
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
",,
5061,0,html-button-response,4,17872,0.0-4.0,62e811bddf540837ec38367c,62e811bddf540837ec38367c_20240212,,,8,129
3188,0,html-button-response,5,21565,0.0-5.0,62e811bddf540837ec38367c,62e811bddf540837ec38367c_20240212,,,5,17
2855,0,html-button-response,6,24937,0.0-6.0,62e811bddf540837ec38367c,62e811bddf540837ec38367c_20240212,,,7,118
2124,0,html-button-response,7,27567,0.0-7.0,62e811bddf540837ec38367c,62e811bddf540837ec38367c_20240212,,,5,18
4937,0,html-button-response,8,33010,0.0-8.0,62e811bddf540837ec38367c,62e811bddf540837ec38367c_20240212,,,4,1
2212,0,html-button-response,9,35735,0.0-9.0,62e811bddf540837ec38367c,62e811bddf540837ec38367c_20240212,,,8,6
1927,0,html-button-response,10,38165,0.0-10.0,62e811bddf540837ec38367c,62e811bddf540837ec38367c_20240212,,,8,116
2022,0,html-button-response,11,40698,0.0-11.0,62e811bddf540837ec38367c,62e811bddf540837ec38367c_20240212,,,5,110
1638,0,html-button-response,12,42840,0.0-12.0,62e811bddf540837ec38367c,62e811bddf540837ec38367c_20240212,,,5,123
2901,0,html-button-response,13,46255,0.0-13.0,62e811bddf540837ec38367c,62e811bddf540837ec38367c_20240212,,,2,60
2105,0,html-button-response,14,48864,0.0-14.0,62e811bddf540837ec38367c,62e811bddf540837ec38367c_20240212,,,8,112
1714,0,html-button-response,15,51092,0.0-15.0,62e811bddf540837ec38367c,62e811bddf540837ec38367c_20240212,,,9,119
