"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","stimulus","rating","img_id"
"154929","0","html-button-response","0","154933","0.0-0.0","63c2fa5b78993a3a14e5e1c3","63c2fa5b78993a3a14e5e1c3_20240212","","","",""
"15609","[object Object]","survey-html-form","1","171051","0.0-1.0","63c2fa5b78993a3a14e5e1c3","63c2fa5b78993a3a14e5e1c3_20240212","prolific_id_page","","",""
"38318","0","html-button-response","2","209371","0.0-2.0","63c2fa5b78993a3a14e5e1c3","63c2fa5b78993a3a14e5e1c3_20240212","","","",""
"3965","0","html-button-response","3","213842","0.0-3.0","63c2fa5b78993a3a14e5e1c3","63c2fa5b78993a3a14e5e1c3_20240212","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","",""
"28858","0","html-button-response","4","243203","0.0-4.0","63c2fa5b78993a3a14e5e1c3","63c2fa5b78993a3a14e5e1c3_20240212","","","7","171"
"15504","0","html-button-response","5","259219","0.0-5.0","63c2fa5b78993a3a14e5e1c3","63c2fa5b78993a3a14e5e1c3_20240212","","","3","155"
"7285","0","html-button-response","6","267011","0.0-6.0","63c2fa5b78993a3a14e5e1c3","63c2fa5b78993a3a14e5e1c3_20240212","","","6","156"
"10161","0","html-button-response","7","277675","0.0-7.0","63c2fa5b78993a3a14e5e1c3","63c2fa5b78993a3a14e5e1c3_20240212","","","1","49"
"11622","0","html-button-response","8","289811","0.0-8.0","63c2fa5b78993a3a14e5e1c3","63c2fa5b78993a3a14e5e1c3_20240212","","","1","53"
"9867","0","html-button-response","9","300196","0.0-9.0","63c2fa5b78993a3a14e5e1c3","63c2fa5b78993a3a14e5e1c3_20240212","","","1","95"
"14310","0","html-button-response","10","315011","0.0-10.0","63c2fa5b78993a3a14e5e1c3","63c2fa5b78993a3a14e5e1c3_20240212","","","2","162"
"8705","0","html-button-response","11","324227","0.0-11.0","63c2fa5b78993a3a14e5e1c3","63c2fa5b78993a3a14e5e1c3_20240212","","","1","48"
"9748","0","html-button-response","12","334483","0.0-12.0","63c2fa5b78993a3a14e5e1c3","63c2fa5b78993a3a14e5e1c3_20240212","","","1","47"
