rt,response,trial_type,trial_index,time_elapsed,internal_node_id,part_ID,ID_DATE,screen_id,stimulus,rating,img_id
11018,0,html-button-response,0,11019,0.0-0.0,650482bf3a383115282b117b,650482bf3a383115282b117b_20240212,,,,
5160,[object Object],survey-html-form,1,16682,0.0-1.0,650482bf3a383115282b117b,650482bf3a383115282b117b_20240212,prolific_id_page,,,
5304,0,html-button-response,2,21986,0.0-2.0,650482bf3a383115282b117b,650482bf3a383115282b117b_20240212,,,,
1051,0,html-button-response,3,23551,0.0-3.0,650482bf3a383115282b117b,650482bf3a383115282b117b_20240212,,"
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
",,
2868,0,html-button-response,4,26922,0.0-4.0,650482bf3a383115282b117b,650482bf3a383115282b117b_20240212,,,5,4
2008,0,html-button-response,5,29434,0.0-5.0,650482bf3a383115282b117b,650482bf3a383115282b117b_20240212,,,5,7
1700,0,html-button-response,6,31642,0.0-6.0,650482bf3a383115282b117b,650482bf3a383115282b117b_20240212,,,4,70
1990,0,html-button-response,7,34134,0.0-7.0,650482bf3a383115282b117b,650482bf3a383115282b117b_20240212,,,5,58
1356,0,html-button-response,8,35998,0.0-8.0,650482bf3a383115282b117b,650482bf3a383115282b117b_20240212,,,5,120
4704,0,html-button-response,9,41205,0.0-9.0,650482bf3a383115282b117b,650482bf3a383115282b117b_20240212,,,4,71
7086,0,html-button-response,10,48795,0.0-10.0,650482bf3a383115282b117b,650482bf3a383115282b117b_20240212,,,4,10
1647,0,html-button-response,11,50946,0.0-11.0,650482bf3a383115282b117b,650482bf3a383115282b117b_20240212,,,9,109
1474,0,html-button-response,12,52923,0.0-12.0,650482bf3a383115282b117b,650482bf3a383115282b117b_20240212,,,9,123
3374,0,html-button-response,13,56799,0.0-13.0,650482bf3a383115282b117b,650482bf3a383115282b117b_20240212,,,5,6
2617,0,html-button-response,14,59925,0.0-14.0,650482bf3a383115282b117b,650482bf3a383115282b117b_20240212,,,9,121
2994,0,html-button-response,15,63434,0.0-15.0,650482bf3a383115282b117b,650482bf3a383115282b117b_20240212,,,9,61
2827,0,html-button-response,16,66764,0.0-16.0,650482bf3a383115282b117b,650482bf3a383115282b117b_20240212,,,6,2
2241,0,html-button-response,17,69505,0.0-17.0,650482bf3a383115282b117b,650482bf3a383115282b117b_20240212,,,3,12
4473,0,html-button-response,18,74481,0.0-18.0,650482bf3a383115282b117b,650482bf3a383115282b117b_20240212,,,4,13
3184,0,html-button-response,19,78179,0.0-19.0,650482bf3a383115282b117b,650482bf3a383115282b117b_20240212,,,9,114
3089,0,html-button-response,20,81771,0.0-20.0,650482bf3a383115282b117b,650482bf3a383115282b117b_20240212,,,5,115
1714,0,html-button-response,21,83989,0.0-21.0,650482bf3a383115282b117b,650482bf3a383115282b117b_20240212,,,9,5
1313,0,html-button-response,22,85805,0.0-22.0,650482bf3a383115282b117b,650482bf3a383115282b117b_20240212,,,9,124
2734,0,html-button-response,23,89040,0.0-23.0,650482bf3a383115282b117b,650482bf3a383115282b117b_20240212,,,2,11
1308,0,html-button-response,24,90851,0.0-24.0,650482bf3a383115282b117b,650482bf3a383115282b117b_20240212,,,9,130
1551,0,html-button-response,25,92909,0.0-25.0,650482bf3a383115282b117b,650482bf3a383115282b117b_20240212,,,9,112
2873,0,html-button-response,26,96283,0.0-26.0,650482bf3a383115282b117b,650482bf3a383115282b117b_20240212,,,6,119
2233,0,html-button-response,27,99028,0.0-27.0,650482bf3a383115282b117b,650482bf3a383115282b117b_20240212,,,5,116
2536,0,html-button-response,28,102069,0.0-28.0,650482bf3a383115282b117b,650482bf3a383115282b117b_20240212,,,9,122
