"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","stimulus","rating","img_id"
"9610","0","html-button-response","0","9617","0.0-0.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","",""
"2919","[object Object]","survey-html-form","1","13048","0.0-1.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","prolific_id_page","","",""
"23707","0","html-button-response","2","36755","0.0-2.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","",""
"1905","0","html-button-response","3","39176","0.0-3.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","",""
"7514","0","html-button-response","4","47192","0.0-4.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","4"
"3177","0","html-button-response","5","50881","0.0-5.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","119"
"3790","0","html-button-response","6","55177","0.0-6.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","8"
"2922","0","html-button-response","7","58603","0.0-7.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","70"
"2701","0","html-button-response","8","61815","0.0-8.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","5","63"
"4556","0","html-button-response","9","66886","0.0-9.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","120"
"2571","0","html-button-response","10","69970","0.0-10.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","64"
"4699","0","html-button-response","11","75174","0.0-11.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","109"
"4583","0","html-button-response","12","80259","0.0-12.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","4","71"
"2621","0","html-button-response","13","83395","0.0-13.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","3","12"
"2739","0","html-button-response","14","86642","0.0-14.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","7","131"
"6862","0","html-button-response","15","94011","0.0-15.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","5","1"
"1943","0","html-button-response","16","96459","0.0-16.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","118"
"1897","0","html-button-response","17","98857","0.0-17.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","4","59"
"1943","0","html-button-response","18","101312","0.0-18.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","4","110"
"5041","0","html-button-response","19","106867","0.0-19.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","114"
"2659","0","html-button-response","20","110034","0.0-20.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","68"
"2232","0","html-button-response","21","112776","0.0-21.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","62"
"4655","0","html-button-response","22","117934","0.0-22.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","116"
"2301","0","html-button-response","23","120743","0.0-23.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","124"
"2088","0","html-button-response","24","123345","0.0-24.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","113"
"3450","0","html-button-response","25","127303","0.0-25.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","126"
"3037","0","html-button-response","26","130851","0.0-26.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","3","16"
"1708","0","html-button-response","27","133066","0.0-27.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","5","17"
"2119","0","html-button-response","28","135700","0.0-28.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","1","9"
"5295","0","html-button-response","29","141509","0.0-29.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","3","13"
"2420","0","html-button-response","30","144444","0.0-30.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","2","2"
"1697","0","html-button-response","31","146642","0.0-31.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","125"
"3562","0","html-button-response","32","150718","0.0-32.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","2","10"
"4049","0","html-button-response","33","155280","0.0-33.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","112"
"1850","0","html-button-response","34","157646","0.0-34.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","5","115"
"1966","0","html-button-response","35","160122","0.0-35.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","1","3"
"2012","0","html-button-response","36","162639","0.0-36.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","5","66"
"1679","0","html-button-response","37","164825","0.0-37.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","5","111"
"2321","0","html-button-response","38","167659","0.0-38.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","117"
"3344","0","html-button-response","39","171511","0.0-39.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","6","69"
"1765","0","html-button-response","40","173785","0.0-40.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","5","6"
"3237","0","html-button-response","41","177527","0.0-41.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","5","7"
"3062","0","html-button-response","42","181099","0.0-42.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","8","18"
"2041","0","html-button-response","43","183652","0.0-43.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","5","122"
"3054","0","html-button-response","44","187214","0.0-44.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","5","57"
"3184","0","html-button-response","45","190903","0.0-45.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","5"
"1552","0","html-button-response","46","192970","0.0-46.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","128"
"1256","0","html-button-response","47","194727","0.0-47.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","65"
"1302","0","html-button-response","48","196542","0.0-48.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","129"
"1447","0","html-button-response","49","198492","0.0-49.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","5","55"
"2053","0","html-button-response","50","201056","0.0-50.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","5","61"
"7194","0","html-button-response","51","208761","0.0-51.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","5","127"
"1907","0","html-button-response","52","211172","0.0-52.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","6","123"
"2107","0","html-button-response","53","213784","0.0-53.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","2","60"
"1531","0","html-button-response","54","215819","0.0-54.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","3","58"
"2813","0","html-button-response","55","219138","0.0-55.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","5","72"
"1964","0","html-button-response","56","221618","0.0-56.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","1","14"
"3776","0","html-button-response","57","225902","0.0-57.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","15"
"1609","0","html-button-response","58","228024","0.0-58.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","1","11"
"2726","0","html-button-response","59","231257","0.0-59.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","5","121"
"1004","0","html-button-response","60","232769","0.0-60.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","5","56"
"3194","0","html-button-response","61","236466","0.0-61.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","2","130"
"1414","0","html-button-response","62","238386","0.0-62.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","5","67"
"1267","0","html-button-response","63","240163","0.0-63.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","",""
"6440","0","html-button-response","64","247111","0.0-64.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","5","20"
"1920","0","html-button-response","65","249542","0.0-65.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","23"
"2177","0","html-button-response","66","252225","0.0-66.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","5","33"
"1841","0","html-button-response","67","254580","0.0-67.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","150"
"2450","0","html-button-response","68","257538","0.0-68.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","140"
"1225","0","html-button-response","69","259267","0.0-69.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","132"
"1491","0","html-button-response","70","261261","0.0-70.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","82"
"1185","0","html-button-response","71","262960","0.0-71.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","78"
"1507","0","html-button-response","72","264979","0.0-72.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","6","31"
"1865","0","html-button-response","73","267361","0.0-73.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","5","25"
"1402","0","html-button-response","74","269272","0.0-74.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","80"
"1162","0","html-button-response","75","270941","0.0-75.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","137"
"2183","0","html-button-response","76","273625","0.0-76.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","87"
"1735","0","html-button-response","77","275868","0.0-77.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","6","149"
"1881","0","html-button-response","78","278261","0.0-78.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","8","144"
"1549","0","html-button-response","79","280311","0.0-79.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","85"
"1776","0","html-button-response","80","282595","0.0-80.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","6","146"
"2517","0","html-button-response","81","285628","0.0-81.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","7","141"
"2644","0","html-button-response","82","288783","0.0-82.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","179"
"1995","0","html-button-response","83","291293","0.0-83.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","7","135"
"2575","0","html-button-response","84","294380","0.0-84.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","2","34"
"1857","0","html-button-response","85","296741","0.0-85.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","4","22"
"1262","0","html-button-response","86","298510","0.0-86.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","5","26"
"1804","0","html-button-response","87","300828","0.0-87.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","6","180"
"1522","0","html-button-response","88","302862","0.0-88.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","7","76"
"1280","0","html-button-response","89","304655","0.0-89.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","138"
"1691","0","html-button-response","90","306854","0.0-90.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","133"
"2625","0","html-button-response","91","309992","0.0-91.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","145"
"2117","0","html-button-response","92","312625","0.0-92.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","83"
"1287","0","html-button-response","93","314423","0.0-93.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","178"
"1676","0","html-button-response","94","316613","0.0-94.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","5","21"
"2985","0","html-button-response","95","320127","0.0-95.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","4","29"
"3323","0","html-button-response","96","323965","0.0-96.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","8","73"
"3394","0","html-button-response","97","327862","0.0-97.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","136"
"1403","0","html-button-response","98","329771","0.0-98.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","74"
"2572","0","html-button-response","99","332855","0.0-99.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","7","147"
"2311","0","html-button-response","100","335671","0.0-100.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","7","81"
"1399","0","html-button-response","101","337572","0.0-101.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","7","75"
"2648","0","html-button-response","102","340735","0.0-102.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","2","19"
"2946","0","html-button-response","103","344188","0.0-103.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","3","30"
"2370","0","html-button-response","104","347061","0.0-104.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","5","142"
"1966","0","html-button-response","105","349536","0.0-105.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","5","148"
"2221","0","html-button-response","106","352266","0.0-106.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","7","153"
"1544","0","html-button-response","107","354324","0.0-107.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","9","86"
"2290","0","html-button-response","108","357120","0.0-108.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","1","35"
"2230","0","html-button-response","109","359861","0.0-109.0","65adef062a188d698a4e6665","65adef062a188d698a4e6665_20240212","","","4","24"
