"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","stimulus","rating","img_id"
"4577","0","html-button-response","0","4584","0.0-0.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","","","",""
"8256","[object Object]","survey-html-form","1","13354","0.0-1.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","prolific_id_page","","",""
"6092","0","html-button-response","2","19450","0.0-2.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","","","",""
"1590","0","html-button-response","3","21551","0.0-3.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","",""
"5060","0","html-button-response","4","27125","0.0-4.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","","","9","148"
"6750","0","html-button-response","5","34383","0.0-5.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","","","9","141"
"3323","0","html-button-response","6","38221","0.0-6.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","","","8","79"
"2638","0","html-button-response","7","41365","0.0-7.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","","","5","23"
"3003","0","html-button-response","8","44878","0.0-8.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","","","3","35"
"2843","0","html-button-response","9","48239","0.0-9.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","","","7","86"
"2610","0","html-button-response","10","51361","0.0-10.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","","","4","88"
"23428","0","html-button-response","11","75299","0.0-11.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","","","2","36"
"2048","0","html-button-response","12","77860","0.0-12.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","","","7","90"
"2326","0","html-button-response","13","80697","0.0-13.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","","","2","25"
"2232","0","html-button-response","14","83438","0.0-14.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","","","2","26"
"2131","0","html-button-response","15","86091","0.0-15.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","","","9","140"
"2308","0","html-button-response","16","88914","0.0-16.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","","","9","142"
"2469","0","html-button-response","17","91889","0.0-17.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","","","6","28"
"16359","0","html-button-response","18","108753","0.0-18.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","","","9","77"
"3219","0","html-button-response","19","112478","0.0-19.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","","","7","139"
"2812","0","html-button-response","20","115855","0.0-20.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","","","8","145"
"4221","0","html-button-response","21","120598","0.0-21.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","","","4","32"
"2635","0","html-button-response","22","123742","0.0-22.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","","","8","150"
"2899","0","html-button-response","23","127156","0.0-23.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","","","6","30"
"1784","0","html-button-response","24","129443","0.0-24.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","","","8","137"
"2596","0","html-button-response","25","132553","0.0-25.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","","","7","136"
"1839","0","html-button-response","26","134899","0.0-26.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","","","9","152"
"1741","0","html-button-response","27","137150","0.0-27.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","","","9","82"
"1830","0","html-button-response","28","139488","0.0-28.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","","","9","154"
"4964","0","html-button-response","29","144965","0.0-29.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","","","9","73"
"7956","0","html-button-response","30","153433","0.0-30.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","","","7","147"
"1893","0","html-button-response","31","155830","0.0-31.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","","","9","29"
"2097","0","html-button-response","32","158436","0.0-32.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","","","8","83"
"2495","0","html-button-response","33","161439","0.0-33.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","","","8","133"
"3000","0","html-button-response","34","164953","0.0-34.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","","","7","78"
"4521","0","html-button-response","35","169978","0.0-35.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","","","9","178"
"2037","0","html-button-response","36","172522","0.0-36.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","","","9","153"
"2301","0","html-button-response","37","175336","0.0-37.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","","","2","20"
"2160","0","html-button-response","38","178017","0.0-38.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","","","9","180"
"1866","0","html-button-response","39","180396","0.0-39.0","65b2907c166a09d2726ce544","65b2907c166a09d2726ce544_20240212","","","9","81"
