"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","stimulus","rating","img_id"
"3294","0","html-button-response","0","3300","0.0-0.0","65b614c6caafea0ac900163c","65b614c6caafea0ac900163c_20240212","","","",""
"5871","[object Object]","survey-html-form","1","9702","0.0-1.0","65b614c6caafea0ac900163c","65b614c6caafea0ac900163c_20240212","prolific_id_page","","",""
"8718","0","html-button-response","2","18424","0.0-2.0","65b614c6caafea0ac900163c","65b614c6caafea0ac900163c_20240212","","","",""
"8984","0","html-button-response","3","27913","0.0-3.0","65b614c6caafea0ac900163c","65b614c6caafea0ac900163c_20240212","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","",""
"19667","0","html-button-response","4","48109","0.0-4.0","65b614c6caafea0ac900163c","65b614c6caafea0ac900163c_20240212","","","6","62"
"10178","0","html-button-response","5","58794","0.0-5.0","65b614c6caafea0ac900163c","65b614c6caafea0ac900163c_20240212","","","8","69"
"12615","0","html-button-response","6","71918","0.0-6.0","65b614c6caafea0ac900163c","65b614c6caafea0ac900163c_20240212","","","8","11"
"9096","0","html-button-response","7","81520","0.0-7.0","65b614c6caafea0ac900163c","65b614c6caafea0ac900163c_20240212","","","3","5"
"5963","0","html-button-response","8","87991","0.0-8.0","65b614c6caafea0ac900163c","65b614c6caafea0ac900163c_20240212","","","2","59"
"5926","0","html-button-response","9","94423","0.0-9.0","65b614c6caafea0ac900163c","65b614c6caafea0ac900163c_20240212","","","6","128"
"3397","0","html-button-response","10","98328","0.0-10.0","65b614c6caafea0ac900163c","65b614c6caafea0ac900163c_20240212","","","3","118"
"7864","0","html-button-response","11","106700","0.0-11.0","65b614c6caafea0ac900163c","65b614c6caafea0ac900163c_20240212","","","9","12"
"7710","0","html-button-response","12","114916","0.0-12.0","65b614c6caafea0ac900163c","65b614c6caafea0ac900163c_20240212","","","7","115"
"5118","0","html-button-response","13","120540","0.0-13.0","65b614c6caafea0ac900163c","65b614c6caafea0ac900163c_20240212","","","7","111"
"5345","0","html-button-response","14","126393","0.0-14.0","65b614c6caafea0ac900163c","65b614c6caafea0ac900163c_20240212","","","8","121"
"13381","0","html-button-response","15","140281","0.0-15.0","65b614c6caafea0ac900163c","65b614c6caafea0ac900163c_20240212","","","1","6"
"6361","0","html-button-response","16","147150","0.0-16.0","65b614c6caafea0ac900163c","65b614c6caafea0ac900163c_20240212","","","1","58"
"2927","0","html-button-response","17","150584","0.0-17.0","65b614c6caafea0ac900163c","65b614c6caafea0ac900163c_20240212","","","1","60"
