Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65b15af4bafcce563bbfb40f,5e5731e3e1e8b90e25c1f3a2,APPROVED,Not Applicable,2024-01-24T18:46:30.670000Z,2024-01-24T19:51:29.013000Z,2024-01-24T19:51:40.990000Z,2024-01-24T19:51:29.630587Z,3899.0,NOCODE,1780,"English, Spanish",42,Male,White,United States,United States,United States,English,No,Full-Time
65b15b99e8b32661ffa2455a,60bafed1d4e636dce6350863,APPROVED,Not Applicable,2024-01-24T18:52:10.258000Z,2024-01-24T20:16:05.935000Z,2024-01-24T20:16:07.174000Z,2024-01-24T20:16:06.382696Z,5036.0,ILAM3M3Q,697,English,23,Female,White,United States,United States,United States,English,Yes,Full-Time
65b15bb116425f665b97fe58,6100af0ca92d17d8f3a9a427,APPROVED,Not Applicable,2024-01-24T18:49:26.849000Z,2024-01-24T19:39:33.236000Z,2024-01-24T19:39:35.716000Z,2024-01-24T19:39:33.756109Z,3007.0,ILAM3M3Q,109,English,26,Female,White,United States,United States,Bolivia,Spanish,No,DATA_EXPIRED
65b1677c35995fcb3370b96d,65a3c1d57be6e728c2c246c0,APPROVED,Not Applicable,2024-01-24T19:39:55.017000Z,2024-01-24T20:42:43.448000Z,2024-01-25T13:17:27.567000Z,2024-01-24T20:42:44.186738Z,3769.0,NOCODE,15,English,72,Female,Black,Nigeria,United States,Nigeria,English,No,Part-Time
65b16a471dc2b7a12f68ba52,5d269fedf6dec40019b87a59,APPROVED,Not Applicable,2024-01-24T19:51:41.538000Z,2024-01-24T21:50:36.875000Z,2024-01-24T21:50:38.050000Z,2024-01-24T21:50:37.371592Z,7136.0,ILAM3M3Q,3164,English,37,Male,Other,United States,United States,United States,English,No,Full-Time
65b1700e706c4e1d968ae66d,62c5cdfe50000fce3e390be0,APPROVED,Not Applicable,2024-01-24T20:16:33.036000Z,2024-01-24T21:35:58.877000Z,2024-01-25T13:17:30.052000Z,2024-01-24T21:35:59.345299Z,4766.0,NOCODE,2332,"English, Portuguese, Spanish",20,Female,Other,United States,United States,United States,English,Yes,DATA_EXPIRED
65b1764aa0b4388148164f1c,559fa17cfdf99b69c369d364,APPROVED,Not Applicable,2024-01-24T20:42:57.827000Z,2024-01-24T22:11:21.914000Z,2024-01-24T22:11:23.473000Z,2024-01-24T22:11:22.306755Z,5305.0,ILAM3M3Q,4733,English,52,Male,White,United States,United States,United States,English,No,Full-Time
65b186301fd8acaf1bc10718,55b2d3f2fdf99b525bc839aa,APPROVED,Not Applicable,2024-01-24T21:50:49.634000Z,2024-01-24T23:39:14.096000Z,2024-01-24T23:39:16.496000Z,2024-01-24T23:39:14.626010Z,6505.0,ILAM3M3Q,3647,English,36,Male,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65b18b0afa8df5269d2f7ec0,57dd186e6598aa0001992616,APPROVED,Not Applicable,2024-01-24T22:11:54.528000Z,2024-01-24T23:21:24.539000Z,2024-01-24T23:21:26.929000Z,2024-01-24T23:21:25.169524Z,4171.0,ILAM3M3Q,6829,English,30,Male,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65b19b78aeaee932fc24284d,631c8e97db06f601f81bd82f,APPROVED,Not Applicable,2024-01-24T23:21:31.249000Z,2024-01-25T00:22:04.717000Z,2024-01-25T00:22:05.895000Z,2024-01-25T00:22:05.140079Z,3634.0,ILAM3M3Q,4315,"English, Arabic",27,Male,White,United States,United States,United States,English,No,Full-Time
65b19fa21d06aeffb4df56fb,5fa4c21a04bc5912180291bc,APPROVED,Not Applicable,2024-01-24T23:47:36.051000Z,2024-01-25T02:04:43.662000Z,2024-01-25T02:04:47.609000Z,2024-01-25T02:04:44.279182Z,8228.0,ILAM3M3Q,5846,"English, Spanish",41,Male,Black,United States,United States,United States,English,No,Full-Time
