Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65b3d552f4a88be96367551d,5e03a4f35777b5ea0a6ac2ea,APPROVED,Not Applicable,2024-01-26T15:52:55.004000Z,2024-01-26T18:02:14.399000Z,2024-01-26T18:02:16.882000Z,2024-01-26T18:02:14.901340Z,7760.0,EA70W060,288,English,47,DATA_EXPIRED,DATA_EXPIRED,United States,United States,DATA_EXPIRED,English,DATA_EXPIRED,Part-Time
65b3d646ed12840abf5fad39,6079ff1600ff2b7455e1c3e0,APPROVED,Not Applicable,2024-01-26T15:57:02.085000Z,2024-01-26T17:41:59.385000Z,2024-01-26T17:42:02.639000Z,2024-01-26T17:41:59.808594Z,6298.0,EA70W060,402,English,21,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65b3d6c60c21caaade2a981b,612712457b14443c1483e764,APPROVED,Not Applicable,2024-01-26T15:59:19.338000Z,2024-01-26T16:58:13.007000Z,2024-01-26T16:58:15.222000Z,2024-01-26T16:58:13.523706Z,3534.0,EA70W060,1065,English,25,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
65b3e4b067894cbe1ea78f50,5fd63cb585f88c4eb1933661,APPROVED,Not Applicable,2024-01-26T16:58:30.300000Z,2024-01-26T18:17:42.245000Z,2024-01-26T18:17:48.675000Z,2024-01-26T18:17:42.829734Z,4752.0,EA70W060,6230,English,48,Female,Black,United States,United States,United States,English,DATA_EXPIRED,Part-Time
65b3eeee80c47eba28c1ecc1,5a443812817d1800018d1179,APPROVED,Not Applicable,2024-01-26T17:42:13.973000Z,2024-01-26T19:20:48.275000Z,2024-01-26T19:20:52.599000Z,2024-01-26T19:20:48.862115Z,5915.0,EA70W060,1327,English,35,Female,Black,United States,United States,United States,English,No,Part-Time
65b3f3a7066ce59152c18718,6596e8562f5c916cc7c5fa05,APPROVED,Not Applicable,2024-01-26T18:02:15.502000Z,2024-01-26T19:51:41.216000Z,2024-01-27T14:03:48.602000Z,2024-01-26T19:51:41.799488Z,6566.0,NOCODE,40,English,32,Male,Black,Nigeria,United States,Nigeria,English,Yes,Part-Time
65b3f74aa976d3228f6fd84c,63474e67a5fd298c6103c409,APPROVED,Not Applicable,2024-01-26T18:17:52.575000Z,2024-01-26T19:41:09.590000Z,2024-01-26T19:41:12.593000Z,2024-01-26T19:41:10.063334Z,4998.0,EA70W060,2618,English,32,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65b40610f4ff8a59dd149de3,647652cb5644044df439e1fb,APPROVED,Not Applicable,2024-01-26T19:20:48.298000Z,2024-01-26T20:55:01.545000Z,2024-01-26T20:55:04.206000Z,2024-01-26T20:55:02.056439Z,5654.0,EA70W060,1566,English,36,Female,White,United States,United States,United States,English,No,Part-Time
65b40ad6838e177ddc149cf2,63069f585b35a5ec752fcd30,APPROVED,Not Applicable,2024-01-26T19:41:10.904000Z,2024-01-26T21:57:29.383000Z,2024-01-27T14:03:48.902000Z,2024-01-26T21:57:29.954610Z,8179.0,NOCODE,2349,English,35,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65b40d52a82794ebdcda0de2,65ad66e598dfe7e971227a1e,APPROVED,Not Applicable,2024-01-26T19:52:11.278000Z,2024-01-26T21:00:04.655000Z,2024-01-26T21:00:07.779000Z,2024-01-26T21:00:05.549200Z,4074.0,EA70W060,73,English,27,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
