Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65b7d58d3abbde965b7801bf,5cbb6a34774d1500013f8938,APPROVED,Not Applicable,2024-01-29T16:42:57.328000Z,2024-01-29T18:33:20.462000Z,2024-01-29T18:33:23.181000Z,2024-01-29T18:33:20.975782Z,6624.0,HSSVE61X,296,English,47,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65b7d607a712b3f14eeb54f7,63cff501c10506809594dcd1,APPROVED,Not Applicable,2024-01-29T16:45:01.799000Z,2024-01-29T19:00:54.079000Z,2024-01-29T19:00:57.379000Z,2024-01-29T19:00:54.583297Z,8153.0,HSSVE61X,498,English,20,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
65b7d6a6a5d7ca32b3d12f84,5b870f485b6a290001ec5436,APPROVED,Not Applicable,2024-01-29T16:47:39.811000Z,2024-01-29T17:37:47.697000Z,2024-01-29T17:37:49.447000Z,2024-01-29T17:37:48.665645Z,3008.0,HSSVE61X,435,English,33,Female,White,United States,United States,United States,English,No,Full-Time
65b7e27f687793373a55fb49,60c922c5837c614093d11a0e,APPROVED,Not Applicable,2024-01-29T17:38:16.578000Z,2024-01-29T19:11:20.124000Z,2024-01-29T19:11:24.635000Z,2024-01-29T19:11:20.677269Z,5584.0,HSSVE61X,713,English,50,Female,White,United States,United States,United States,English,Yes,Part-Time
65b7ef7866e3363bc8867fef,5e6af189bdaa1a0b355f63ae,APPROVED,Not Applicable,2024-01-29T18:33:33.357000Z,2024-01-29T19:52:58.737000Z,2024-01-29T19:53:00.911000Z,2024-01-29T19:52:59.248384Z,4766.0,HSSVE61X,1522,English,45,Female,White,United Kingdom,United States,United Kingdom,English,No,Part-Time
65b7f5e67bde7131a55a340e,630a2fd6e76ccbe74374656d,APPROVED,Not Applicable,2024-01-29T19:00:54.526000Z,2024-01-29T21:43:50.221000Z,2024-01-29T22:49:54.087000Z,2024-01-29T21:43:50.692200Z,9776.0,NOCODE,2953,English,20,Male,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time
65b7f85f6ca4fa8f9b542d86,5a973481f05361000171dd86,APPROVED,Not Applicable,2024-01-29T19:11:30.052000Z,2024-01-29T20:45:33.413000Z,2024-01-29T20:45:38.385000Z,2024-01-29T20:45:33.893969Z,5644.0,HSSVE61X,1070,English,28,Male,Black,United States,United States,United States,English,No,Full-Time
65b80e710a23f08e4a221ad7,5f6067975552dc000aa21f2a,APPROVED,Not Applicable,2024-01-29T20:45:45.055000Z,2024-01-29T22:22:05.644000Z,2024-01-30T04:36:28.998000Z,2024-01-29T22:22:06.232326Z,5781.0,ISSUE,3600,English,45,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65b8185556890d800b3cb8d2,6595f211237dade9306a6602,APPROVED,Not Applicable,2024-01-29T21:27:53.156000Z,2024-01-29T23:33:33.021000Z,2024-01-29T23:33:35.514000Z,2024-01-29T23:33:33.708693Z,7540.0,HSSVE61X,143,English,25,Female,Asian,United States,United States,United States,English,No,Unemployed (and job seeking)
65b81c1a066854000ddf8ed3,637d58b9dd14dc68ba68920a,APPROVED,Not Applicable,2024-01-29T21:43:54.352000Z,2024-01-29T23:53:00.670000Z,2024-01-29T23:53:02.416000Z,2024-01-29T23:53:01.156466Z,7747.0,HSSVE61X,2448,English,50,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65b827a85a5e4f6778d5fb05,63614899ad49a91f1ef09067,APPROVED,Not Applicable,2024-01-29T22:33:16.823000Z,2024-01-30T00:04:24.110000Z,2024-01-30T00:04:26.530000Z,2024-01-30T00:04:24.617390Z,5468.0,HSSVE61X,3116,English,52,Male,White,United States,United States,United States,English,No,Full-Time
