"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","understand_correct","stimulus","arousal","valence","img_id","tested_trial_idx"
"8679","0","html-button-response","0","8689","0.0-0.0","5b15307351caaf0001228d9b","5b15307351caaf0001228d9b_20240207","","","","","","",""
"79807","[object Object]","survey-html-form","1","89005","0.0-1.0","5b15307351caaf0001228d9b","5b15307351caaf0001228d9b_20240207","prolific_id_page","","","","","",""
"230963","0","html-button-response","2","319980","0.0-2.0","5b15307351caaf0001228d9b","5b15307351caaf0001228d9b_20240207","","","","","","",""
"51166","0","html-button-response","3","371653","0.0-3.0-0.0","5b15307351caaf0001228d9b","5b15307351caaf0001228d9b_20240207","","true","","","","",""
"1240","0","html-button-response","4","373401","0.0-4.0","5b15307351caaf0001228d9b","5b15307351caaf0001228d9b_20240207","","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","","","",""
"7393","0","html-button-response","5","381304","0.0-5.0","5b15307351caaf0001228d9b","5b15307351caaf0001228d9b_20240207","","","","4","3","330",""
"6349","0","html-button-response","6","388159","0.0-6.0","5b15307351caaf0001228d9b","5b15307351caaf0001228d9b_20240207","","","","4","2","332",""
"6746","0","html-button-response","7","395413","0.0-7.0","5b15307351caaf0001228d9b","5b15307351caaf0001228d9b_20240207","","","","9","1","1036",""
"5533","0","html-button-response","8","401453","0.0-8.0","5b15307351caaf0001228d9b","5b15307351caaf0001228d9b_20240207","","","","5","5","606",""
"3246","0","html-button-response","9","405205","0.0-9.0","5b15307351caaf0001228d9b","5b15307351caaf0001228d9b_20240207","","","","9","1","1531",""
"7408","0","html-button-response","10","413119","0.0-10.0","5b15307351caaf0001228d9b","5b15307351caaf0001228d9b_20240207","","","","4","4","1503",""
"9073","0","html-button-response","11","422697","0.0-11.0","5b15307351caaf0001228d9b","5b15307351caaf0001228d9b_20240207","","","","7","3","469",""
"8022","0","html-button-response","12","431224","0.0-12.0","5b15307351caaf0001228d9b","5b15307351caaf0001228d9b_20240207","","","","4","3","1635",""
"6388","0","html-button-response","13","438118","0.0-13.0","5b15307351caaf0001228d9b","5b15307351caaf0001228d9b_20240207","","","","3","2","845",""
"134816","0","html-button-response","14","573441","0.0-14.0","5b15307351caaf0001228d9b","5b15307351caaf0001228d9b_20240207","","","","7","7","1277",""
"10430","0","html-button-response","15","584377","0.0-15.0","5b15307351caaf0001228d9b","5b15307351caaf0001228d9b_20240207","","","","8","9","2031",""
"3428","0","html-button-response","16","588311","0.0-16.0","5b15307351caaf0001228d9b","5b15307351caaf0001228d9b_20240207","","","","9","9","1044",""
"4255","0","html-button-response","17","593071","0.0-17.0","5b15307351caaf0001228d9b","5b15307351caaf0001228d9b_20240207","","","","5","7","950",""
"8595","0","html-button-response","18","602171","0.0-18.0","5b15307351caaf0001228d9b","5b15307351caaf0001228d9b_20240207","","","","9","6","770",""
