"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","understand_correct","stimulus","arousal","valence","img_id","tested_trial_idx"
"4357","0","html-button-response","0","4361","0.0-0.0","5dd31760fb7d41000c6610e3","5dd31760fb7d41000c6610e3_20240207","","","","","","",""
"7313","[object Object]","survey-html-form","1","12179","0.0-1.0","5dd31760fb7d41000c6610e3","5dd31760fb7d41000c6610e3_20240207","prolific_id_page","","","","","",""
"45029","0","html-button-response","2","57211","0.0-2.0","5dd31760fb7d41000c6610e3","5dd31760fb7d41000c6610e3_20240207","","","","","","",""
"78687","0","html-button-response","3","136400","0.0-3.0-0.0","5dd31760fb7d41000c6610e3","5dd31760fb7d41000c6610e3_20240207","","true","","","","",""
"1250","0","html-button-response","4","138153","0.0-4.0","5dd31760fb7d41000c6610e3","5dd31760fb7d41000c6610e3_20240207","","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","","","",""
"15713","0","html-button-response","5","154369","0.0-5.0","5dd31760fb7d41000c6610e3","5dd31760fb7d41000c6610e3_20240207","","","","5","1","1752",""
"3167","0","html-button-response","6","158038","0.0-6.0","5dd31760fb7d41000c6610e3","5dd31760fb7d41000c6610e3_20240207","","","","5","5","667",""
"8573","0","html-button-response","7","167113","0.0-7.0","5dd31760fb7d41000c6610e3","5dd31760fb7d41000c6610e3_20240207","","","","5","9","2083",""
"2589","0","html-button-response","8","170205","0.0-8.0","5dd31760fb7d41000c6610e3","5dd31760fb7d41000c6610e3_20240207","","","","5","5","1161",""
"2754","0","html-button-response","9","173461","0.0-9.0","5dd31760fb7d41000c6610e3","5dd31760fb7d41000c6610e3_20240207","","","","5","5","2139",""
"9124","0","html-button-response","10","183088","0.0-10.0","5dd31760fb7d41000c6610e3","5dd31760fb7d41000c6610e3_20240207","","","","9","5","248",""
"2490","0","html-button-response","11","186081","0.0-11.0","5dd31760fb7d41000c6610e3","5dd31760fb7d41000c6610e3_20240207","","","","5","5","1458",""
"6074","0","html-button-response","12","192657","0.0-12.0","5dd31760fb7d41000c6610e3","5dd31760fb7d41000c6610e3_20240207","","","","5","1","2053",""
"5790","0","html-button-response","13","198949","0.0-13.0","5dd31760fb7d41000c6610e3","5dd31760fb7d41000c6610e3_20240207","","","","9","5","1371",""
"5445","0","html-button-response","14","204895","0.0-14.0","5dd31760fb7d41000c6610e3","5dd31760fb7d41000c6610e3_20240207","","","","9","5","1084",""
"2477","0","html-button-response","15","207874","0.0-15.0","5dd31760fb7d41000c6610e3","5dd31760fb7d41000c6610e3_20240207","","","","5","5","2194",""
"5159","0","html-button-response","16","213536","0.0-16.0","5dd31760fb7d41000c6610e3","5dd31760fb7d41000c6610e3_20240207","","","","2","1","1820",""
"2184","0","html-button-response","17","216222","0.0-17.0","5dd31760fb7d41000c6610e3","5dd31760fb7d41000c6610e3_20240207","","","","5","5","1821",""
"3814","0","html-button-response","18","220538","0.0-18.0","5dd31760fb7d41000c6610e3","5dd31760fb7d41000c6610e3_20240207","","","","7","1","151",""
"4294","0","html-button-response","19","225335","0.0-19.0","5dd31760fb7d41000c6610e3","5dd31760fb7d41000c6610e3_20240207","","","","6","1","1261",""
"2995","0","html-button-response","20","228831","0.0-20.0","5dd31760fb7d41000c6610e3","5dd31760fb7d41000c6610e3_20240207","","","","6","1","1963",""
"4378","0","html-button-response","21","233711","0.0-21.0","5dd31760fb7d41000c6610e3","5dd31760fb7d41000c6610e3_20240207","","","","9","5","1526",""
"4552","0","html-button-response","22","238765","0.0-22.0","5dd31760fb7d41000c6610e3","5dd31760fb7d41000c6610e3_20240207","","","","5","1","468",""
"2270","0","html-button-response","23","241536","0.0-23.0","5dd31760fb7d41000c6610e3","5dd31760fb7d41000c6610e3_20240207","","","","5","5","1789",""
"3137","0","html-button-response","24","245175","0.0-24.0","5dd31760fb7d41000c6610e3","5dd31760fb7d41000c6610e3_20240207","","","","9","4","736",""
"4723","0","html-button-response","25","250400","0.0-25.0","5dd31760fb7d41000c6610e3","5dd31760fb7d41000c6610e3_20240207","","","","5","1","126",""
"3050","0","html-button-response","26","253952","0.0-26.0","5dd31760fb7d41000c6610e3","5dd31760fb7d41000c6610e3_20240207","","","","5","5","1835",""
"2646","0","html-button-response","27","257100","0.0-27.0","5dd31760fb7d41000c6610e3","5dd31760fb7d41000c6610e3_20240207","","","","3","1","531",""
"6432","0","html-button-response","28","264034","0.0-28.0","5dd31760fb7d41000c6610e3","5dd31760fb7d41000c6610e3_20240207","","","","3","1","487",""
