"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","understand_correct","stimulus","arousal","valence","img_id","tested_trial_idx"
"17078","0","html-button-response","0","17082","0.0-0.0","5f1c2ebf1d8b7c48ad3ec3db","5f1c2ebf1d8b7c48ad3ec3db_20240207","","","","","","",""
"10197","[object Object]","survey-html-form","1","27790","0.0-1.0","5f1c2ebf1d8b7c48ad3ec3db","5f1c2ebf1d8b7c48ad3ec3db_20240207","prolific_id_page","","","","","",""
"99441","0","html-button-response","2","127224","0.0-2.0","5f1c2ebf1d8b7c48ad3ec3db","5f1c2ebf1d8b7c48ad3ec3db_20240207","","","","","","",""
"12340","0","html-button-response","3","140086","0.0-3.0-0.0","5f1c2ebf1d8b7c48ad3ec3db","5f1c2ebf1d8b7c48ad3ec3db_20240207","","false","","","","",""
"79601","0","html-button-response","4","222332","0.0-3.1-0.1","5f1c2ebf1d8b7c48ad3ec3db","5f1c2ebf1d8b7c48ad3ec3db_20240207","","true","","","","",""
"2715","0","html-button-response","5","225554","0.0-4.0","5f1c2ebf1d8b7c48ad3ec3db","5f1c2ebf1d8b7c48ad3ec3db_20240207","","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","","","",""
"20172","0","html-button-response","6","246251","0.0-5.0","5f1c2ebf1d8b7c48ad3ec3db","5f1c2ebf1d8b7c48ad3ec3db_20240207","","","","5","2","195",""
"5740","0","html-button-response","7","252506","0.0-6.0","5f1c2ebf1d8b7c48ad3ec3db","5f1c2ebf1d8b7c48ad3ec3db_20240207","","","","5","5","2141",""
"4493","0","html-button-response","8","257510","0.0-7.0","5f1c2ebf1d8b7c48ad3ec3db","5f1c2ebf1d8b7c48ad3ec3db_20240207","","","","5","5","1010",""
"19577","0","html-button-response","9","277606","0.0-8.0","5f1c2ebf1d8b7c48ad3ec3db","5f1c2ebf1d8b7c48ad3ec3db_20240207","","","","6","5","578",""
"7634","0","html-button-response","10","285747","0.0-9.0","5f1c2ebf1d8b7c48ad3ec3db","5f1c2ebf1d8b7c48ad3ec3db_20240207","","","","5","1","896",""
"7834","0","html-button-response","11","294087","0.0-10.0","5f1c2ebf1d8b7c48ad3ec3db","5f1c2ebf1d8b7c48ad3ec3db_20240207","","","","6","9","2032",""
"18217","0","html-button-response","12","312816","0.0-11.0","5f1c2ebf1d8b7c48ad3ec3db","5f1c2ebf1d8b7c48ad3ec3db_20240207","","","","5","5","1528",""
"10038","0","html-button-response","13","323373","0.0-12.0","5f1c2ebf1d8b7c48ad3ec3db","5f1c2ebf1d8b7c48ad3ec3db_20240207","","","","4","7","1421",""
"7056","0","html-button-response","14","330948","0.0-13.0","5f1c2ebf1d8b7c48ad3ec3db","5f1c2ebf1d8b7c48ad3ec3db_20240207","","","","5","1","702",""
"63270","0","html-button-response","15","394739","0.0-14.0","5f1c2ebf1d8b7c48ad3ec3db","5f1c2ebf1d8b7c48ad3ec3db_20240207","","","","7","7","339",""
"8907","0","html-button-response","16","404155","0.0-15.0","5f1c2ebf1d8b7c48ad3ec3db","5f1c2ebf1d8b7c48ad3ec3db_20240207","","","","5","1","1895",""
"8446","0","html-button-response","17","413117","0.0-16.0","5f1c2ebf1d8b7c48ad3ec3db","5f1c2ebf1d8b7c48ad3ec3db_20240207","","","","3","5","1295",""
"11604","0","html-button-response","18","425241","0.0-17.0","5f1c2ebf1d8b7c48ad3ec3db","5f1c2ebf1d8b7c48ad3ec3db_20240207","","","","3","3","472",""
"9996","0","html-button-response","19","435749","0.0-18.0","5f1c2ebf1d8b7c48ad3ec3db","5f1c2ebf1d8b7c48ad3ec3db_20240207","","","","5","8","1548",""
"8501","0","html-button-response","20","444771","0.0-19.0","5f1c2ebf1d8b7c48ad3ec3db","5f1c2ebf1d8b7c48ad3ec3db_20240207","","","","5","1","1792",""
