"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","understand_correct","stimulus","arousal","valence","img_id","tested_trial_idx"
"56619","0","html-button-response","0","56620","0.0-0.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","","","",""
"5480","[object Object]","survey-html-form","1","62604","0.0-1.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","prolific_id_page","","","","","",""
"80061","0","html-button-response","2","142667","0.0-2.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","","","",""
"72563","0","html-button-response","3","215733","0.0-3.0-0.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","false","","","","",""
"462838","0","html-button-response","4","680795","0.0-3.1-0.1","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","true","","","","",""
"1239","0","html-button-response","5","682547","0.0-4.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","","","",""
"17842","0","html-button-response","6","700900","0.0-5.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","1","1569",""
"19033","0","html-button-response","7","720443","0.0-6.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","4","5","1809",""
"10614","0","html-button-response","8","731572","0.0-7.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","1","1806",""
"8130","0","html-button-response","9","740211","0.0-8.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","4","5","784",""
"3283","0","html-button-response","10","744010","0.0-9.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","5","1150",""
"6039","0","html-button-response","11","750554","0.0-10.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","3","1737",""
"5629","0","html-button-response","12","756691","0.0-11.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","3","985",""
"5744","0","html-button-response","13","762946","0.0-12.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","3","288",""
"3480","0","html-button-response","14","766939","0.0-13.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","5","1981",""
"3066","0","html-button-response","15","770515","0.0-14.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","5","1639",""
"7579","0","html-button-response","16","778595","0.0-15.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","4","5","2087",""
"4307","0","html-button-response","17","783411","0.0-16.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","3","1584",""
"54159","0","html-button-response","18","838075","0.0-17.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","2","884",""
"3046","0","html-button-response","19","841635","0.0-18.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","5","1933",""
"5453","0","html-button-response","20","847602","0.0-19.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","6","1795",""
"2802","0","html-button-response","21","850914","0.0-20.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","3","1001",""
"3979","0","html-button-response","22","855402","0.0-21.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","6","1216",""
"6284","0","html-button-response","23","862194","0.0-22.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","4","95",""
"9498","0","html-button-response","24","872195","0.0-23.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","5","669",""
"5232","0","html-button-response","25","877931","0.0-24.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","7","1719",""
"2306","0","html-button-response","26","880747","0.0-25.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","7","1732",""
"3481","0","html-button-response","27","884739","0.0-26.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","4","1372",""
"3335","0","html-button-response","28","888578","0.0-27.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","5","2099",""
"4905","0","html-button-response","29","893986","0.0-28.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","1","1440",""
"5202","0","html-button-response","30","899700","0.0-29.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","2","88",""
"2923","0","html-button-response","31","903138","0.0-30.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","1","195",""
"2779","0","html-button-response","32","906427","0.0-31.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","2","1127",""
"4285","0","html-button-response","33","911226","0.0-32.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","4","132",""
"2617","0","html-button-response","34","914347","0.0-33.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","2","1739",""
"2208","0","html-button-response","35","917058","0.0-34.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","1","377",""
"3511","0","html-button-response","36","921074","0.0-35.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","5","1108",""
"9421","0","html-button-response","37","931010","0.0-36.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","4","5","758",""
"4190","0","html-button-response","38","935714","0.0-37.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","6","1095",""
"3054","0","html-button-response","39","939282","0.0-38.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","2","917",""
"2887","0","html-button-response","40","942674","0.0-39.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","1","26",""
"5367","0","html-button-response","41","948547","0.0-40.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","6","1","180",""
"4702","0","html-button-response","42","953762","0.0-41.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","5","628",""
"5128","0","html-button-response","43","959394","0.0-42.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","4","5","69",""
"2256","0","html-button-response","44","962163","0.0-43.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","5","2188",""
"3082","0","html-button-response","45","965748","0.0-44.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","6","1418",""
"2376","0","html-button-response","46","968627","0.0-45.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","5","1849",""
"2608","0","html-button-response","47","971747","0.0-46.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","3","128",""
"2332","0","html-button-response","48","974587","0.0-47.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","6","1745",""
"8279","0","html-button-response","49","983379","0.0-48.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","6","1","907",""
"2537","0","html-button-response","50","986418","0.0-49.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","5","1499",""
"3088","0","html-button-response","51","990018","0.0-50.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","6","1589",""
"2549","0","html-button-response","52","993074","0.0-51.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","6","1785",""
"3934","0","html-button-response","53","997522","0.0-52.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","3","5","404",""
"4331","0","html-button-response","54","1002362","0.0-53.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","1","751",""
"3442","0","html-button-response","55","1006306","0.0-54.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","3","5","613",""
"2008","0","html-button-response","56","1008819","0.0-55.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","5","2003",""
"4320","0","html-button-response","57","1013650","0.0-56.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","4","653",""
"5317","0","html-button-response","58","1019475","0.0-57.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","5","1448",""
"2782","0","html-button-response","59","1022772","0.0-58.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","2","1529",""
"2946","0","html-button-response","60","1026234","0.0-59.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","6","2","1880",""
"2747","0","html-button-response","61","1029491","0.0-60.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","4","310",""
"2049","0","html-button-response","62","1032043","0.0-61.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","5","1278",""
"4022","0","html-button-response","63","1036578","0.0-62.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","5","1567",""
"2705","0","html-button-response","64","1039787","0.0-63.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","3","1907",""
"2857","0","html-button-response","65","1043146","0.0-64.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","2","936",""
"2935","0","html-button-response","66","1046594","0.0-65.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","6","2","1285",""
"3600","0","html-button-response","67","1050698","0.0-66.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","5","421",""
"2438","0","html-button-response","68","1053642","0.0-67.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","6","1887",""
"2964","0","html-button-response","69","1057123","0.0-68.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","7","1","13",""
"2349","0","html-button-response","70","1059986","0.0-69.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","3","1411",""
"4542","0","html-button-response","71","1065034","0.0-70.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","6","5","131",""
"2188","0","html-button-response","72","1067731","0.0-71.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","5","1629",""
"3990","0","html-button-response","73","1072234","0.0-72.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","4","332",""
"2783","0","html-button-response","74","1075523","0.0-73.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","4","666",""
"4085","0","html-button-response","75","1080115","0.0-74.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","6","3","690",""
"1871","0","html-button-response","76","1082490","0.0-75.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","5","1835",""
"3500","0","html-button-response","77","1086506","0.0-76.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","4","298",""
"2972","0","html-button-response","78","1089986","0.0-77.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","6","5","551",""
"6772","0","html-button-response","79","1097259","0.0-78.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","6","5","1057",""
"2165","0","html-button-response","80","1099938","0.0-79.0","5f3227893ca51916b4ff6d9d","5f3227893ca51916b4ff6d9d_20240207","","","","5","5","1956",""
