"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","understand_correct","stimulus","arousal","valence","img_id","tested_trial_idx"
"8986","0","html-button-response","0","8987","0.0-0.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","","","",""
"4559","[object Object]","survey-html-form","1","14050","0.0-1.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","prolific_id_page","","","","","",""
"44669","0","html-button-response","2","58720","0.0-2.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","","","",""
"26514","0","html-button-response","3","85735","0.0-3.0-0.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","true","","","","",""
"16427","0","html-button-response","4","102668","0.0-4.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","","","",""
"6810","0","html-button-response","5","109985","0.0-5.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","7","2","771",""
"4848","0","html-button-response","6","115335","0.0-6.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","3","3","2024",""
"5079","0","html-button-response","7","120919","0.0-7.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","8","7","96",""
"3077","0","html-button-response","8","124501","0.0-8.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","5","5","1305",""
"5732","0","html-button-response","9","130736","0.0-9.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","4","1","1792",""
"6478","0","html-button-response","10","137719","0.0-10.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","9","6","31",""
"4530","0","html-button-response","11","142752","0.0-11.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","4","2","1078",""
"4664","0","html-button-response","12","147918","0.0-12.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","9","8","1865",""
"3582","0","html-button-response","13","152002","0.0-13.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","8","6","731",""
"23933","0","html-button-response","14","176437","0.0-14.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","7","2","182",""
"27348","0","html-button-response","15","204268","0.0-15.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","7","9","1719",""
"3382","0","html-button-response","16","208150","0.0-16.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","8","4","122",""
"2929","0","html-button-response","17","211579","0.0-17.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","5","5","2009",""
"3247","0","html-button-response","18","215328","0.0-18.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","4","2","1805",""
"3260","0","html-button-response","19","219091","0.0-19.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","8","7","90",""
"6397","0","html-button-response","20","225989","0.0-20.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","4","3","923",""
"3646","0","html-button-response","21","230137","0.0-21.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","7","8","1367",""
"2549","0","html-button-response","22","233188","0.0-22.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","7","6","898",""
"21363","0","html-button-response","23","255052","0.0-23.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","7","6","120",""
"4934","0","html-button-response","24","260488","0.0-24.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","4","3","1610",""
"5410","0","html-button-response","25","266401","0.0-25.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","5","5","427",""
"9382","0","html-button-response","26","276284","0.0-26.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","3","3","2131",""
"4228","0","html-button-response","27","281017","0.0-27.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","3","7","1907",""
"7796","0","html-button-response","28","289316","0.0-28.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","7","2","1364",""
"5896","0","html-button-response","29","295717","0.0-29.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","3","3","319",""
"2015","0","html-button-response","30","298234","0.0-30.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","6","7","1893",""
"3796","0","html-button-response","31","302534","0.0-31.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","8","3","108",""
"2382","0","html-button-response","32","305418","0.0-32.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","5","5","1003",""
"3446","0","html-button-response","33","309367","0.0-33.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","7","6","554",""
"3480","0","html-button-response","34","313351","0.0-34.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","9","5","1774",""
"5961","0","html-button-response","35","319818","0.0-35.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","7","5","422",""
"13178","0","html-button-response","36","333502","0.0-36.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","5","9","912",""
"2313","0","html-button-response","37","336317","0.0-37.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","6","6","242",""
"3015","0","html-button-response","38","339834","0.0-38.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","9","9","2048",""
"22900","0","html-button-response","39","363235","0.0-39.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","7","4","590",""
"5663","0","html-button-response","40","369401","0.0-40.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","3","3","1348",""
"6814","0","html-button-response","41","376718","0.0-41.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","7","2","137",""
"4712","0","html-button-response","42","381934","0.0-42.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","3","1","1257",""
"5111","0","html-button-response","43","387550","0.0-43.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","7","6","84",""
"4198","0","html-button-response","44","392251","0.0-44.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","5","5","246",""
"4529","0","html-button-response","45","397283","0.0-45.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","4","3","1790",""
"4664","0","html-button-response","46","402451","0.0-46.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","4","6","104",""
"2162","0","html-button-response","47","405117","0.0-47.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","5","5","1113",""
"4780","0","html-button-response","48","410399","0.0-48.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","3","3","832",""
"3730","0","html-button-response","49","414634","0.0-49.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","1","1","1727",""
"6864","0","html-button-response","50","422000","0.0-50.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","6","3","63",""
"15532","0","html-button-response","51","438034","0.0-51.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","8","4","46",""
"3113","0","html-button-response","52","441650","0.0-52.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","7","7","1093",""
"7196","0","html-button-response","53","449350","0.0-53.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","6","8","1254",""
"2997","0","html-button-response","54","452850","0.0-54.0","610060a76971cda108e8aa2b","610060a76971cda108e8aa2b_20240207","","","","7","7","875",""
