"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","understand_correct","stimulus","arousal","valence","img_id","tested_trial_idx"
"18019","0","html-button-response","0","18030","0.0-0.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","","","","",""
"6732","[object Object]","survey-html-form","1","25278","0.0-1.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","prolific_id_page","","","","","",""
"56264","0","html-button-response","2","81553","0.0-2.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","","","","",""
"91314","0","html-button-response","3","173378","0.0-3.0-0.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","true","","","","",""
"2055","0","html-button-response","4","175947","0.0-4.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","","","",""
"15640","0","html-button-response","5","192105","0.0-5.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","","6","3","198",""
"7169","0","html-button-response","6","199786","0.0-6.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","","4","2","303",""
"6781","0","html-button-response","7","207076","0.0-7.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","","5","1","1151",""
"7996","0","html-button-response","8","215584","0.0-8.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","","4","1","1209",""
"7069","0","html-button-response","9","223163","0.0-9.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","","6","3","216",""
"6783","0","html-button-response","10","230456","0.0-10.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","","6","5","902",""
"6311","0","html-button-response","11","237276","0.0-11.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","","8","7","1736",""
"10048","0","html-button-response","12","247836","0.0-12.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","","4","3","606",""
"11323","0","html-button-response","13","259664","0.0-13.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","","6","3","62",""
"6331","0","html-button-response","14","266504","0.0-14.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","","7","1","1806",""
"9051","0","html-button-response","15","276065","0.0-15.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","","5","5","487",""
"4848","0","html-button-response","16","281423","0.0-16.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","","6","7","750",""
"8171","0","html-button-response","17","290104","0.0-17.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","","7","7","187",""
"4367","0","html-button-response","18","294983","0.0-18.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","","5","5","1827",""
"4619","0","html-button-response","19","300111","0.0-19.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","","7","5","2125",""
"5577","0","html-button-response","20","306199","0.0-20.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","","7","7","1020",""
"5174","0","html-button-response","21","311880","0.0-21.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","","5","5","1472",""
"4615","0","html-button-response","22","317004","0.0-22.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","","8","5","54",""
"4363","0","html-button-response","23","321875","0.0-23.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","","5","5","836",""
"12746","0","html-button-response","24","335129","0.0-24.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","","6","3","530",""
"4824","0","html-button-response","25","340461","0.0-25.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","","5","5","658",""
"3327","0","html-button-response","26","344296","0.0-26.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","","5","5","630",""
"3716","0","html-button-response","27","348526","0.0-27.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","","5","5","1798",""
"7476","0","html-button-response","28","356511","0.0-28.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","","4","3","1091",""
"5723","0","html-button-response","29","362745","0.0-29.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","","4","1","1716",""
"6674","0","html-button-response","30","369930","0.0-30.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","","7","7","83",""
"5024","0","html-button-response","31","375461","0.0-31.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","","5","4","933",""
"3930","0","html-button-response","32","379898","0.0-32.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","","5","5","813",""
"4027","0","html-button-response","33","384434","0.0-33.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","","5","5","151",""
"3795","0","html-button-response","34","388739","0.0-34.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","","5","5","939",""
"6994","0","html-button-response","35","396245","0.0-35.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","","6","3","1066",""
"5786","0","html-button-response","36","402538","0.0-36.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","","6","4","935",""
"8510","0","html-button-response","37","411555","0.0-37.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","","5","7","2135",""
"7566","0","html-button-response","38","419629","0.0-38.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","","7","6","122",""
"9192","0","html-button-response","39","429330","0.0-39.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","","8","7","859",""
"13220","0","html-button-response","40","443064","0.0-40.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","","5","5","776",""
"27462","0","html-button-response","41","471035","0.0-41.0","61080c7faef2e03bd7709250","61080c7faef2e03bd7709250_20240207","","","","7","6","540",""
