"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","understand_correct","stimulus","arousal","valence","img_id","tested_trial_idx"
"14462","0","html-button-response","0","14481","0.0-0.0","610df498456dbaeef682c7ca","610df498456dbaeef682c7ca_20240207","","","","","","",""
"5539","[object Object]","survey-html-form","1","20527","0.0-1.0","610df498456dbaeef682c7ca","610df498456dbaeef682c7ca_20240207","prolific_id_page","","","","","",""
"25635","0","html-button-response","2","46166","0.0-2.0","610df498456dbaeef682c7ca","610df498456dbaeef682c7ca_20240207","","","","","","",""
"10722","0","html-button-response","3","57399","0.0-3.0-0.0","610df498456dbaeef682c7ca","610df498456dbaeef682c7ca_20240207","","false","","","","",""
"278285","0","html-button-response","4","338236","0.0-3.1-0.1","610df498456dbaeef682c7ca","610df498456dbaeef682c7ca_20240207","","true","","","","",""
"5059","0","html-button-response","5","343808","0.0-4.0","610df498456dbaeef682c7ca","610df498456dbaeef682c7ca_20240207","","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","","","",""
"9429","0","html-button-response","6","353772","0.0-5.0","610df498456dbaeef682c7ca","610df498456dbaeef682c7ca_20240207","","","","5","5","1626",""
"31982","0","html-button-response","7","386265","0.0-6.0","610df498456dbaeef682c7ca","610df498456dbaeef682c7ca_20240207","","","","9","3","1207",""
"13533","0","html-button-response","8","400312","0.0-7.0","610df498456dbaeef682c7ca","610df498456dbaeef682c7ca_20240207","","","","9","9","1198",""
"6517","0","html-button-response","9","407347","0.0-8.0","610df498456dbaeef682c7ca","610df498456dbaeef682c7ca_20240207","","","","9","5","1699",""
"9903","0","html-button-response","10","417759","0.0-9.0","610df498456dbaeef682c7ca","610df498456dbaeef682c7ca_20240207","","","","9","3","191",""
"10783","0","html-button-response","11","429051","0.0-10.0","610df498456dbaeef682c7ca","610df498456dbaeef682c7ca_20240207","","","","9","3","9",""
"4423","0","html-button-response","12","433985","0.0-11.0","610df498456dbaeef682c7ca","610df498456dbaeef682c7ca_20240207","","","","5","5","1242",""
"8796","0","html-button-response","13","443300","0.0-12.0","610df498456dbaeef682c7ca","610df498456dbaeef682c7ca_20240207","","","","9","2","676",""
"7108","0","html-button-response","14","450925","0.0-13.0","610df498456dbaeef682c7ca","610df498456dbaeef682c7ca_20240207","","","","9","4","1270",""
"5723","0","html-button-response","15","457167","0.0-14.0","610df498456dbaeef682c7ca","610df498456dbaeef682c7ca_20240207","","","","9","4","748",""
"13133","0","html-button-response","16","470826","0.0-15.0","610df498456dbaeef682c7ca","610df498456dbaeef682c7ca_20240207","","","","5","5","777",""
"13229","0","html-button-response","17","484575","0.0-16.0","610df498456dbaeef682c7ca","610df498456dbaeef682c7ca_20240207","","","","5","5","611",""
"8968","0","html-button-response","18","494053","0.0-17.0","610df498456dbaeef682c7ca","610df498456dbaeef682c7ca_20240207","","","","8","6","108",""
"9025","0","html-button-response","19","503587","0.0-18.0","610df498456dbaeef682c7ca","610df498456dbaeef682c7ca_20240207","","","","9","3","1622",""
"20748","0","html-button-response","20","524847","0.0-19.0","610df498456dbaeef682c7ca","610df498456dbaeef682c7ca_20240207","","","","7","4","1193",""
"5191","0","html-button-response","21","530549","0.0-20.0","610df498456dbaeef682c7ca","610df498456dbaeef682c7ca_20240207","","","","5","5","537",""
"9707","0","html-button-response","22","540762","0.0-21.0","610df498456dbaeef682c7ca","610df498456dbaeef682c7ca_20240207","","","","1","3","14",""
"12995","0","html-button-response","23","554265","0.0-22.0","610df498456dbaeef682c7ca","610df498456dbaeef682c7ca_20240207","","","","7","9","2035",""
