"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","understand_correct","stimulus","arousal","valence","img_id","tested_trial_idx"
"63409","0","html-button-response","0","63416","0.0-0.0","614ce6a7a33bac955957f7a6","614ce6a7a33bac955957f7a6_20240207","","","","","","",""
"10230","[object Object]","survey-html-form","1","74154","0.0-1.0","614ce6a7a33bac955957f7a6","614ce6a7a33bac955957f7a6_20240207","prolific_id_page","","","","","",""
"54566","0","html-button-response","2","128727","0.0-2.0","614ce6a7a33bac955957f7a6","614ce6a7a33bac955957f7a6_20240207","","","","","","",""
"136027","0","html-button-response","3","265269","0.0-3.0-0.0","614ce6a7a33bac955957f7a6","614ce6a7a33bac955957f7a6_20240207","","true","","","","",""
"1784","0","html-button-response","4","267574","0.0-4.0","614ce6a7a33bac955957f7a6","614ce6a7a33bac955957f7a6_20240207","","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","","","",""
"6187","0","html-button-response","5","274269","0.0-5.0","614ce6a7a33bac955957f7a6","614ce6a7a33bac955957f7a6_20240207","","","","2","5","1303",""
"5649","0","html-button-response","6","280426","0.0-6.0","614ce6a7a33bac955957f7a6","614ce6a7a33bac955957f7a6_20240207","","","","4","2","116",""
"13721","0","html-button-response","7","294654","0.0-7.0","614ce6a7a33bac955957f7a6","614ce6a7a33bac955957f7a6_20240207","","","","5","5","1851",""
"4107","0","html-button-response","8","299274","0.0-8.0","614ce6a7a33bac955957f7a6","614ce6a7a33bac955957f7a6_20240207","","","","7","8","1367",""
"2637","0","html-button-response","9","302423","0.0-9.0","614ce6a7a33bac955957f7a6","614ce6a7a33bac955957f7a6_20240207","","","","5","5","790",""
"3230","0","html-button-response","10","306159","0.0-10.0","614ce6a7a33bac955957f7a6","614ce6a7a33bac955957f7a6_20240207","","","","3","3","399",""
"5179","0","html-button-response","11","311852","0.0-11.0","614ce6a7a33bac955957f7a6","614ce6a7a33bac955957f7a6_20240207","","","","6","2","2066",""
"4589","0","html-button-response","12","316948","0.0-12.0","614ce6a7a33bac955957f7a6","614ce6a7a33bac955957f7a6_20240207","","","","7","3","225",""
"2965","0","html-button-response","13","320422","0.0-13.0","614ce6a7a33bac955957f7a6","614ce6a7a33bac955957f7a6_20240207","","","","6","4","220",""
