"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","understand_correct","stimulus","arousal","valence","img_id","tested_trial_idx"
"15596","0","html-button-response","0","15598","0.0-0.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","","","",""
"6407","[object Object]","survey-html-form","1","22513","0.0-1.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","prolific_id_page","","","","","",""
"40085","0","html-button-response","2","62599","0.0-2.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","","","",""
"34245","0","html-button-response","3","97351","0.0-3.0-0.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","true","","","","",""
"1216","0","html-button-response","4","99069","0.0-4.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","","","",""
"6842","0","html-button-response","5","106415","0.0-5.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","2","4","1156",""
"5464","0","html-button-response","6","112393","0.0-6.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","7","7","1722",""
"7502","0","html-button-response","7","120403","0.0-7.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","4","6","1629",""
"10831","0","html-button-response","8","131745","0.0-8.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","6","5","889",""
"4875","0","html-button-response","9","137134","0.0-9.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","5","5","1333",""
"6454","0","html-button-response","10","144100","0.0-10.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","5","5","1177",""
"7536","0","html-button-response","11","152138","0.0-11.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","7","2","518",""
"4537","0","html-button-response","12","157177","0.0-12.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","8","8","1928",""
"5155","0","html-button-response","13","162847","0.0-13.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","5","4","1169",""
"5680","0","html-button-response","14","169044","0.0-14.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","3","2","1894",""
"4202","0","html-button-response","15","173761","0.0-15.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","6","6","1470",""
"12861","0","html-button-response","16","187131","0.0-16.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","6","5","2019",""
"15150","0","html-button-response","17","202796","0.0-17.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","6","5","109",""
"4512","0","html-button-response","18","207811","0.0-18.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","6","5","746",""
"4778","0","html-button-response","19","213101","0.0-19.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","7","4","9",""
"4778","0","html-button-response","20","218383","0.0-20.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","5","3","1024",""
"3009","0","html-button-response","21","221908","0.0-21.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","5","5","799",""
"6700","0","html-button-response","22","229115","0.0-22.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","3","5","468",""
"4828","0","html-button-response","23","234448","0.0-23.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","6","3","1258",""
"5958","0","html-button-response","24","240921","0.0-24.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","3","5","331",""
"3367","0","html-button-response","25","244798","0.0-25.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","6","5","1080",""
"4608","0","html-button-response","26","249922","0.0-26.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","7","6","1215",""
"4508","0","html-button-response","27","254940","0.0-27.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","6","6","1798",""
"7371","0","html-button-response","28","262818","0.0-28.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","7","4","34",""
"3154","0","html-button-response","29","266484","0.0-29.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","7","4","398",""
"6592","0","html-button-response","30","273585","0.0-30.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","6","5","794",""
"4992","0","html-button-response","31","279081","0.0-31.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","6","5","81",""
"4879","0","html-button-response","32","284461","0.0-32.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","6","4","372",""
"5351","0","html-button-response","33","290327","0.0-33.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","3","5","1272",""
"2540","0","html-button-response","34","293373","0.0-34.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","7","5","83",""
"4021","0","html-button-response","35","297907","0.0-35.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","6","6","1834",""
"6799","0","html-button-response","36","305208","0.0-36.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","6","6","228",""
"3098","0","html-button-response","37","308811","0.0-37.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","3","3","1259",""
"7060","0","html-button-response","38","316383","0.0-38.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","2","7","169",""
"4239","0","html-button-response","39","321124","0.0-39.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","2","5","766",""
"3225","0","html-button-response","40","324853","0.0-40.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","4","5","152",""
"4201","0","html-button-response","41","329558","0.0-41.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","7","5","510",""
"6079","0","html-button-response","42","336149","0.0-42.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","6","8","1656",""
"3251","0","html-button-response","43","339903","0.0-43.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","5","5","2141",""
"6018","0","html-button-response","44","346434","0.0-44.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","3","3","1727",""
"3636","0","html-button-response","45","350584","0.0-45.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","7","5","395",""
"3120","0","html-button-response","46","354205","0.0-46.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","2","5","1612",""
"3584","0","html-button-response","47","358297","0.0-47.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","2","3","1208",""
"3127","0","html-button-response","48","361933","0.0-48.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","5","5","1013",""
"5485","0","html-button-response","49","367934","0.0-49.0","62c9ed717a2882d689eb27c1","62c9ed717a2882d689eb27c1_20240207","","","","4","5","499",""
