"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","understand_correct","stimulus","arousal","valence","img_id","tested_trial_idx"
"6313","0","html-button-response","0","6315","0.0-0.0","63052f20afc39e87110eb83e","63052f20afc39e87110eb83e_20240207","","","","","","",""
"6045","[object Object]","survey-html-form","1","12864","0.0-1.0","63052f20afc39e87110eb83e","63052f20afc39e87110eb83e_20240207","prolific_id_page","","","","","",""
"225041","0","html-button-response","2","237907","0.0-2.0","63052f20afc39e87110eb83e","63052f20afc39e87110eb83e_20240207","","","","","","",""
"12352","0","html-button-response","3","250761","0.0-3.0-0.0","63052f20afc39e87110eb83e","63052f20afc39e87110eb83e_20240207","","false","","","","",""
"104583","0","html-button-response","4","358032","0.0-3.1-0.1","63052f20afc39e87110eb83e","63052f20afc39e87110eb83e_20240207","","true","","","","",""
"3949","0","html-button-response","5","362483","0.0-4.0","63052f20afc39e87110eb83e","63052f20afc39e87110eb83e_20240207","","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","","","",""
"19325","0","html-button-response","6","382315","0.0-5.0","63052f20afc39e87110eb83e","63052f20afc39e87110eb83e_20240207","","","","9","5","32",""
"30083","0","html-button-response","7","412906","0.0-6.0","63052f20afc39e87110eb83e","63052f20afc39e87110eb83e_20240207","","","","7","6","709",""
"34334","0","html-button-response","8","447742","0.0-7.0","63052f20afc39e87110eb83e","63052f20afc39e87110eb83e_20240207","","","","7","5","1047",""
"12752","0","html-button-response","9","460998","0.0-8.0","63052f20afc39e87110eb83e","63052f20afc39e87110eb83e_20240207","","","","9","9","1224",""
"13465","0","html-button-response","10","474965","0.0-9.0","63052f20afc39e87110eb83e","63052f20afc39e87110eb83e_20240207","","","","5","4","823",""
"18592","0","html-button-response","11","494058","0.0-10.0","63052f20afc39e87110eb83e","63052f20afc39e87110eb83e_20240207","","","","4","2","271",""
"12736","0","html-button-response","12","507295","0.0-11.0","63052f20afc39e87110eb83e","63052f20afc39e87110eb83e_20240207","","","","3","1","1948",""
"13022","0","html-button-response","13","520821","0.0-12.0","63052f20afc39e87110eb83e","63052f20afc39e87110eb83e_20240207","","","","2","1","1232",""
"16399","0","html-button-response","14","537735","0.0-13.0","63052f20afc39e87110eb83e","63052f20afc39e87110eb83e_20240207","","","","4","2","416",""
"13863","0","html-button-response","15","552101","0.0-14.0","63052f20afc39e87110eb83e","63052f20afc39e87110eb83e_20240207","","","","4","1","1196",""
"4128","0","html-button-response","16","556737","0.0-15.0","63052f20afc39e87110eb83e","63052f20afc39e87110eb83e_20240207","","","","5","5","821",""
"12621","0","html-button-response","17","569861","0.0-16.0","63052f20afc39e87110eb83e","63052f20afc39e87110eb83e_20240207","","","","7","5","2147",""
"12532","0","html-button-response","18","582908","0.0-17.0","63052f20afc39e87110eb83e","63052f20afc39e87110eb83e_20240207","","","","3","3","2132",""
"6709","0","html-button-response","19","590120","0.0-18.0","63052f20afc39e87110eb83e","63052f20afc39e87110eb83e_20240207","","","","5","1","363",""
"44139","0","html-button-response","20","634764","0.0-19.0","63052f20afc39e87110eb83e","63052f20afc39e87110eb83e_20240207","","","","4","3","104",""
"14189","0","html-button-response","21","649455","0.0-20.0","63052f20afc39e87110eb83e","63052f20afc39e87110eb83e_20240207","","","","2","2","1767",""
"15022","0","html-button-response","22","664981","0.0-21.0","63052f20afc39e87110eb83e","63052f20afc39e87110eb83e_20240207","","","","3","3","2051",""
"13361","0","html-button-response","23","678845","0.0-22.0","63052f20afc39e87110eb83e","63052f20afc39e87110eb83e_20240207","","","","8","7","735",""
"5259","0","html-button-response","24","684615","0.0-23.0","63052f20afc39e87110eb83e","63052f20afc39e87110eb83e_20240207","","","","8","7","385",""
"4252","0","html-button-response","25","689374","0.0-24.0","63052f20afc39e87110eb83e","63052f20afc39e87110eb83e_20240207","","","","5","5","1474",""
"38276","0","html-button-response","26","728152","0.0-25.0","63052f20afc39e87110eb83e","63052f20afc39e87110eb83e_20240207","","","","3","2","1105",""
"13602","0","html-button-response","27","742263","0.0-26.0","63052f20afc39e87110eb83e","63052f20afc39e87110eb83e_20240207","","","","5","3","272",""
"26157","0","html-button-response","28","768926","0.0-27.0","63052f20afc39e87110eb83e","63052f20afc39e87110eb83e_20240207","","","","9","7","343",""
