"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","understand_correct","stimulus","arousal","valence","img_id","tested_trial_idx"
"2307","0","html-button-response","0","2308","0.0-0.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","","","",""
"13736","[object Object]","survey-html-form","1","16547","0.0-1.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","prolific_id_page","","","","","",""
"1484065","0","html-button-response","2","1500717","0.0-2.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","","","",""
"34698","0","html-button-response","3","1535921","0.0-3.0-0.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","false","","","","",""
"22110","0","html-button-response","4","1559490","0.0-3.1-0.1","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","true","","","","",""
"1427","0","html-button-response","5","1561422","0.0-4.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","","","",""
"6685","0","html-button-response","6","1568622","0.0-5.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","7","2","855",""
"4162","0","html-button-response","7","1573286","0.0-6.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","6","2","1259",""
"4686","0","html-button-response","8","1578478","0.0-7.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","3","7","1139",""
"4958","0","html-button-response","9","1583937","0.0-8.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","4","7","999",""
"3419","0","html-button-response","10","1587861","0.0-9.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","6","9","1226",""
"3227","0","html-button-response","11","1591593","0.0-10.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","4","5","1514",""
"1902","0","html-button-response","12","1594011","0.0-11.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","4","6","620",""
"2829","0","html-button-response","13","1597343","0.0-12.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","3","5","1152",""
"3738","0","html-button-response","14","1601595","0.0-13.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","9","4","705",""
"2035","0","html-button-response","15","1604143","0.0-14.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","9","4","890",""
"4287","0","html-button-response","16","1608941","0.0-15.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","4","4","1332",""
"2711","0","html-button-response","17","1612159","0.0-16.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","4","7","1290",""
"2006","0","html-button-response","18","1614671","0.0-17.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","4","5","1321",""
"2162","0","html-button-response","19","1617334","0.0-18.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","4","5","1318",""
"3543","0","html-button-response","20","1621384","0.0-19.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","6","3","2090",""
"3215","0","html-button-response","21","1625110","0.0-20.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","9","4","356",""
"2414","0","html-button-response","22","1628036","0.0-21.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","8","3","361",""
"3166","0","html-button-response","23","1631706","0.0-22.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","7","5","425",""
"2177","0","html-button-response","24","1634392","0.0-23.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","8","8","2094",""
"3687","0","html-button-response","25","1638580","0.0-24.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","5","3","791",""
"2648","0","html-button-response","26","1641736","0.0-25.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","5","5","497",""
"2643","0","html-button-response","27","1644895","0.0-26.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","6","2","1021",""
"1787","0","html-button-response","28","1647189","0.0-27.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","6","2","892",""
"2724","0","html-button-response","29","1650423","0.0-28.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","5","4","970",""
"2418","0","html-button-response","30","1653345","0.0-29.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","5","3","1352",""
"2546","0","html-button-response","31","1656401","0.0-30.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","8","2","1221",""
"1853","0","html-button-response","32","1658758","0.0-31.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","7","3","234",""
"3002","0","html-button-response","33","1662266","0.0-32.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","5","5","1336",""
"2236","0","html-button-response","34","1665004","0.0-33.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","5","6","799",""
"1866","0","html-button-response","35","1667386","0.0-34.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","6","2","1555",""
"42774","0","html-button-response","36","1710665","0.0-35.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","8","7","1397",""
"4859","0","html-button-response","37","1716037","0.0-36.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","6","5","78",""
"3109","0","html-button-response","38","1719666","0.0-37.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","8","5","148",""
"1872","0","html-button-response","39","1722050","0.0-38.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","5","5","2193",""
"3004","0","html-button-response","40","1725558","0.0-39.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","8","7","2085",""
"2585","0","html-button-response","41","1728657","0.0-40.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","6","2","571",""
"3342","0","html-button-response","42","1732505","0.0-41.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","5","4","1814",""
"2277","0","html-button-response","43","1735289","0.0-42.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","7","8","2109",""
"2316","0","html-button-response","44","1738107","0.0-43.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","6","6","1813",""
"1951","0","html-button-response","45","1740565","0.0-44.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","5","5","1788",""
"1971","0","html-button-response","46","1743045","0.0-45.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","6","2","558",""
"2342","0","html-button-response","47","1745888","0.0-46.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","8","4","722",""
"2126","0","html-button-response","48","1748521","0.0-47.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","7","2","1907",""
"2101","0","html-button-response","49","1751136","0.0-48.0","6341b868a41dcb8f252c509a","6341b868a41dcb8f252c509a_20240207","","","","6","6","1797",""
