"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","understand_correct","stimulus","arousal","valence","img_id","tested_trial_idx"
"7011","0","html-button-response","0","7013","0.0-0.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","","","",""
"9040","[object Object]","survey-html-form","1","16555","0.0-1.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","prolific_id_page","","","","","",""
"104946","0","html-button-response","2","121503","0.0-2.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","","","",""
"167896","0","html-button-response","3","289915","0.0-3.0-0.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","true","","","","",""
"1737","0","html-button-response","4","292165","0.0-4.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","","","",""
"25033","0","html-button-response","5","317711","0.0-5.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","5","9","173",""
"6908","0","html-button-response","6","325135","0.0-6.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","5","1","451",""
"5094","0","html-button-response","7","330735","0.0-7.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","5","5","536",""
"14064","0","html-button-response","8","345305","0.0-8.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","7","1","1206",""
"5587","0","html-button-response","9","351405","0.0-9.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","5","9","1236",""
"2686","0","html-button-response","10","354607","0.0-10.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","5","5","2176",""
"7826","0","html-button-response","11","362935","0.0-11.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","5","1","441",""
"33637","0","html-button-response","12","397089","0.0-12.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","7","3","1191",""
"9137","0","html-button-response","13","406743","0.0-13.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","5","8","1938",""
"7185","0","html-button-response","14","414433","0.0-14.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","8","8","134",""
"3122","0","html-button-response","15","418057","0.0-15.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","5","5","2149",""
"4728","0","html-button-response","16","423291","0.0-16.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","8","1","124",""
"2413","0","html-button-response","17","426213","0.0-17.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","5","5","934",""
"2618","0","html-button-response","18","429337","0.0-18.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","5","5","1165",""
"5348","0","html-button-response","19","435187","0.0-19.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","7","5","750",""
"5023","0","html-button-response","20","440719","0.0-20.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","7","6","1905",""
"6877","0","html-button-response","21","448110","0.0-21.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","7","5","191",""
"3392","0","html-button-response","22","452013","0.0-22.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","7","3","523",""
"7090","0","html-button-response","23","459617","0.0-23.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","3","1","909",""
"2619","0","html-button-response","24","462749","0.0-24.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","5","5","767",""
"2681","0","html-button-response","25","465942","0.0-25.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","5","5","273",""
"3608","0","html-button-response","26","470056","0.0-26.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","4","5","1128",""
"5840","0","html-button-response","27","476404","0.0-27.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","3","3","1007",""
"6947","0","html-button-response","28","483860","0.0-28.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","6","5","739",""
"4897","0","html-button-response","29","489275","0.0-29.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","8","8","1552",""
"7104","0","html-button-response","30","496894","0.0-30.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","5","9","380",""
"8448","0","html-button-response","31","505863","0.0-31.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","7","1","940",""
"3536","0","html-button-response","32","509913","0.0-32.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","7","8","885",""
"3063","0","html-button-response","33","513482","0.0-33.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","5","5","2004",""
"3238","0","html-button-response","34","517236","0.0-34.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","4","4","243",""
"2360","0","html-button-response","35","520105","0.0-35.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","5","5","2198",""
"7731","0","html-button-response","36","528346","0.0-36.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","5","1","1897",""
"2288","0","html-button-response","37","531143","0.0-37.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","4","2","1937",""
"2440","0","html-button-response","38","534089","0.0-38.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","3","2","700",""
"2733","0","html-button-response","39","537337","0.0-39.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","8","8","681",""
"2006","0","html-button-response","40","539853","0.0-40.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","5","5","1278",""
"5697","0","html-button-response","41","546062","0.0-41.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","6","2","347",""
"3899","0","html-button-response","42","550465","0.0-42.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","6","2","1360",""
"3017","0","html-button-response","43","553985","0.0-43.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","7","2","2052",""
"3275","0","html-button-response","44","557765","0.0-44.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","6","3","1256",""
"2814","0","html-button-response","45","561091","0.0-45.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","7","2","2089",""
"2271","0","html-button-response","46","563878","0.0-46.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","5","5","1268",""
"2265","0","html-button-response","47","566653","0.0-47.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","5","5","1099",""
"3624","0","html-button-response","48","570789","0.0-48.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","7","2","193",""
"3488","0","html-button-response","49","574779","0.0-49.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","6","7","2060",""
"4903","0","html-button-response","50","580192","0.0-50.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","8","8","1525",""
"4841","0","html-button-response","51","585537","0.0-51.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","7","2","879",""
"3764","0","html-button-response","52","589815","0.0-52.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","7","2","533",""
"3233","0","html-button-response","53","593561","0.0-53.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","7","7","1385",""
"3055","0","html-button-response","54","597130","0.0-54.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","5","2","1765",""
"2508","0","html-button-response","55","600153","0.0-55.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","8","8","2048",""
"4687","0","html-button-response","56","605342","0.0-56.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","5","2","2114",""
"2385","0","html-button-response","57","608240","0.0-57.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","8","8","1942",""
"5081","0","html-button-response","58","613827","0.0-58.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","7","7","1082",""
"2905","0","html-button-response","59","617239","0.0-59.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","6","2","556",""
"2560","0","html-button-response","60","620308","0.0-60.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","6","2","853",""
"3789","0","html-button-response","61","624603","0.0-61.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","9","7","708",""
"10898","0","html-button-response","62","636002","0.0-62.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","5","1","1182",""
"11080","0","html-button-response","63","647596","0.0-63.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","9","8","1536",""
"3453","0","html-button-response","64","651555","0.0-64.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","5","5","965",""
"2818","0","html-button-response","65","654882","0.0-65.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","7","2","1546",""
"2797","0","html-button-response","66","658187","0.0-66.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","7","2","2050",""
"3899","0","html-button-response","67","662597","0.0-67.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","5","1","624",""
"5526","0","html-button-response","68","668629","0.0-68.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","9","5","588",""
"3041","0","html-button-response","69","672173","0.0-69.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","9","4","263",""
"2874","0","html-button-response","70","675554","0.0-70.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","9","4","92",""
"2481","0","html-button-response","71","678538","0.0-71.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","5","5","1857",""
"2831","0","html-button-response","72","681883","0.0-72.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","5","5","1305",""
"2569","0","html-button-response","73","684960","0.0-73.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","5","4","943",""
"2530","0","html-button-response","74","687998","0.0-74.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","8","7","1887",""
"3793","0","html-button-response","75","692293","0.0-75.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","9","1","97",""
"3846","0","html-button-response","76","696641","0.0-76.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","5","1","506",""
"2491","0","html-button-response","77","699649","0.0-77.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","8","7","1925",""
"2645","0","html-button-response","78","702797","0.0-78.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","8","7","1423",""
"4330","0","html-button-response","79","707637","0.0-79.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","8","5","71",""
"2254","0","html-button-response","80","710403","0.0-80.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","9","8","1017",""
"2996","0","html-button-response","81","713908","0.0-81.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","6","2","517",""
"3323","0","html-button-response","82","717734","0.0-82.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","3","1","502",""
"3260","0","html-button-response","83","721507","0.0-83.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","6","3","1386",""
"4976","0","html-button-response","84","726985","0.0-84.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","9","3","430",""
"3609","0","html-button-response","85","731099","0.0-85.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","3","2","1164",""
"2758","0","html-button-response","86","734365","0.0-86.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","5","2","221",""
"2797","0","html-button-response","87","737676","0.0-87.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","5","2","330",""
"2073","0","html-button-response","88","740254","0.0-88.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","5","2","975",""
"2199","0","html-button-response","89","742961","0.0-89.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","5","2","1845",""
"2369","0","html-button-response","90","745842","0.0-90.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","5","2","414",""
"10531","0","html-button-response","91","756886","0.0-91.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","8","1","1025",""
"2475","0","html-button-response","92","759872","0.0-92.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","5","5","2150",""
"2159","0","html-button-response","93","762536","0.0-93.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","8","8","1393",""
"7341","0","html-button-response","94","770378","0.0-94.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","4","1","167",""
"3757","0","html-button-response","95","774648","0.0-95.0","63f77b9ca8439f6e1620c1cd","63f77b9ca8439f6e1620c1cd_20240207","","","","7","2","852",""
