"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","understand_correct","stimulus","arousal","valence","img_id","tested_trial_idx"
"8221","0","html-button-response","0","8235","0.0-0.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","","","",""
"23335","[object Object]","survey-html-form","1","32081","0.0-1.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","prolific_id_page","","","","","",""
"208464","0","html-button-response","2","240551","0.0-2.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","","","",""
"267087","0","html-button-response","3","508147","0.0-3.0-0.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","true","","","","",""
"3881","0","html-button-response","4","512538","0.0-4.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","","","",""
"17110","0","html-button-response","5","530160","0.0-5.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","9","5","1801",""
"9626","0","html-button-response","6","540292","0.0-6.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","2","4","318",""
"12956","0","html-button-response","7","553754","0.0-7.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","6","4","1929",""
"11655","0","html-button-response","8","565917","0.0-8.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","5","5","417",""
"4283","0","html-button-response","9","570708","0.0-9.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","5","5","410",""
"49879","0","html-button-response","10","621092","0.0-10.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","2","8","1809",""
"5097","0","html-button-response","11","626697","0.0-11.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","7","6","2075",""
"8313","0","html-button-response","12","635517","0.0-12.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","7","7","1972",""
"9991","0","html-button-response","13","646016","0.0-13.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","1","8","936",""
"6928","0","html-button-response","14","653450","0.0-14.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","9","8","2063",""
"10108","0","html-button-response","15","664065","0.0-15.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","2","8","1009",""
"23402","0","html-button-response","16","687974","0.0-16.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","5","2","1775",""
"3526","0","html-button-response","17","692005","0.0-17.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","3","4","1325",""
"2386","0","html-button-response","18","694897","0.0-18.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","4","8","1653",""
"2058","0","html-button-response","19","697459","0.0-19.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","9","3","1496",""
"1721","0","html-button-response","20","699687","0.0-20.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","9","8","2024",""
"2044","0","html-button-response","21","702238","0.0-21.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","9","9","697",""
"1768","0","html-button-response","22","704513","0.0-22.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","5","1","1676",""
"3121","0","html-button-response","23","708140","0.0-23.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","8","2","1117",""
"5549","0","html-button-response","24","714196","0.0-24.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","5","9","804",""
"3904","0","html-button-response","25","718606","0.0-25.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","7","8","275",""
"10409","0","html-button-response","26","729521","0.0-26.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","1","4","2194",""
"28878","0","html-button-response","27","758906","0.0-27.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","6","1","302",""
"10340","0","html-button-response","28","769753","0.0-28.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","1","6","1233",""
"4968","0","html-button-response","29","775230","0.0-29.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","1","3","762",""
"3921","0","html-button-response","30","779657","0.0-30.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","7","6","96",""
"2117","0","html-button-response","31","782281","0.0-31.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","1","5","2054",""
"3288","0","html-button-response","32","786077","0.0-32.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","3","7","841",""
"2988","0","html-button-response","33","789572","0.0-33.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","7","4","1674",""
"2985","0","html-button-response","34","793065","0.0-34.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","9","8","794",""
"3302","0","html-button-response","35","796874","0.0-35.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","9","7","1306",""
"2338","0","html-button-response","36","799720","0.0-36.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","9","1","1512",""
"1955","0","html-button-response","37","802182","0.0-37.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","4","1","1870",""
"4252","0","html-button-response","38","806940","0.0-38.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","5","8","242",""
"4902","0","html-button-response","39","812348","0.0-39.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","6","2","75",""
"2305","0","html-button-response","40","815160","0.0-40.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","7","1","786",""
"1974","0","html-button-response","41","817640","0.0-41.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","7","7","2073",""
"1839","0","html-button-response","42","819986","0.0-42.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","7","4","583",""
"1819","0","html-button-response","43","822313","0.0-43.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","4","7","1433",""
"2057","0","html-button-response","44","824877","0.0-44.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","4","2","577",""
"1689","0","html-button-response","45","827073","0.0-45.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","1","4","1261",""
"2441","0","html-button-response","46","830020","0.0-46.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","1","7","53",""
"1987","0","html-button-response","47","832514","0.0-47.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","6","9","2178",""
"1891","0","html-button-response","48","834909","0.0-48.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","5","1","102",""
"6748","0","html-button-response","49","842164","0.0-49.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","5","5","2044",""
"3053","0","html-button-response","50","845725","0.0-50.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","5","5","513",""
"3800","0","html-button-response","51","850031","0.0-51.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","5","5","346",""
"4505","0","html-button-response","52","855043","0.0-52.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","9","5","41",""
"2372","0","html-button-response","53","857922","0.0-53.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","7","1","2125",""
"1804","0","html-button-response","54","860233","0.0-54.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","5","8","1162",""
"1638","0","html-button-response","55","862378","0.0-55.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","7","7","676",""
"1242","0","html-button-response","56","864127","0.0-56.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","7","3","2060",""
"2189","0","html-button-response","57","866823","0.0-57.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","2","8","2180",""
"3742","0","html-button-response","58","871070","0.0-58.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","6","3","476",""
"13531","0","html-button-response","59","885109","0.0-59.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","2","8","45",""
"3189","0","html-button-response","60","888804","0.0-60.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","2","9","994",""
"2402","0","html-button-response","61","891713","0.0-61.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","4","9","1329",""
"5403","0","html-button-response","62","897621","0.0-62.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","7","5","889",""
"2272","0","html-button-response","63","900399","0.0-63.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","5","2","1045",""
"3684","0","html-button-response","64","904589","0.0-64.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","9","5","1381",""
"1939","0","html-button-response","65","907036","0.0-65.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","2","7","1563",""
"1558","0","html-button-response","66","909100","0.0-66.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","3","3","42",""
"1623","0","html-button-response","67","911228","0.0-67.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","6","3","1947",""
"1357","0","html-button-response","68","913092","0.0-68.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","6","8","1931",""
"1725","0","html-button-response","69","915324","0.0-69.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","4","9","109",""
"1539","0","html-button-response","70","917371","0.0-70.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","4","7","1735",""
"1636","0","html-button-response","71","919513","0.0-71.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","2","8","317",""
"1540","0","html-button-response","72","921560","0.0-72.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","4","7","548",""
"1911","0","html-button-response","73","923978","0.0-73.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","5","1","819",""
"1535","0","html-button-response","74","926020","0.0-74.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","3","1","349",""
"1693","0","html-button-response","75","928219","0.0-75.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","8","9","495",""
"1670","0","html-button-response","76","930395","0.0-76.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","4","9","1060",""
"1358","0","html-button-response","77","932260","0.0-77.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","3","4","1948",""
"1306","0","html-button-response","78","934072","0.0-78.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","3","3","2046",""
"2058","0","html-button-response","79","936639","0.0-79.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","9","4","1012",""
"4731","0","html-button-response","80","941876","0.0-80.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","9","6","677",""
"5136","0","html-button-response","81","947517","0.0-81.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","9","5","136",""
"2339","0","html-button-response","82","950363","0.0-82.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","1","6","829",""
"5000","0","html-button-response","83","955870","0.0-83.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","6","1","811",""
"1992","0","html-button-response","84","958368","0.0-84.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","2","8","2150",""
"1270","0","html-button-response","85","960146","0.0-85.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","1","5","186",""
"2163","0","html-button-response","86","962813","0.0-86.0","6464dc39528181c001c5d141","6464dc39528181c001c5d141_20240207","","","","4","5","1063",""
