"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","understand_correct","stimulus","arousal","valence","img_id","tested_trial_idx"
"1197420","0","html-button-response","0","1197397","0.0-0.0","6569f4f7d5d541a2a1bc5022","6569f4f7d5d541a2a1bc5022_20240207","","","","","","",""
"2870","[object Object]","survey-html-form","1","1200776","0.0-1.0","6569f4f7d5d541a2a1bc5022","6569f4f7d5d541a2a1bc5022_20240207","prolific_id_page","","","","","",""
"34720","0","html-button-response","2","1235497","0.0-2.0","6569f4f7d5d541a2a1bc5022","6569f4f7d5d541a2a1bc5022_20240207","","","","","","",""
"204020","0","html-button-response","3","1440019","0.0-3.0-0.0","6569f4f7d5d541a2a1bc5022","6569f4f7d5d541a2a1bc5022_20240207","","true","","","","",""
"881","0","html-button-response","4","1441406","0.0-4.0","6569f4f7d5d541a2a1bc5022","6569f4f7d5d541a2a1bc5022_20240207","","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","","","",""
"6446","0","html-button-response","5","1448357","0.0-5.0","6569f4f7d5d541a2a1bc5022","6569f4f7d5d541a2a1bc5022_20240207","","","","5","4","2197",""
"3236","0","html-button-response","6","1452096","0.0-6.0","6569f4f7d5d541a2a1bc5022","6569f4f7d5d541a2a1bc5022_20240207","","","","6","6","742",""
"1001","0","html-button-response","7","1453599","0.0-7.0","6569f4f7d5d541a2a1bc5022","6569f4f7d5d541a2a1bc5022_20240207","","","","1","5","38",""
"846","0","html-button-response","8","1454947","0.0-8.0","6569f4f7d5d541a2a1bc5022","6569f4f7d5d541a2a1bc5022_20240207","","","","1","4","2002",""
"603","0","html-button-response","9","1456052","0.0-9.0","6569f4f7d5d541a2a1bc5022","6569f4f7d5d541a2a1bc5022_20240207","","","","1","5","416",""
"1394","0","html-button-response","10","1457949","0.0-10.0","6569f4f7d5d541a2a1bc5022","6569f4f7d5d541a2a1bc5022_20240207","","","","5","1","841",""
"896","0","html-button-response","11","1459348","0.0-11.0","6569f4f7d5d541a2a1bc5022","6569f4f7d5d541a2a1bc5022_20240207","","","","2","6","1089",""
"548","0","html-button-response","12","1460399","0.0-12.0","6569f4f7d5d541a2a1bc5022","6569f4f7d5d541a2a1bc5022_20240207","","","","2","5","1391",""
"603","0","html-button-response","13","1461505","0.0-13.0","6569f4f7d5d541a2a1bc5022","6569f4f7d5d541a2a1bc5022_20240207","","","","1","4","1479",""
"1793","0","html-button-response","14","1463801","0.0-14.0","6569f4f7d5d541a2a1bc5022","6569f4f7d5d541a2a1bc5022_20240207","","","","5","1","622",""
"1549","0","html-button-response","15","1465852","0.0-15.0","6569f4f7d5d541a2a1bc5022","6569f4f7d5d541a2a1bc5022_20240207","","","","4","9","2159",""
"1794","0","html-button-response","16","1468149","0.0-16.0","6569f4f7d5d541a2a1bc5022","6569f4f7d5d541a2a1bc5022_20240207","","","","9","5","193",""
"2806","0","html-button-response","17","1471458","0.0-17.0","6569f4f7d5d541a2a1bc5022","6569f4f7d5d541a2a1bc5022_20240207","","","","7","7","1370",""
"993","0","html-button-response","18","1472955","0.0-18.0","6569f4f7d5d541a2a1bc5022","6569f4f7d5d541a2a1bc5022_20240207","","","","1","9","421",""
"940","0","html-button-response","19","1474397","0.0-19.0","6569f4f7d5d541a2a1bc5022","6569f4f7d5d541a2a1bc5022_20240207","","","","1","3","1828",""
"1770","0","html-button-response","20","1476670","0.0-20.0","6569f4f7d5d541a2a1bc5022","6569f4f7d5d541a2a1bc5022_20240207","","","","6","5","1314",""
"1139","0","html-button-response","21","1478312","0.0-21.0","6569f4f7d5d541a2a1bc5022","6569f4f7d5d541a2a1bc5022_20240207","","","","6","6","1",""
"2990","0","html-button-response","22","1481817","0.0-22.0","6569f4f7d5d541a2a1bc5022","6569f4f7d5d541a2a1bc5022_20240207","","","","2","6","929",""
"1612","0","html-button-response","23","1483935","0.0-23.0","6569f4f7d5d541a2a1bc5022","6569f4f7d5d541a2a1bc5022_20240207","","","","7","4","139",""
"2081","0","html-button-response","24","1486549","0.0-24.0","6569f4f7d5d541a2a1bc5022","6569f4f7d5d541a2a1bc5022_20240207","","","","7","7","1639",""
"1619","0","html-button-response","25","1488670","0.0-25.0","6569f4f7d5d541a2a1bc5022","6569f4f7d5d541a2a1bc5022_20240207","","","","4","6","1516",""
"1593","0","html-button-response","26","1490766","0.0-26.0","6569f4f7d5d541a2a1bc5022","6569f4f7d5d541a2a1bc5022_20240207","","","","5","7","1453",""
"2884","0","html-button-response","27","1494153","0.0-27.0","6569f4f7d5d541a2a1bc5022","6569f4f7d5d541a2a1bc5022_20240207","","","","5","3","1378",""
"1943","0","html-button-response","28","1496598","0.0-28.0","6569f4f7d5d541a2a1bc5022","6569f4f7d5d541a2a1bc5022_20240207","","","","6","4","657",""
