"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","understand_correct","stimulus","arousal","valence","img_id","tested_trial_idx"
"15212","0","html-button-response","0","15214","0.0-0.0","65b50f54fb1adf4ff37c753a","65b50f54fb1adf4ff37c753a_20240207","","","","","","",""
"10230","[object Object]","survey-html-form","1","25949","0.0-1.0","65b50f54fb1adf4ff37c753a","65b50f54fb1adf4ff37c753a_20240207","prolific_id_page","","","","","",""
"25463","0","html-button-response","2","51413","0.0-2.0","65b50f54fb1adf4ff37c753a","65b50f54fb1adf4ff37c753a_20240207","","","","","","",""
"53082","0","html-button-response","3","105006","0.0-3.0-0.0","65b50f54fb1adf4ff37c753a","65b50f54fb1adf4ff37c753a_20240207","","true","","","","",""
"1204","0","html-button-response","4","106718","0.0-4.0","65b50f54fb1adf4ff37c753a","65b50f54fb1adf4ff37c753a_20240207","","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","","","",""
"30222","0","html-button-response","5","137446","0.0-5.0","65b50f54fb1adf4ff37c753a","65b50f54fb1adf4ff37c753a_20240207","","","","3","2","141",""
"9006","0","html-button-response","6","146958","0.0-6.0","65b50f54fb1adf4ff37c753a","65b50f54fb1adf4ff37c753a_20240207","","","","3","2","1103",""
"10352","0","html-button-response","7","157814","0.0-7.0","65b50f54fb1adf4ff37c753a","65b50f54fb1adf4ff37c753a_20240207","","","","5","5","1334",""
"12364","0","html-button-response","8","170686","0.0-8.0","65b50f54fb1adf4ff37c753a","65b50f54fb1adf4ff37c753a_20240207","","","","8","8","1419",""
"8006","0","html-button-response","9","179198","0.0-9.0","65b50f54fb1adf4ff37c753a","65b50f54fb1adf4ff37c753a_20240207","","","","8","2","133",""
"41549","0","html-button-response","10","221262","0.0-10.0","65b50f54fb1adf4ff37c753a","65b50f54fb1adf4ff37c753a_20240207","","","","9","1","419",""
"4769","0","html-button-response","11","226534","0.0-11.0","65b50f54fb1adf4ff37c753a","65b50f54fb1adf4ff37c753a_20240207","","","","9","1","2",""
"10231","0","html-button-response","12","237277","0.0-12.0","65b50f54fb1adf4ff37c753a","65b50f54fb1adf4ff37c753a_20240207","","","","4","8","2112",""
