"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","stimulus","rating","img_id"
"19333","0","html-button-response","0","19339","0.0-0.0","56bae08f30d6b30005f8537a","56bae08f30d6b30005f8537a_20240212","","","",""
"7353","[object Object]","survey-html-form","1","27203","0.0-1.0","56bae08f30d6b30005f8537a","56bae08f30d6b30005f8537a_20240212","prolific_id_page","","",""
"70914","0","html-button-response","2","98118","0.0-2.0","56bae08f30d6b30005f8537a","56bae08f30d6b30005f8537a_20240212","","","",""
"1224","0","html-button-response","3","99847","0.0-3.0","56bae08f30d6b30005f8537a","56bae08f30d6b30005f8537a_20240212","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","",""
"4643","0","html-button-response","4","104994","0.0-4.0","56bae08f30d6b30005f8537a","56bae08f30d6b30005f8537a_20240212","","","7","94"
"4498","0","html-button-response","5","110003","0.0-5.0","56bae08f30d6b30005f8537a","56bae08f30d6b30005f8537a_20240212","","","1","45"
"1875","0","html-button-response","6","112380","0.0-6.0","56bae08f30d6b30005f8537a","56bae08f30d6b30005f8537a_20240212","","","6","160"
"4431","0","html-button-response","7","117349","0.0-7.0","56bae08f30d6b30005f8537a","56bae08f30d6b30005f8537a_20240212","","","7","155"
"2384","0","html-button-response","8","120244","0.0-8.0","56bae08f30d6b30005f8537a","56bae08f30d6b30005f8537a_20240212","","","5","41"
"1368","0","html-button-response","9","122127","0.0-9.0","56bae08f30d6b30005f8537a","56bae08f30d6b30005f8537a_20240212","","","6","38"
"2206","0","html-button-response","10","124836","0.0-10.0","56bae08f30d6b30005f8537a","56bae08f30d6b30005f8537a_20240212","","","7","170"
"1657","0","html-button-response","11","126999","0.0-11.0","56bae08f30d6b30005f8537a","56bae08f30d6b30005f8537a_20240212","","","6","161"
"3554","0","html-button-response","12","131061","0.0-12.0","56bae08f30d6b30005f8537a","56bae08f30d6b30005f8537a_20240212","","","4","174"
"1598","0","html-button-response","13","133170","0.0-13.0","56bae08f30d6b30005f8537a","56bae08f30d6b30005f8537a_20240212","","","5","52"
"2807","0","html-button-response","14","136483","0.0-14.0","56bae08f30d6b30005f8537a","56bae08f30d6b30005f8537a_20240212","","","8","98"
"2917","0","html-button-response","15","139909","0.0-15.0","56bae08f30d6b30005f8537a","56bae08f30d6b30005f8537a_20240212","","","4","48"
"1872","0","html-button-response","16","142294","0.0-16.0","56bae08f30d6b30005f8537a","56bae08f30d6b30005f8537a_20240212","","","5","47"
"1819","0","html-button-response","17","144622","0.0-17.0","56bae08f30d6b30005f8537a","56bae08f30d6b30005f8537a_20240212","","","6","43"
"1768","0","html-button-response","18","146905","0.0-18.0","56bae08f30d6b30005f8537a","56bae08f30d6b30005f8537a_20240212","","","5","54"
"2549","0","html-button-response","19","149960","0.0-19.0","56bae08f30d6b30005f8537a","56bae08f30d6b30005f8537a_20240212","","","6","171"
"36967","0","html-button-response","20","187432","0.0-20.0","56bae08f30d6b30005f8537a","56bae08f30d6b30005f8537a_20240212","","","6","103"
"6422","0","html-button-response","21","194372","0.0-21.0","56bae08f30d6b30005f8537a","56bae08f30d6b30005f8537a_20240212","","","7","158"
"1506","0","html-button-response","22","196392","0.0-22.0","56bae08f30d6b30005f8537a","56bae08f30d6b30005f8537a_20240212","","","7","156"
"3781","0","html-button-response","23","200675","0.0-23.0","56bae08f30d6b30005f8537a","56bae08f30d6b30005f8537a_20240212","","","7","96"
"1775","0","html-button-response","24","202962","0.0-24.0","56bae08f30d6b30005f8537a","56bae08f30d6b30005f8537a_20240212","","","3","42"
"1964","0","html-button-response","25","205438","0.0-25.0","56bae08f30d6b30005f8537a","56bae08f30d6b30005f8537a_20240212","","","7","99"
"1405","0","html-button-response","26","207345","0.0-26.0","56bae08f30d6b30005f8537a","56bae08f30d6b30005f8537a_20240212","","","7","106"
"1628","0","html-button-response","27","209490","0.0-27.0","56bae08f30d6b30005f8537a","56bae08f30d6b30005f8537a_20240212","","","8","102"
"1606","0","html-button-response","28","211606","0.0-28.0","56bae08f30d6b30005f8537a","56bae08f30d6b30005f8537a_20240212","","","2","39"
"2777","0","html-button-response","29","214899","0.0-29.0","56bae08f30d6b30005f8537a","56bae08f30d6b30005f8537a_20240212","","","7","92"
"2911","0","html-button-response","30","218312","0.0-30.0","56bae08f30d6b30005f8537a","56bae08f30d6b30005f8537a_20240212","","","7","169"
"2383","0","html-button-response","31","221198","0.0-31.0","56bae08f30d6b30005f8537a","56bae08f30d6b30005f8537a_20240212","","","3","50"
"2967","0","html-button-response","32","224678","0.0-32.0","56bae08f30d6b30005f8537a","56bae08f30d6b30005f8537a_20240212","","","1","182"
"2049","0","html-button-response","33","227240","0.0-33.0","56bae08f30d6b30005f8537a","56bae08f30d6b30005f8537a_20240212","","","1","49"
"3002","0","html-button-response","34","230747","0.0-34.0","56bae08f30d6b30005f8537a","56bae08f30d6b30005f8537a_20240212","","","1","183"
"2346","0","html-button-response","35","233607","0.0-35.0","56bae08f30d6b30005f8537a","56bae08f30d6b30005f8537a_20240212","","","7","104"
