rt,response,trial_type,trial_index,time_elapsed,internal_node_id,part_ID,ID_DATE,screen_id,stimulus,rating,img_id
1722,0,html-button-response,0,1723,0.0-0.0,5b33034d975e260001e981c9,5b33034d975e260001e981c9_20240212,,,,
5367,[object Object],survey-html-form,1,7602,0.0-1.0,5b33034d975e260001e981c9,5b33034d975e260001e981c9_20240212,prolific_id_page,,,
12264,0,html-button-response,2,19867,0.0-2.0,5b33034d975e260001e981c9,5b33034d975e260001e981c9_20240212,,,,
1902,0,html-button-response,3,22280,0.0-3.0,5b33034d975e260001e981c9,5b33034d975e260001e981c9_20240212,,"
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
",,
6736,0,html-button-response,4,29523,0.0-4.0,5b33034d975e260001e981c9,5b33034d975e260001e981c9_20240212,,,5,68
3138,0,html-button-response,5,33169,0.0-5.0,5b33034d975e260001e981c9,5b33034d975e260001e981c9_20240212,,,6,115
2722,0,html-button-response,6,36400,0.0-6.0,5b33034d975e260001e981c9,5b33034d975e260001e981c9_20240212,,,6,110
2737,0,html-button-response,7,39640,0.0-7.0,5b33034d975e260001e981c9,5b33034d975e260001e981c9_20240212,,,1,60
3220,0,html-button-response,8,43369,0.0-8.0,5b33034d975e260001e981c9,5b33034d975e260001e981c9_20240212,,,8,5
2530,0,html-button-response,9,46400,0.0-9.0,5b33034d975e260001e981c9,5b33034d975e260001e981c9_20240212,,,7,125
2362,0,html-button-response,10,49270,0.0-10.0,5b33034d975e260001e981c9,5b33034d975e260001e981c9_20240212,,,7,128
2661,0,html-button-response,11,52443,0.0-11.0,5b33034d975e260001e981c9,5b33034d975e260001e981c9_20240212,,,8,62
1957,0,html-button-response,12,54909,0.0-12.0,5b33034d975e260001e981c9,5b33034d975e260001e981c9_20240212,,,8,57
1905,0,html-button-response,13,57324,0.0-13.0,5b33034d975e260001e981c9,5b33034d975e260001e981c9_20240212,,,8,72
2086,0,html-button-response,14,59914,0.0-14.0,5b33034d975e260001e981c9,5b33034d975e260001e981c9_20240212,,,7,70
3500,0,html-button-response,15,63915,0.0-15.0,5b33034d975e260001e981c9,5b33034d975e260001e981c9_20240212,,,2,16
4506,0,html-button-response,16,68927,0.0-16.0,5b33034d975e260001e981c9,5b33034d975e260001e981c9_20240212,,,5,63
3190,0,html-button-response,17,72624,0.0-17.0,5b33034d975e260001e981c9,5b33034d975e260001e981c9_20240212,,,7,122
2885,0,html-button-response,18,76019,0.0-18.0,5b33034d975e260001e981c9,5b33034d975e260001e981c9_20240212,,,7,69
2427,0,html-button-response,19,78959,0.0-19.0,5b33034d975e260001e981c9,5b33034d975e260001e981c9_20240212,,,1,13
