rt,response,trial_type,trial_index,time_elapsed,internal_node_id,part_ID,ID_DATE,screen_id,stimulus,rating,img_id
5492,0,html-button-response,0,5499,0.0-0.0,5c479f6935d2e80001e2ce81,5c479f6935d2e80001e2ce81_20240212,,,,
3620,[object Object],survey-html-form,1,9627,0.0-1.0,5c479f6935d2e80001e2ce81,5c479f6935d2e80001e2ce81_20240212,prolific_id_page,,,
5967,0,html-button-response,2,15595,0.0-2.0,5c479f6935d2e80001e2ce81,5c479f6935d2e80001e2ce81_20240212,,,,
1213,0,html-button-response,3,17316,0.0-3.0,5c479f6935d2e80001e2ce81,5c479f6935d2e80001e2ce81_20240212,,"
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
",,
3550,0,html-button-response,4,21374,0.0-4.0,5c479f6935d2e80001e2ce81,5c479f6935d2e80001e2ce81_20240212,,,7,178
3958,0,html-button-response,5,25844,0.0-5.0,5c479f6935d2e80001e2ce81,5c479f6935d2e80001e2ce81_20240212,,,7,137
2587,0,html-button-response,6,28941,0.0-6.0,5c479f6935d2e80001e2ce81,5c479f6935d2e80001e2ce81_20240212,,,5,30
2635,0,html-button-response,7,32078,0.0-7.0,5c479f6935d2e80001e2ce81,5c479f6935d2e80001e2ce81_20240212,,,7,150
3806,0,html-button-response,8,36398,0.0-8.0,5c479f6935d2e80001e2ce81,5c479f6935d2e80001e2ce81_20240212,,,7,148
4035,0,html-button-response,9,40949,0.0-9.0,5c479f6935d2e80001e2ce81,5c479f6935d2e80001e2ce81_20240212,,,5,87
2479,0,html-button-response,10,43938,0.0-10.0,5c479f6935d2e80001e2ce81,5c479f6935d2e80001e2ce81_20240212,,,7,151
4333,0,html-button-response,11,48786,0.0-11.0,5c479f6935d2e80001e2ce81,5c479f6935d2e80001e2ce81_20240212,,,4,27
3482,0,html-button-response,12,52774,0.0-12.0,5c479f6935d2e80001e2ce81,5c479f6935d2e80001e2ce81_20240212,,,4,31
2981,0,html-button-response,13,56264,0.0-13.0,5c479f6935d2e80001e2ce81,5c479f6935d2e80001e2ce81_20240212,,,8,81
2817,0,html-button-response,14,59584,0.0-14.0,5c479f6935d2e80001e2ce81,5c479f6935d2e80001e2ce81_20240212,,,8,79
3045,0,html-button-response,15,63138,0.0-15.0,5c479f6935d2e80001e2ce81,5c479f6935d2e80001e2ce81_20240212,,,9,80
3740,0,html-button-response,16,67387,0.0-16.0,5c479f6935d2e80001e2ce81,5c479f6935d2e80001e2ce81_20240212,,,7,76
