"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","stimulus","rating","img_id"
"4870","0","html-button-response","0","4875","0.0-0.0","5f432ba5c945de1a9be362a4","5f432ba5c945de1a9be362a4_20240212","","","",""
"4854","[object Object]","survey-html-form","1","10238","0.0-1.0","5f432ba5c945de1a9be362a4","5f432ba5c945de1a9be362a4_20240212","prolific_id_page","","",""
"8606","0","html-button-response","2","18849","0.0-2.0","5f432ba5c945de1a9be362a4","5f432ba5c945de1a9be362a4_20240212","","","",""
"1093","0","html-button-response","3","20452","0.0-3.0","5f432ba5c945de1a9be362a4","5f432ba5c945de1a9be362a4_20240212","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","",""
"3857","0","html-button-response","4","24828","0.0-4.0","5f432ba5c945de1a9be362a4","5f432ba5c945de1a9be362a4_20240212","","","6","130"
"2936","0","html-button-response","5","28269","0.0-5.0","5f432ba5c945de1a9be362a4","5f432ba5c945de1a9be362a4_20240212","","","6","62"
"2674","0","html-button-response","6","31454","0.0-6.0","5f432ba5c945de1a9be362a4","5f432ba5c945de1a9be362a4_20240212","","","6","125"
"2194","0","html-button-response","7","34162","0.0-7.0","5f432ba5c945de1a9be362a4","5f432ba5c945de1a9be362a4_20240212","","","6","110"
"2119","0","html-button-response","8","36797","0.0-8.0","5f432ba5c945de1a9be362a4","5f432ba5c945de1a9be362a4_20240212","","","4","71"
"2484","0","html-button-response","9","39794","0.0-9.0","5f432ba5c945de1a9be362a4","5f432ba5c945de1a9be362a4_20240212","","","5","57"
"2355","0","html-button-response","10","42662","0.0-10.0","5f432ba5c945de1a9be362a4","5f432ba5c945de1a9be362a4_20240212","","","6","131"
"2159","0","html-button-response","11","45324","0.0-11.0","5f432ba5c945de1a9be362a4","5f432ba5c945de1a9be362a4_20240212","","","5","18"
"1995","0","html-button-response","12","47836","0.0-12.0","5f432ba5c945de1a9be362a4","5f432ba5c945de1a9be362a4_20240212","","","4","118"
"7031","0","html-button-response","13","55373","0.0-13.0","5f432ba5c945de1a9be362a4","5f432ba5c945de1a9be362a4_20240212","","","7","2"
"2617","0","html-button-response","14","58504","0.0-14.0","5f432ba5c945de1a9be362a4","5f432ba5c945de1a9be362a4_20240212","","","6","15"
"4237","0","html-button-response","15","63251","0.0-15.0","5f432ba5c945de1a9be362a4","5f432ba5c945de1a9be362a4_20240212","","","3","12"
"1958","0","html-button-response","16","65723","0.0-16.0","5f432ba5c945de1a9be362a4","5f432ba5c945de1a9be362a4_20240212","","","5","114"
"2830","0","html-button-response","17","69065","0.0-17.0","5f432ba5c945de1a9be362a4","5f432ba5c945de1a9be362a4_20240212","","","8","128"
"3075","0","html-button-response","18","72649","0.0-18.0","5f432ba5c945de1a9be362a4","5f432ba5c945de1a9be362a4_20240212","","","3","17"
"3168","0","html-button-response","19","76322","0.0-19.0","5f432ba5c945de1a9be362a4","5f432ba5c945de1a9be362a4_20240212","","","8","59"
"3406","0","html-button-response","20","80242","0.0-20.0","5f432ba5c945de1a9be362a4","5f432ba5c945de1a9be362a4_20240212","","","4","10"
"4132","0","html-button-response","21","84883","0.0-21.0","5f432ba5c945de1a9be362a4","5f432ba5c945de1a9be362a4_20240212","","","2","13"
"3589","0","html-button-response","22","88984","0.0-22.0","5f432ba5c945de1a9be362a4","5f432ba5c945de1a9be362a4_20240212","","","8","115"
"1943","0","html-button-response","23","91434","0.0-23.0","5f432ba5c945de1a9be362a4","5f432ba5c945de1a9be362a4_20240212","","","8","113"
"4048","0","html-button-response","24","95988","0.0-24.0","5f432ba5c945de1a9be362a4","5f432ba5c945de1a9be362a4_20240212","","","4","60"
"3071","0","html-button-response","25","99574","0.0-25.0","5f432ba5c945de1a9be362a4","5f432ba5c945de1a9be362a4_20240212","","","9","124"
"2366","0","html-button-response","26","102453","0.0-26.0","5f432ba5c945de1a9be362a4","5f432ba5c945de1a9be362a4_20240212","","","9","66"
"2175","0","html-button-response","27","105138","0.0-27.0","5f432ba5c945de1a9be362a4","5f432ba5c945de1a9be362a4_20240212","","","2","11"
"2234","0","html-button-response","28","107874","0.0-28.0","5f432ba5c945de1a9be362a4","5f432ba5c945de1a9be362a4_20240212","","","3","63"
"2993","0","html-button-response","29","111375","0.0-29.0","5f432ba5c945de1a9be362a4","5f432ba5c945de1a9be362a4_20240212","","","2","14"
"3048","0","html-button-response","30","114942","0.0-30.0","5f432ba5c945de1a9be362a4","5f432ba5c945de1a9be362a4_20240212","","","9","109"
"2517","0","html-button-response","31","117972","0.0-31.0","5f432ba5c945de1a9be362a4","5f432ba5c945de1a9be362a4_20240212","","","9","61"
"2114","0","html-button-response","32","120592","0.0-32.0","5f432ba5c945de1a9be362a4","5f432ba5c945de1a9be362a4_20240212","","","9","111"
"2290","0","html-button-response","33","123396","0.0-33.0","5f432ba5c945de1a9be362a4","5f432ba5c945de1a9be362a4_20240212","","","5","4"
"3083","0","html-button-response","34","126985","0.0-34.0","5f432ba5c945de1a9be362a4","5f432ba5c945de1a9be362a4_20240212","","","8","72"
