"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","stimulus","rating","img_id"
"2549","0","html-button-response","0","2551","0.0-0.0","5fc2a5c0ddfca10169395662","5fc2a5c0ddfca10169395662_20240212","","","",""
"5024","[object Object]","survey-html-form","1","8086","0.0-1.0","5fc2a5c0ddfca10169395662","5fc2a5c0ddfca10169395662_20240212","prolific_id_page","","",""
"8008","0","html-button-response","2","16095","0.0-2.0","5fc2a5c0ddfca10169395662","5fc2a5c0ddfca10169395662_20240212","","","",""
"1828","0","html-button-response","3","18429","0.0-3.0","5fc2a5c0ddfca10169395662","5fc2a5c0ddfca10169395662_20240212","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","",""
"6645","0","html-button-response","4","25584","0.0-4.0","5fc2a5c0ddfca10169395662","5fc2a5c0ddfca10169395662_20240212","","","7","133"
"5311","0","html-button-response","5","31406","0.0-5.0","5fc2a5c0ddfca10169395662","5fc2a5c0ddfca10169395662_20240212","","","6","31"
"4946","0","html-button-response","6","36854","0.0-6.0","5fc2a5c0ddfca10169395662","5fc2a5c0ddfca10169395662_20240212","","","5","26"
"2451","0","html-button-response","7","39813","0.0-7.0","5fc2a5c0ddfca10169395662","5fc2a5c0ddfca10169395662_20240212","","","5","32"
"5406","0","html-button-response","8","45730","0.0-8.0","5fc2a5c0ddfca10169395662","5fc2a5c0ddfca10169395662_20240212","","","8","87"
"5726","0","html-button-response","9","51959","0.0-9.0","5fc2a5c0ddfca10169395662","5fc2a5c0ddfca10169395662_20240212","","","6","132"
"2298","0","html-button-response","10","54766","0.0-10.0","5fc2a5c0ddfca10169395662","5fc2a5c0ddfca10169395662_20240212","","","7","85"
"3019","0","html-button-response","11","58286","0.0-11.0","5fc2a5c0ddfca10169395662","5fc2a5c0ddfca10169395662_20240212","","","5","33"
"2742","0","html-button-response","12","61541","0.0-12.0","5fc2a5c0ddfca10169395662","5fc2a5c0ddfca10169395662_20240212","","","5","25"
"2757","0","html-button-response","13","64814","0.0-13.0","5fc2a5c0ddfca10169395662","5fc2a5c0ddfca10169395662_20240212","","","5","29"
"5498","0","html-button-response","14","70826","0.0-14.0","5fc2a5c0ddfca10169395662","5fc2a5c0ddfca10169395662_20240212","","","4","20"
"3911","0","html-button-response","15","75238","0.0-15.0","5fc2a5c0ddfca10169395662","5fc2a5c0ddfca10169395662_20240212","","","7","179"
"3089","0","html-button-response","16","78834","0.0-16.0","5fc2a5c0ddfca10169395662","5fc2a5c0ddfca10169395662_20240212","","","7","178"
"3361","0","html-button-response","17","82710","0.0-17.0","5fc2a5c0ddfca10169395662","5fc2a5c0ddfca10169395662_20240212","","","5","19"
"2177","0","html-button-response","18","85403","0.0-18.0","5fc2a5c0ddfca10169395662","5fc2a5c0ddfca10169395662_20240212","","","5","34"
"2503","0","html-button-response","19","88415","0.0-19.0","5fc2a5c0ddfca10169395662","5fc2a5c0ddfca10169395662_20240212","","","7","148"
"2828","0","html-button-response","20","91747","0.0-20.0","5fc2a5c0ddfca10169395662","5fc2a5c0ddfca10169395662_20240212","","","7","180"
"2570","0","html-button-response","21","94830","0.0-21.0","5fc2a5c0ddfca10169395662","5fc2a5c0ddfca10169395662_20240212","","","8","84"
"2263","0","html-button-response","22","97595","0.0-22.0","5fc2a5c0ddfca10169395662","5fc2a5c0ddfca10169395662_20240212","","","7","134"
"2514","0","html-button-response","23","100611","0.0-23.0","5fc2a5c0ddfca10169395662","5fc2a5c0ddfca10169395662_20240212","","","8","140"
"2117","0","html-button-response","24","103241","0.0-24.0","5fc2a5c0ddfca10169395662","5fc2a5c0ddfca10169395662_20240212","","","7","153"
"3485","0","html-button-response","25","107235","0.0-25.0","5fc2a5c0ddfca10169395662","5fc2a5c0ddfca10169395662_20240212","","","6","23"
"3441","0","html-button-response","26","111184","0.0-26.0","5fc2a5c0ddfca10169395662","5fc2a5c0ddfca10169395662_20240212","","","5","35"
"2499","0","html-button-response","27","114194","0.0-27.0","5fc2a5c0ddfca10169395662","5fc2a5c0ddfca10169395662_20240212","","","7","143"
"2569","0","html-button-response","28","117275","0.0-28.0","5fc2a5c0ddfca10169395662","5fc2a5c0ddfca10169395662_20240212","","","7","139"
"3821","0","html-button-response","29","121611","0.0-29.0","5fc2a5c0ddfca10169395662","5fc2a5c0ddfca10169395662_20240212","","","5","24"
"5819","0","html-button-response","30","127946","0.0-30.0","5fc2a5c0ddfca10169395662","5fc2a5c0ddfca10169395662_20240212","","","6","86"
"2182","0","html-button-response","31","130638","0.0-31.0","5fc2a5c0ddfca10169395662","5fc2a5c0ddfca10169395662_20240212","","","5","27"
"3048","0","html-button-response","32","134192","0.0-32.0","5fc2a5c0ddfca10169395662","5fc2a5c0ddfca10169395662_20240212","","","7","146"
"2225","0","html-button-response","33","136922","0.0-33.0","5fc2a5c0ddfca10169395662","5fc2a5c0ddfca10169395662_20240212","","","7","136"
