"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","stimulus","rating","img_id"
"5081","0","html-button-response","0","5091","0.0-0.0","622a2b1c561ce3cd95519fd2","622a2b1c561ce3cd95519fd2_20240212","","","",""
"8435","[object Object]","survey-html-form","1","14036","0.0-1.0","622a2b1c561ce3cd95519fd2","622a2b1c561ce3cd95519fd2_20240212","prolific_id_page","","",""
"30331","0","html-button-response","2","44372","0.0-2.0","622a2b1c561ce3cd95519fd2","622a2b1c561ce3cd95519fd2_20240212","","","",""
"2879","0","html-button-response","3","47755","0.0-3.0","622a2b1c561ce3cd95519fd2","622a2b1c561ce3cd95519fd2_20240212","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","",""
"7129","0","html-button-response","4","55389","0.0-4.0","622a2b1c561ce3cd95519fd2","622a2b1c561ce3cd95519fd2_20240212","","","7","183"
"5224","0","html-button-response","5","61120","0.0-5.0","622a2b1c561ce3cd95519fd2","622a2b1c561ce3cd95519fd2_20240212","","","8","171"
"5679","0","html-button-response","6","67308","0.0-6.0","622a2b1c561ce3cd95519fd2","622a2b1c561ce3cd95519fd2_20240212","","","8","99"
"4782","0","html-button-response","7","72597","0.0-7.0","622a2b1c561ce3cd95519fd2","622a2b1c561ce3cd95519fd2_20240212","","","7","161"
"3027","0","html-button-response","8","76130","0.0-8.0","622a2b1c561ce3cd95519fd2","622a2b1c561ce3cd95519fd2_20240212","","","8","155"
"3406","0","html-button-response","9","80042","0.0-9.0","622a2b1c561ce3cd95519fd2","622a2b1c561ce3cd95519fd2_20240212","","","7","177"
"2612","0","html-button-response","10","83161","0.0-10.0","622a2b1c561ce3cd95519fd2","622a2b1c561ce3cd95519fd2_20240212","","","9","100"
"3559","0","html-button-response","11","87226","0.0-11.0","622a2b1c561ce3cd95519fd2","622a2b1c561ce3cd95519fd2_20240212","","","3","182"
"2449","0","html-button-response","12","90183","0.0-12.0","622a2b1c561ce3cd95519fd2","622a2b1c561ce3cd95519fd2_20240212","","","4","176"
"2206","0","html-button-response","13","92894","0.0-13.0","622a2b1c561ce3cd95519fd2","622a2b1c561ce3cd95519fd2_20240212","","","2","45"
"2965","0","html-button-response","14","96364","0.0-14.0","622a2b1c561ce3cd95519fd2","622a2b1c561ce3cd95519fd2_20240212","","","5","105"
"1969","0","html-button-response","15","98841","0.0-15.0","622a2b1c561ce3cd95519fd2","622a2b1c561ce3cd95519fd2_20240212","","","7","156"
"1991","0","html-button-response","16","101341","0.0-16.0","622a2b1c561ce3cd95519fd2","622a2b1c561ce3cd95519fd2_20240212","","","6","167"
"2872","0","html-button-response","17","104719","0.0-17.0","622a2b1c561ce3cd95519fd2","622a2b1c561ce3cd95519fd2_20240212","","","8","92"
"3232","0","html-button-response","18","108456","0.0-18.0","622a2b1c561ce3cd95519fd2","622a2b1c561ce3cd95519fd2_20240212","","","7","104"
"2322","0","html-button-response","19","111285","0.0-19.0","622a2b1c561ce3cd95519fd2","622a2b1c561ce3cd95519fd2_20240212","","","4","168"
"1971","0","html-button-response","20","113762","0.0-20.0","622a2b1c561ce3cd95519fd2","622a2b1c561ce3cd95519fd2_20240212","","","5","158"
"2604","0","html-button-response","21","116872","0.0-21.0","622a2b1c561ce3cd95519fd2","622a2b1c561ce3cd95519fd2_20240212","","","6","172"
"2370","0","html-button-response","22","119749","0.0-22.0","622a2b1c561ce3cd95519fd2","622a2b1c561ce3cd95519fd2_20240212","","","7","175"
"2343","0","html-button-response","23","122600","0.0-23.0","622a2b1c561ce3cd95519fd2","622a2b1c561ce3cd95519fd2_20240212","","","3","54"
"2402","0","html-button-response","24","125506","0.0-24.0","622a2b1c561ce3cd95519fd2","622a2b1c561ce3cd95519fd2_20240212","","","5","50"
"2553","0","html-button-response","25","128563","0.0-25.0","622a2b1c561ce3cd95519fd2","622a2b1c561ce3cd95519fd2_20240212","","","2","181"
"2506","0","html-button-response","26","131573","0.0-26.0","622a2b1c561ce3cd95519fd2","622a2b1c561ce3cd95519fd2_20240212","","","2","49"
"1915","0","html-button-response","27","133994","0.0-27.0","622a2b1c561ce3cd95519fd2","622a2b1c561ce3cd95519fd2_20240212","","","6","106"
"2199","0","html-button-response","28","136698","0.0-28.0","622a2b1c561ce3cd95519fd2","622a2b1c561ce3cd95519fd2_20240212","","","6","173"
"2489","0","html-button-response","29","139692","0.0-29.0","622a2b1c561ce3cd95519fd2","622a2b1c561ce3cd95519fd2_20240212","","","4","41"
