"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","part_ID","ID_DATE","screen_id","stimulus","rating","img_id"
"53121","0","html-button-response","0","53127","0.0-0.0","640b129fbdcd3bb1c4f1f7fe","640b129fbdcd3bb1c4f1f7fe_20240212","","","",""
"12291","[object Object]","survey-html-form","1","65927","0.0-1.0","640b129fbdcd3bb1c4f1f7fe","640b129fbdcd3bb1c4f1f7fe_20240212","prolific_id_page","","",""
"28876","0","html-button-response","2","94807","0.0-2.0","640b129fbdcd3bb1c4f1f7fe","640b129fbdcd3bb1c4f1f7fe_20240212","","","",""
"3125","0","html-button-response","3","98437","0.0-3.0","640b129fbdcd3bb1c4f1f7fe","640b129fbdcd3bb1c4f1f7fe_20240212","","
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
","",""
"11785","0","html-button-response","4","110734","0.0-4.0","640b129fbdcd3bb1c4f1f7fe","640b129fbdcd3bb1c4f1f7fe_20240212","","","1","181"
"6371","0","html-button-response","5","117617","0.0-5.0","640b129fbdcd3bb1c4f1f7fe","640b129fbdcd3bb1c4f1f7fe_20240212","","","7","98"
"3273","0","html-button-response","6","121395","0.0-6.0","640b129fbdcd3bb1c4f1f7fe","640b129fbdcd3bb1c4f1f7fe_20240212","","","9","160"
"2446","0","html-button-response","7","124347","0.0-7.0","640b129fbdcd3bb1c4f1f7fe","640b129fbdcd3bb1c4f1f7fe_20240212","","","5","155"
"3067","0","html-button-response","8","127919","0.0-8.0","640b129fbdcd3bb1c4f1f7fe","640b129fbdcd3bb1c4f1f7fe_20240212","","","5","167"
"3404","0","html-button-response","9","131833","0.0-9.0","640b129fbdcd3bb1c4f1f7fe","640b129fbdcd3bb1c4f1f7fe_20240212","","","1","48"
"3137","0","html-button-response","10","135475","0.0-10.0","640b129fbdcd3bb1c4f1f7fe","640b129fbdcd3bb1c4f1f7fe_20240212","","","1","95"
"3003","0","html-button-response","11","138983","0.0-11.0","640b129fbdcd3bb1c4f1f7fe","640b129fbdcd3bb1c4f1f7fe_20240212","","","1","183"
"2373","0","html-button-response","12","141869","0.0-12.0","640b129fbdcd3bb1c4f1f7fe","640b129fbdcd3bb1c4f1f7fe_20240212","","","1","45"
"3350","0","html-button-response","13","145723","0.0-13.0","640b129fbdcd3bb1c4f1f7fe","640b129fbdcd3bb1c4f1f7fe_20240212","","","9","92"
"3603","0","html-button-response","14","149843","0.0-14.0","640b129fbdcd3bb1c4f1f7fe","640b129fbdcd3bb1c4f1f7fe_20240212","","","2","175"
"5851","0","html-button-response","15","156201","0.0-15.0","640b129fbdcd3bb1c4f1f7fe","640b129fbdcd3bb1c4f1f7fe_20240212","","","8","156"
"2272","0","html-button-response","16","158979","0.0-16.0","640b129fbdcd3bb1c4f1f7fe","640b129fbdcd3bb1c4f1f7fe_20240212","","","9","100"
"3448","0","html-button-response","17","162933","0.0-17.0","640b129fbdcd3bb1c4f1f7fe","640b129fbdcd3bb1c4f1f7fe_20240212","","","6","164"
"1906","0","html-button-response","18","165351","0.0-18.0","640b129fbdcd3bb1c4f1f7fe","640b129fbdcd3bb1c4f1f7fe_20240212","","","5","46"
"4426","0","html-button-response","19","170287","0.0-19.0","640b129fbdcd3bb1c4f1f7fe","640b129fbdcd3bb1c4f1f7fe_20240212","","","1","161"
"2617","0","html-button-response","20","173407","0.0-20.0","640b129fbdcd3bb1c4f1f7fe","640b129fbdcd3bb1c4f1f7fe_20240212","","","1","44"
"3291","0","html-button-response","21","177200","0.0-21.0","640b129fbdcd3bb1c4f1f7fe","640b129fbdcd3bb1c4f1f7fe_20240212","","","7","105"
"2212","0","html-button-response","22","179916","0.0-22.0","640b129fbdcd3bb1c4f1f7fe","640b129fbdcd3bb1c4f1f7fe_20240212","","","7","173"
