rt,response,trial_type,trial_index,time_elapsed,internal_node_id,part_ID,ID_DATE,screen_id,stimulus,rating,img_id
13213,0,html-button-response,0,13217,0.0-0.0,659aba9fce23a5b8af24fb5a,659aba9fce23a5b8af24fb5a_20240212,,,,
9645,[object Object],survey-html-form,1,23365,0.0-1.0,659aba9fce23a5b8af24fb5a,659aba9fce23a5b8af24fb5a_20240212,prolific_id_page,,,
10469,0,html-button-response,2,33835,0.0-2.0,659aba9fce23a5b8af24fb5a,659aba9fce23a5b8af24fb5a_20240212,,,,
1563,0,html-button-response,3,35900,0.0-3.0,659aba9fce23a5b8af24fb5a,659aba9fce23a5b8af24fb5a_20240212,,"
<div>
Great! You will now go on to rate the faces.
<br><br>
</div>
",,
7279,0,html-button-response,4,43682,0.0-4.0,659aba9fce23a5b8af24fb5a,659aba9fce23a5b8af24fb5a_20240212,,,6,9
6947,0,html-button-response,5,51132,0.0-5.0,659aba9fce23a5b8af24fb5a,659aba9fce23a5b8af24fb5a_20240212,,,8,63
3182,0,html-button-response,6,54816,0.0-6.0,659aba9fce23a5b8af24fb5a,659aba9fce23a5b8af24fb5a_20240212,,,7,114
2048,0,html-button-response,7,57366,0.0-7.0,659aba9fce23a5b8af24fb5a,659aba9fce23a5b8af24fb5a_20240212,,,7,129
2464,0,html-button-response,8,60332,0.0-8.0,659aba9fce23a5b8af24fb5a,659aba9fce23a5b8af24fb5a_20240212,,,7,1
1882,0,html-button-response,9,62716,0.0-9.0,659aba9fce23a5b8af24fb5a,659aba9fce23a5b8af24fb5a_20240212,,,7,61
2130,0,html-button-response,10,65349,0.0-10.0,659aba9fce23a5b8af24fb5a,659aba9fce23a5b8af24fb5a_20240212,,,7,58
2565,0,html-button-response,11,68416,0.0-11.0,659aba9fce23a5b8af24fb5a,659aba9fce23a5b8af24fb5a_20240212,,,7,110
2598,0,html-button-response,12,71515,0.0-12.0,659aba9fce23a5b8af24fb5a,659aba9fce23a5b8af24fb5a_20240212,,,6,16
2698,0,html-button-response,13,74715,0.0-13.0,659aba9fce23a5b8af24fb5a,659aba9fce23a5b8af24fb5a_20240212,,,7,72
2015,0,html-button-response,14,77232,0.0-14.0,659aba9fce23a5b8af24fb5a,659aba9fce23a5b8af24fb5a_20240212,,,7,69
2564,0,html-button-response,15,80299,0.0-15.0,659aba9fce23a5b8af24fb5a,659aba9fce23a5b8af24fb5a_20240212,,,7,2
2080,0,html-button-response,16,82882,0.0-16.0,659aba9fce23a5b8af24fb5a,659aba9fce23a5b8af24fb5a_20240212,,,7,111
1999,0,html-button-response,17,85383,0.0-17.0,659aba9fce23a5b8af24fb5a,659aba9fce23a5b8af24fb5a_20240212,,,7,117
2082,0,html-button-response,18,87967,0.0-18.0,659aba9fce23a5b8af24fb5a,659aba9fce23a5b8af24fb5a_20240212,,,7,15
2130,0,html-button-response,19,90599,0.0-19.0,659aba9fce23a5b8af24fb5a,659aba9fce23a5b8af24fb5a_20240212,,,7,112
5382,0,html-button-response,20,96483,0.0-20.0,659aba9fce23a5b8af24fb5a,659aba9fce23a5b8af24fb5a_20240212,,,7,4
1914,0,html-button-response,21,98899,0.0-21.0,659aba9fce23a5b8af24fb5a,659aba9fce23a5b8af24fb5a_20240212,,,7,55
2148,0,html-button-response,22,101549,0.0-22.0,659aba9fce23a5b8af24fb5a,659aba9fce23a5b8af24fb5a_20240212,,,6,3
2164,0,html-button-response,23,104216,0.0-23.0,659aba9fce23a5b8af24fb5a,659aba9fce23a5b8af24fb5a_20240212,,,7,124
2164,0,html-button-response,24,106883,0.0-24.0,659aba9fce23a5b8af24fb5a,659aba9fce23a5b8af24fb5a_20240212,,,7,109
1947,0,html-button-response,25,109333,0.0-25.0,659aba9fce23a5b8af24fb5a,659aba9fce23a5b8af24fb5a_20240212,,,7,57
2598,0,html-button-response,26,112433,0.0-26.0,659aba9fce23a5b8af24fb5a,659aba9fce23a5b8af24fb5a_20240212,,,5,12
1998,0,html-button-response,27,114933,0.0-27.0,659aba9fce23a5b8af24fb5a,659aba9fce23a5b8af24fb5a_20240212,,,7,64
